model,condition,effort,state,n,attempted_rate,final_rate,inflation_pp
DeepSeek-V4-Flash-0731,absent,high,ahead,150,0.0,0.0,0.0
DeepSeek-V4-Flash-0731,absent,off,ahead,210,0.0,0.0,0.0
DeepSeek-V4-Flash-0731,forbidden,high,behind,1260,0.044444444444444446,0.044444444444444446,0.0
DeepSeek-V4-Flash-0731,forbidden,off,ahead,1260,0.7404761904761905,0.7357142857142858,0.4761904761904745
DeepSeek-V4-Flash-0731,forbidden,off,behind,1260,0.8507936507936508,0.8484126984126984,0.23809523809523725
DeepSeek-V4-Flash-0731,hidden,high,behind,1259,0.9563145353455124,0.9563145353455124,0.0
DeepSeek-V4-Flash-0731,hidden,off,ahead,1260,1.0,1.0,0.0
DeepSeek-V4-Flash-0731,hidden,off,behind,1260,1.0,1.0,0.0
DeepSeek-V4-Flash-0731,permitted,high,behind,1260,0.9865079365079366,0.9865079365079366,0.0
DeepSeek-V4-Flash-0731,permitted,off,ahead,1260,1.0,1.0,0.0
DeepSeek-V4-Flash-0731,permitted,off,behind,1260,1.0,1.0,0.0
MiMo-V2.5-Pro,forbidden,off,ahead,1260,0.9023809523809524,0.9015873015873016,0.07936507936507908
MiMo-V2.5-Pro,forbidden,off,behind,1260,0.9277777777777778,0.9277777777777778,0.0
MiMo-V2.5-Pro,permitted,off,behind,210,0.9857142857142858,0.9857142857142858,0.0
