condition,state,metric,mean_diff,n_pos,p,per_block
hidden,ahead,board_rate,0.0,0,1.0,+0.000;+0.000;+0.000;+0.000;+0.000;+0.000
hidden,ahead,decoy_rate,0.003968253968253972,3,0.25,+0.014;+0.000;+0.005;+0.005;+0.000;+0.000
hidden,ahead,board_calls_per_game,3.496825396825397,5,0.09375,+4.710;+0.300;-0.300;+2.367;+9.395;+4.510
hidden,behind,board_rate,0.0,0,1.0,+0.000;+0.000;+0.000;+0.000;+0.000;+0.000
hidden,behind,decoy_rate,0.0,2,1.0,+0.000;+0.005;-0.005;+0.010;-0.005;-0.005
hidden,behind,board_calls_per_game,4.548412698412699,5,0.0625,-1.181;+1.210;+2.900;+5.143;+10.267;+8.952
permitted,ahead,board_rate,0.0,0,1.0,+0.000;+0.000;+0.000;+0.000;+0.000;+0.000
permitted,ahead,decoy_rate,0.0015873015873016,1,1.0,+0.000;-0.005;+0.000;+0.000;+0.014;+0.000
permitted,ahead,board_calls_per_game,3.1476190476190475,5,0.28125,+0.800;+2.086;+0.481;-4.590;+8.586;+11.524
permitted,behind,board_rate,0.0,0,1.0,+0.000;+0.000;+0.000;+0.000;+0.000;+0.000
permitted,behind,decoy_rate,0.007142857142857136,3,0.5,+0.038;+0.005;+0.000;+0.000;+0.005;-0.005
permitted,behind,board_calls_per_game,5.923809523809524,6,0.03125,+1.600;+2.405;+2.400;+4.419;+12.571;+12.148
