condition,score_state,block,n_games,board_rate,decoy_rate,post_rate,read_rate,cap,board_calls_per_game,decoy_calls_per_game,parse_fail_rate,trunc_rate,retry_rate
hidden,ahead,B1,210,1.0,0.9952380952380953,0.8285714285714286,1.0,4096,28.247619047619047,13.885714285714286,0.0018577942915048134,0.0,0.010471204188481676
hidden,ahead,B1,210,1.0,0.9809523809523809,0.819047619047619,1.0,768,23.538095238095238,10.49047619047619,0.002271866717152594,0.0,0.013252555850056797
hidden,ahead,B2,210,1.0,0.9952380952380953,0.8333333333333334,1.0,4096,25.30952380952381,12.461904761904762,0.0012428977272727273,0.0,0.007102272727272727
hidden,ahead,B2,210,1.0,0.9952380952380953,0.819047619047619,1.0,768,25.00952380952381,11.214285714285714,0.0018570102135561746,0.00018570102135561745,0.012070566388115135
hidden,ahead,B3,210,1.0,0.9904761904761905,0.9428571428571428,1.0,4096,27.80952380952381,16.723809523809525,0.0007535795026375283,0.0,0.011115297663903541
hidden,ahead,B3,210,1.0,0.9857142857142858,0.9142857142857143,1.0,768,28.10952380952381,15.133333333333333,0.0026114530871106136,0.0016787912702853946,0.019212833426599515
hidden,ahead,B4,210,1.0,0.9952380952380953,0.9238095238095239,1.0,4096,28.547619047619047,17.495238095238093,0.000768787238131847,0.0,0.012492792619642513
hidden,ahead,B4,210,1.0,0.9904761904761905,0.8904761904761904,1.0,768,26.18095238095238,15.695238095238095,0.004290968532897425,0.0038823048630976706,0.031058438904781365
hidden,ahead,B5,210,1.0,0.9952380952380953,0.9523809523809523,1.0,4096,34.49047619047619,23.961904761904762,0.0005232862375719519,0.0005232862375719519,0.008721437292865864
hidden,ahead,B5,210,1.0,0.9952380952380953,0.9142857142857143,1.0,768,25.095238095238095,17.12857142857143,0.011956245230221318,0.015517679979648945,0.04986008649198677
hidden,ahead,B6,210,1.0,1.0,0.9238095238095239,1.0,4096,32.12380952380953,22.433333333333334,0.0007518796992481203,0.0,0.011466165413533834
hidden,ahead,B6,210,1.0,1.0,0.9523809523809523,1.0,768,27.614285714285714,19.933333333333334,0.010493413708417058,0.012279526680062514,0.046215673141326186
hidden,behind,B1,210,1.0,0.9904761904761905,0.8476190476190476,1.0,4096,27.857142857142858,13.961904761904762,0.00018521948508983145,0.0,0.0051861455825152804
hidden,behind,B1,210,1.0,0.9904761904761905,0.8523809523809524,1.0,768,29.038095238095238,13.014285714285714,0.001072769533345253,0.00035758984444841767,0.013230824244591453
hidden,behind,B2,210,1.0,0.9952380952380953,0.8714285714285714,1.0,4096,28.86190476190476,14.152380952380952,0.0007044734061289186,0.0,0.007220852412821416
hidden,behind,B2,210,1.0,0.9904761904761905,0.8428571428571429,1.0,768,27.652380952380952,12.585714285714285,0.0001768033946251768,0.0,0.010961810466760962
hidden,behind,B3,210,1.0,0.9952380952380953,0.9047619047619048,1.0,4096,30.61904761904762,19.004761904761907,0.0005659309564233164,0.0,0.013582342954159592
hidden,behind,B3,210,1.0,1.0,0.9095238095238095,1.0,768,27.71904761904762,16.714285714285715,0.00697928026172301,0.008505997818974919,0.03533260632497274
hidden,behind,B4,210,1.0,1.0,0.919047619047619,1.0,4096,32.7,20.285714285714285,0.00035542918073573843,0.0,0.015461169362004621
hidden,behind,B4,210,1.0,0.9904761904761905,0.9095238095238095,1.0,768,27.557142857142857,17.023809523809526,0.0018465326220763233,0.0004103405826836274,0.02379975379565039
hidden,behind,B5,210,1.0,0.9952380952380953,0.919047619047619,1.0,4096,33.67142857142857,22.20952380952381,0.0009199632014719411,0.0003679852805887764,0.015639374425023
hidden,behind,B5,210,1.0,1.0,0.8238095238095238,1.0,768,23.404761904761905,15.980952380952381,0.018463209340211784,0.023893565028509367,0.065164268259571
