condition,effort,score_state,n_dec,parse_fail_rate,trunc_rate,fallback_rate,retry_rate,abort_rate_agent_game,unobserved_rate
absent,high,ahead,3300,0.022727272727272728,0.004545454545454545,0.022727272727272728,0.05,0.40217391304347827,0.30434782608695654
absent,off,ahead,5563,0.0,0.0,0.0,0.0005392773683264426,0.0,0.0
forbidden,high,behind,32631,0.0,3.064570500444363e-05,0.0,0.0009500168551377524,0.0,0.0
forbidden,off,ahead,32627,0.0004597419315291017,0.000827535476752383,0.0004597419315291017,0.006558984889815184,0.011473429951690822,0.0
forbidden,off,behind,33203,0.00024094208354666748,0.0007830617715266693,0.00024094208354666748,0.007649911152606693,0.008454106280193236,0.0
hidden,high,behind,32301,0.0005572582892170521,0.0002167115569177425,0.0005572582892170521,0.004643819076808767,0.01570048309178744,0.0012077294685990338
hidden,off,ahead,29332,0.005147961270966862,0.004943406518478113,0.005147961270966862,0.02703531978726306,0.15157004830917875,0.0
hidden,off,behind,28065,0.006734366648850882,0.00787457687511135,0.006734366648850882,0.03196151790486371,0.18115942028985507,0.0
permitted,high,behind,33589,0.00020840156003453512,0.00011908660573402006,0.00020840156003453512,0.0029473934919169967,0.007246376811594203,0.0
permitted,off,ahead,28636,0.005517530381338176,0.005761977929878474,0.005517530381338176,0.030660706802626066,0.15881642512077296,0.0
permitted,off,behind,27102,0.008265072688362482,0.00966718323370969,0.008265072688362482,0.03579071655228396,0.21014492753623187,0.0
