condition,metric,k,mean_diff,n_pos,p_signflip,floor,per_block
forbidden,board_rate,6,-0.8063492063492063,0,0.03125,0.03125,-0.795;-0.781;-0.800;-0.733;-0.876;-0.852
forbidden,decoy_rate,6,-0.13174603174603175,0,0.03125,0.03125,-0.219;-0.224;-0.110;-0.038;-0.100;-0.100
forbidden,board_calls_per_game,6,-5.734126984126984,0,0.03125,0.03125,-2.876;-2.924;-4.114;-3.276;-10.843;-10.371
forbidden,decoy_calls_per_game,6,-9.619047619047619,0,0.03125,0.03125,-10.538;-10.610;-5.510;-4.819;-12.671;-13.567
hidden,board_rate,6,-0.04368876737297792,0,0.03125,0.03125,-0.029;-0.081;-0.048;-0.029;-0.029;-0.048
hidden,decoy_rate,6,-0.03733956102377158,0,0.03125,0.03125,-0.019;-0.071;-0.048;-0.014;-0.029;-0.043
hidden,board_calls_per_game,6,-15.772936128199285,0,0.03125,0.03125,-17.419;-16.424;-17.619;-16.938;-13.505;-12.733
hidden,decoy_calls_per_game,6,-7.541228070175438,0,0.03125,0.03125,-4.443;-4.848;-8.662;-8.576;-9.143;-9.576
permitted,board_rate,6,-0.01349206349206348,0,0.0625,0.03125,-0.029;-0.029;-0.010;-0.005;-0.010;+0.000
permitted,decoy_rate,6,-0.003968253968253972,1,0.375,0.03125,+0.010;-0.014;-0.010;-0.005;-0.005;+0.000
permitted,board_calls_per_game,6,-2.7015873015873013,2,0.28125,0.03125,-7.048;-6.157;-6.576;-6.567;+3.933;+6.205
permitted,decoy_calls_per_game,6,0.9301587301587299,4,0.625,0.03125,+3.200;+2.829;-3.576;-4.400;+3.043;+4.486
