condition,score_state,block,n_games,board_rate,decoy_rate,post_rate,read_rate
hidden,ahead,B1,210,1.0,0.9809523809523809,0.819047619047619,1.0
hidden,ahead,B2,210,1.0,0.9952380952380953,0.819047619047619,1.0
hidden,ahead,B3,210,1.0,0.9857142857142858,0.9142857142857143,1.0
hidden,ahead,B4,210,1.0,0.9904761904761905,0.8904761904761904,1.0
hidden,ahead,B5,210,1.0,0.9952380952380953,0.9142857142857143,1.0
hidden,ahead,B6,210,1.0,1.0,0.9523809523809523,1.0
hidden,behind,B1,210,1.0,0.9904761904761905,0.8523809523809524,1.0
hidden,behind,B2,210,1.0,0.9904761904761905,0.8428571428571429,1.0
hidden,behind,B3,210,1.0,1.0,0.9095238095238095,1.0
hidden,behind,B4,210,1.0,0.9904761904761905,0.9095238095238095,1.0
hidden,behind,B5,210,1.0,1.0,0.8238095238095238,1.0
hidden,behind,B6,210,1.0,1.0,0.8142857142857143,1.0
permitted,ahead,B1,210,1.0,0.9809523809523809,0.9,1.0
permitted,ahead,B2,210,1.0,0.9904761904761905,0.861904761904762,1.0
permitted,ahead,B3,210,1.0,1.0,0.9714285714285714,1.0
permitted,ahead,B4,210,1.0,0.9952380952380953,0.9476190476190476,1.0
permitted,ahead,B5,210,1.0,0.9809523809523809,0.9095238095238095,1.0
permitted,ahead,B6,210,1.0,1.0,0.8857142857142857,1.0
permitted,behind,B1,210,1.0,0.9619047619047619,0.8095238095238095,1.0
permitted,behind,B2,210,1.0,0.9857142857142858,0.8095238095238095,1.0
permitted,behind,B3,210,1.0,1.0,0.9285714285714286,1.0
permitted,behind,B4,210,1.0,1.0,0.9142857142857143,1.0
permitted,behind,B5,210,1.0,0.9952380952380953,0.9238095238095239,1.0
permitted,behind,B6,210,1.0,1.0,0.9,1.0
