score_state,gap_bin,n,use_per_decision
ahead,<=-30,530,0.27735849056603773
ahead,-30..-15,1682,0.27170035671819265
ahead,-15..-5,2740,0.20474452554744527
ahead,-5..5,4694,0.1697912228376651
ahead,5..15,18616,0.11253760206274173
ahead,15..30,2973,0.2337706020854356
ahead,>30,1375,0.2610909090909091
behind,<=-30,980,0.27040816326530615
behind,-30..-15,7584,0.2100474683544304
behind,-15..-5,21292,0.1673398459515311
behind,-5..5,2065,0.20242130750605328
behind,5..15,606,0.24422442244224424
behind,15..30,394,0.1802030456852792
behind,>30,269,0.16728624535315986
