score_state,opponent_type,n,use,opp_coop
ahead,AlwaysDefect,144,0.8402777777777778,0.0
ahead,Grudger,144,0.6527777777777778,0.5060994035339383
ahead,LLM,792,0.6767676767676768,0.6041621377299606
ahead,Pavlov,144,0.625,0.734008711122628
ahead,Random,144,0.8541666666666666,0.5128902923663247
ahead,TitForTat,288,0.6631944444444444,0.6562823083745095
behind,AlwaysDefect,144,0.9027777777777778,0.0
behind,Grudger,144,0.7638888888888888,0.4144389885113914
behind,LLM,792,0.8333333333333334,0.42546231447337773
behind,Pavlov,144,0.7916666666666666,0.7176840592541919
behind,Random,144,0.8888888888888888,0.4877679909168324
behind,TitForTat,288,0.7847222222222222,0.5633442903038932
