condition,score_state,block,n,post_rate,board_calls,post_calls,median_first_use
absent,ahead,B1,210,0.0,0.0,0.0,
forbidden,ahead,B1,210,0.30952380952380953,1.8952380952380952,0.48095238095238096,
forbidden,ahead,B2,210,0.3904761904761905,2.0238095238095237,0.5714285714285714,
forbidden,ahead,B3,210,0.30952380952380953,2.2,0.5380952380952381,
forbidden,ahead,B4,210,0.3238095238095238,2.204761904761905,0.5476190476190477,
forbidden,ahead,B5,210,0.8380952380952381,10.17142857142857,3.376190476190476,
forbidden,ahead,B6,210,0.8380952380952381,10.761904761904763,3.7666666666666666,
forbidden,behind,B1,210,0.46190476190476193,2.895238095238095,0.9095238095238095,
forbidden,behind,B2,210,0.47619047619047616,2.942857142857143,0.8476190476190476,
forbidden,behind,B3,210,0.5571428571428572,4.142857142857143,1.1047619047619048,
forbidden,behind,B4,210,0.4238095238095238,3.2904761904761903,0.8238095238095238,
forbidden,behind,B5,210,0.7380952380952381,10.928571428571429,3.280952380952381,
forbidden,behind,B6,210,0.8380952380952381,10.504761904761905,3.2142857142857144,
hidden,ahead,B1,210,0.819047619047619,23.538095238095238,2.719047619047619,
hidden,ahead,B2,210,0.819047619047619,25.00952380952381,3.0238095238095237,
hidden,ahead,B3,210,0.9142857142857143,28.10952380952381,6.014285714285714,
hidden,ahead,B4,210,0.8904761904761904,26.18095238095238,5.485714285714286,
hidden,ahead,B5,210,0.9142857142857143,25.095238095238095,4.695238095238095,
hidden,ahead,B6,210,0.9523809523809523,27.614285714285714,4.333333333333333,
hidden,behind,B1,210,0.8523809523809524,29.038095238095238,3.723809523809524,
hidden,behind,B2,210,0.8428571428571429,27.652380952380952,3.066666666666667,
hidden,behind,B3,210,0.9095238095238095,27.71904761904762,5.8238095238095235,
hidden,behind,B4,210,0.9095238095238095,27.557142857142857,6.014285714285714,
hidden,behind,B5,210,0.8238095238095238,23.404761904761905,3.776190476190476,
hidden,behind,B6,210,0.8142857142857143,22.49047619047619,3.0285714285714285,
permitted,ahead,B1,210,0.9,27.185714285714287,3.238095238095238,
permitted,ahead,B2,210,0.861904761904762,28.36190476190476,3.223809523809524,
permitted,ahead,B3,210,0.9714285714285714,30.423809523809524,6.457142857142857,
permitted,ahead,B4,210,0.9476190476190476,32.55238095238095,6.2,
permitted,ahead,B5,210,0.9095238095238095,26.35238095238095,5.119047619047619,
permitted,ahead,B6,210,0.8857142857142857,23.385714285714286,4.423809523809524,
permitted,behind,B1,210,0.8095238095238095,29.095238095238095,3.7333333333333334,
permitted,behind,B2,210,0.8095238095238095,27.061904761904763,2.585714285714286,
permitted,behind,B3,210,0.9285714285714286,32.39523809523809,6.6,
permitted,behind,B4,210,0.9142857142857143,32.13809523809524,6.428571428571429,
permitted,behind,B5,210,0.9238095238095239,22.876190476190477,4.257142857142857,
permitted,behind,B6,210,0.9,20.185714285714287,3.966666666666667,
