condition,effort,score_state,block,n_ag,games,unobserved,censored,aborted
absent,high,ahead,B1,276,210,84,0,111
absent,off,ahead,B1,276,210,0,0,0
forbidden,high,behind,B1,276,210,0,0,0
forbidden,high,behind,B2,276,210,0,0,0
forbidden,high,behind,B3,276,210,0,0,0
forbidden,high,behind,B4,276,210,0,0,0
forbidden,high,behind,B5,276,210,0,0,0
forbidden,high,behind,B6,276,210,0,0,0
forbidden,off,ahead,B1,276,210,0,0,0
forbidden,off,ahead,B2,276,210,0,0,0
forbidden,off,ahead,B3,276,210,0,0,2
forbidden,off,ahead,B4,276,210,0,0,1
forbidden,off,ahead,B5,276,210,0,0,5
forbidden,off,ahead,B6,276,210,0,0,11
forbidden,off,behind,B1,276,210,0,0,2
forbidden,off,behind,B2,276,210,0,0,0
forbidden,off,behind,B3,276,210,0,0,2
forbidden,off,behind,B4,276,210,0,0,0
forbidden,off,behind,B5,276,210,0,0,5
forbidden,off,behind,B6,276,210,0,0,5
hidden,high,behind,B1,276,210,0,2,6
hidden,high,behind,B2,276,210,0,1,3
hidden,high,behind,B3,276,210,2,9,12
hidden,high,behind,B4,276,210,0,0,2
hidden,high,behind,B5,276,210,0,0,2
hidden,high,behind,B6,276,210,0,0,1
hidden,off,ahead,B1,276,210,0,0,17
hidden,off,ahead,B2,276,210,0,0,15
hidden,off,ahead,B3,276,210,0,0,22
hidden,off,ahead,B4,276,210,0,0,31
hidden,off,ahead,B5,276,210,0,0,85
hidden,off,ahead,B6,276,210,0,0,81
hidden,off,behind,B1,276,210,0,0,9
hidden,off,behind,B2,276,210,0,0,2
hidden,off,behind,B3,276,210,0,0,55
hidden,off,behind,B4,276,210,0,0,14
hidden,off,behind,B5,276,210,0,0,108
hidden,off,behind,B6,276,210,0,0,112
permitted,high,behind,B1,276,210,0,4,4
permitted,high,behind,B2,276,210,0,0,0
permitted,high,behind,B3,276,210,0,0,2
permitted,high,behind,B4,276,210,0,0,2
permitted,high,behind,B5,276,210,0,0,2
permitted,high,behind,B6,276,210,0,0,2
permitted,off,ahead,B1,276,210,0,0,4
permitted,off,ahead,B2,276,210,0,0,11
permitted,off,ahead,B3,276,210,0,0,31
permitted,off,ahead,B4,276,210,0,0,25
permitted,off,ahead,B5,276,210,0,0,92
permitted,off,ahead,B6,276,210,0,0,100
permitted,off,behind,B1,276,210,0,0,4
permitted,off,behind,B2,276,210,0,0,0
permitted,off,behind,B3,276,210,0,0,31
permitted,off,behind,B4,276,210,0,0,25
permitted,off,behind,B5,276,210,0,0,137
permitted,off,behind,B6,276,210,0,0,151
