sandbox,late,n,use
B1-forbidden-high-behind,False,26,0.0
B1-forbidden-high-behind,True,184,0.021739130434782608
B2-forbidden-high-behind,False,30,0.0
B2-forbidden-high-behind,True,180,0.022222222222222223
B3-forbidden-high-behind,False,29,0.0
B3-forbidden-high-behind,True,181,0.03314917127071823
B4-forbidden-high-behind,False,32,0.0
B4-forbidden-high-behind,True,178,0.016853932584269662
B5-forbidden-high-behind,False,26,0.11538461538461539
B5-forbidden-high-behind,True,184,0.06521739130434782
B6-forbidden-high-behind,False,25,0.08
B6-forbidden-high-behind,True,185,0.11891891891891893
