block,score_state,n_agents,min_use,med_use,max_use,n_agents_zero,share_top3
B1,ahead,12,0.30434782608695654,0.5652173913043478,0.7391304347826086,0,0.3129251700680272
B1,behind,12,0.6956521739130435,0.7608695652173914,0.8695652173913043,0,0.2757009345794392
B2,ahead,12,0.2608695652173913,0.5869565217391304,0.7391304347826086,0,0.3184713375796179
B2,behind,12,0.6086956521739131,0.7608695652173914,0.9565217391304348,0,0.2890995260663507
B3,ahead,12,0.43478260869565216,0.6304347826086957,0.782608695652174,0,0.3017751479289941
B3,behind,12,0.6521739130434783,0.782608695652174,0.9565217391304348,0,0.2818181818181818
B4,ahead,12,0.4782608695652174,0.5869565217391304,0.782608695652174,0,0.2994011976047904
B4,behind,12,0.5652173913043478,0.6956521739130435,0.8695652173913043,0,0.3015075376884422
B5,ahead,12,0.8695652173913043,0.9565217391304348,1.0,0,0.2596899224806202
B5,behind,12,0.8260869565217391,0.9565217391304348,1.0,0,0.2633587786259542
B6,ahead,12,0.8695652173913043,0.9130434782608695,1.0,0,0.2645914396887159
B6,behind,12,0.782608695652174,0.9565217391304348,1.0,0,0.2633587786259542
