model,condition,effort,score_state,block,mean_rounds,median_rounds,n_played
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,ahead,B1,19.557971014492754,22.0,19.557971014492754
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,ahead,B2,19.11231884057971,20.0,19.11231884057971
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,ahead,B3,21.192028985507246,27.0,21.192028985507246
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,ahead,B4,19.956521739130434,25.0,19.956521739130434
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,ahead,B5,20.31159420289855,25.0,20.31159420289855
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,ahead,B6,19.195652173913043,21.5,19.195652173913043
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,behind,B1,20.3768115942029,24.0,20.3768115942029
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,behind,B2,20.282608695652176,23.0,20.282608695652176
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,behind,B3,19.793478260869566,23.0,19.793478260869566
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,behind,B4,19.73913043478261,22.5,19.73913043478261
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,behind,B5,19.57608695652174,20.0,19.57608695652174
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,behind,B6,20.036231884057973,22.0,20.036231884057973
XiaomiMiMo/MiMo-V2.5-Pro,permitted,off,behind,B1,18.347826086956523,18.0,18.347826086956523
deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,B1,16.776041666666668,16.0,16.776041666666668
deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,B1,20.155797101449274,24.0,20.155797101449274
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,B1,18.909420289855074,20.5,18.909420289855074
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,B2,19.742753623188406,24.0,19.742753623188406
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,B3,20.605072463768117,24.0,20.605072463768117
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,B4,19.079710144927535,20.0,19.079710144927535
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,B5,19.496376811594203,21.0,19.496376811594203
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,B6,20.394927536231883,23.5,20.394927536231883
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,B1,19.597826086956523,22.5,19.597826086956523
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,B2,21.268115942028984,26.0,21.268115942028984
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,B3,19.57246376811594,24.0,19.715328467153284
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,B4,20.003623188405797,23.0,20.003623188405797
