condition,effort,score_state,block,n_dec,hazard
absent,high,ahead,B1,3221,0.0
absent,off,ahead,B1,5563,0.0
forbidden,high,behind,B1,5219,0.0007664303506418854
forbidden,high,behind,B2,5449,0.0007340796476417691
forbidden,high,behind,B3,5687,0.0010550378055213644
forbidden,high,behind,B4,5266,0.000569692366122294
forbidden,high,behind,B5,5381,0.0027875859505668093
forbidden,high,behind,B6,5629,0.004441286196482501
forbidden,off,ahead,B1,5409,0.06452209280828249
forbidden,off,ahead,B2,5870,0.06183986371379898
forbidden,off,ahead,B3,5402,0.07293594964827842
forbidden,off,ahead,B4,5521,0.07154500996196342
forbidden,off,ahead,B5,5111,0.34474662492662883
forbidden,off,ahead,B6,5297,0.34887672267321124
forbidden,off,behind,B1,5625,0.09368888888888889
forbidden,off,behind,B2,5609,0.09627384560527723
forbidden,off,behind,B3,5748,0.12282533054975643
forbidden,off,behind,B4,5414,0.10842260805319542
forbidden,off,behind,B5,5346,0.35447063224841
forbidden,off,behind,B6,5448,0.3392070484581498
hidden,high,behind,B1,5500,0.3030909090909091
hidden,high,behind,B2,5276,0.2886656557998484
hidden,high,behind,B3,5375,0.2926511627906977
hidden,high,behind,B4,5459,0.29877266898699395
hidden,high,behind,B5,5358,0.2601717058603957
hidden,high,behind,B6,5311,0.25437770664658255
hidden,off,ahead,B1,5267,0.7753939624074425
hidden,off,ahead,B2,5372,0.7922561429635145
hidden,off,ahead,B3,5345,0.816089803554724
hidden,off,ahead,B4,4867,0.8235052393671667
hidden,off,ahead,B5,3862,0.9937856033143448
hidden,off,ahead,B6,4415,0.9970554926387316
hidden,off,behind,B1,5586,0.8594701038310061
hidden,off,behind,B2,5655,0.8312997347480106
hidden,off,behind,B3,4541,0.9143360493283418
hidden,off,behind,B4,4862,0.8589058000822707
hidden,off,behind,B5,3595,0.9947148817802504
hidden,off,behind,B6,3588,0.9974916387959866
permitted,high,behind,B1,5775,0.5823376623376624
permitted,high,behind,B2,5490,0.6014571948998179
permitted,high,behind,B3,5529,0.6706456863809007
permitted,high,behind,B4,5587,0.6486486486486487
permitted,high,behind,B5,5687,0.6873571302971689
permitted,high,behind,B6,5512,0.6821480406386067
permitted,off,ahead,B1,5151,0.9248689574839837
permitted,off,ahead,B2,5445,0.9232323232323232
permitted,off,ahead,B3,4731,0.9623758190657367
permitted,off,ahead,B4,5372,0.9395011169024572
permitted,off,ahead,B5,4119,0.9973294488953629
permitted,off,ahead,B6,3617,0.9980646944982029
permitted,off,behind,B1,5295,0.9576959395656279
permitted,off,behind,B2,5161,0.9486533617515985
permitted,off,behind,B3,4973,0.9821033581339231
permitted,off,behind,B4,5098,0.9660651235778737
permitted,off,behind,B5,3396,0.9976442873969376
permitted,off,behind,B6,2901,0.9979317476732161
