effort,score_state,block,n,round1_use
high,behind,B1,276,0.0036231884057971015
high,behind,B2,276,0.0
high,behind,B3,276,0.0
high,behind,B4,276,0.0
high,behind,B5,276,0.007246376811594203
high,behind,B6,276,0.007246376811594203
off,ahead,B1,276,0.1956521739130435
off,ahead,B2,276,0.21739130434782608
off,ahead,B3,274,0.06204379562043796
off,ahead,B4,276,0.07608695652173914
off,ahead,B5,276,0.391304347826087
off,ahead,B6,276,0.43478260869565216
off,behind,B1,276,0.2826086956521739
off,behind,B2,276,0.2898550724637681
off,behind,B3,276,0.15217391304347827
off,behind,B4,276,0.07971014492753623
off,behind,B5,276,0.4601449275362319
off,behind,B6,276,0.4963768115942029
