condition,effort,score_state,block,n,board_hz,decoy_hz
absent,high,ahead,B1,3221,0.0,0.0
absent,off,ahead,B1,5563,0.0,0.0
forbidden,high,behind,B1,5219,0.0007664303506418854,0.10825828702816631
forbidden,high,behind,B2,5449,0.0007340796476417691,0.10056891172692237
forbidden,high,behind,B3,5687,0.0010550378055213644,0.11957095129242132
forbidden,high,behind,B4,5266,0.000569692366122294,0.1312191416635017
forbidden,high,behind,B5,5381,0.0027875859505668093,0.121724586508084
forbidden,high,behind,B6,5629,0.004441286196482501,0.11920412151359033
forbidden,off,ahead,B1,5409,0.06452209280828249,0.34756886670364207
forbidden,off,ahead,B2,5870,0.06183986371379898,0.3444633730834753
forbidden,off,ahead,B3,5402,0.07293594964827842,0.2228804146612366
forbidden,off,ahead,B4,5521,0.07154500996196342,0.21246151059590654
forbidden,off,ahead,B5,5111,0.34474662492662883,0.638622578751712
forbidden,off,ahead,B6,5297,0.34887672267321124,0.642439116481027
forbidden,off,behind,B1,5625,0.09368888888888889,0.4929777777777778
forbidden,off,behind,B2,5609,0.09627384560527723,0.4943840256730255
forbidden,off,behind,B3,5748,0.12282533054975643,0.31854558107167713
forbidden,off,behind,B4,5414,0.10842260805319542,0.3138160325083118
forbidden,off,behind,B5,5346,0.35447063224841,0.6107369996258886
forbidden,off,behind,B6,5448,0.3392070484581498,0.6387665198237885
hidden,high,behind,B1,5500,0.3030909090909091,0.32345454545454544
hidden,high,behind,B2,5276,0.2886656557998484,0.3049658832448825
hidden,high,behind,B3,5375,0.2926511627906977,0.3112558139534884
hidden,high,behind,B4,5459,0.29877266898699395,0.3216706356475545
hidden,high,behind,B5,5358,0.2601717058603957,0.26577081000373276
hidden,high,behind,B6,5311,0.25437770664658255,0.2583317642628507
hidden,off,ahead,B1,5267,0.7753939624074425,0.4135181317638124
hidden,off,ahead,B2,5372,0.7922561429635145,0.43261355174981386
hidden,off,ahead,B3,5345,0.816089803554724,0.5824134705332086
hidden,off,ahead,B4,4867,0.8235052393671667,0.6509143209369221
hidden,off,ahead,B5,3862,0.9937856033143448,0.871569135163128
hidden,off,ahead,B6,4415,0.9970554926387316,0.8935447338618346
hidden,off,behind,B1,5586,0.8594701038310061,0.48353025420694595
hidden,off,behind,B2,5655,0.8312997347480106,0.4629531388152078
hidden,off,behind,B3,4541,0.9143360493283418,0.7381634001321294
hidden,off,behind,B4,4862,0.8589058000822707,0.7163718634306869
hidden,off,behind,B5,3595,0.9947148817802504,0.8578581363004173
hidden,off,behind,B6,3588,0.9974916387959866,0.867335562987737
permitted,high,behind,B1,5775,0.5823376623376624,0.5785281385281386
permitted,high,behind,B2,5490,0.6014571948998179,0.599271402550091
permitted,high,behind,B3,5529,0.6706456863809007,0.6691987701211792
permitted,high,behind,B4,5587,0.6486486486486487,0.6477537139788796
permitted,high,behind,B5,5687,0.6873571302971689,0.6863020924916476
permitted,high,behind,B6,5512,0.6821480406386067,0.681422351233672
permitted,off,ahead,B1,5151,0.9248689574839837,0.44768006212385947
permitted,off,ahead,B2,5445,0.9232323232323232,0.44591368227731865
permitted,off,ahead,B3,4731,0.9623758190657367,0.7922215176495455
permitted,off,ahead,B4,5372,0.9395011169024572,0.7935591958302308
permitted,off,ahead,B5,4119,0.9973294488953629,0.8300558387958242
permitted,off,ahead,B6,3617,0.9980646944982029,0.8501520597179983
permitted,off,behind,B1,5295,0.9576959395656279,0.502360717658168
permitted,off,behind,B2,5161,0.9486533617515985,0.5202480139507847
permitted,off,behind,B3,4973,0.9821033581339231,0.8692941886185401
permitted,off,behind,B4,5098,0.9660651235778737,0.8719105531581012
permitted,off,behind,B5,3396,0.9976442873969376,0.8627797408716137
permitted,off,behind,B6,2901,0.9979317476732161,0.8466046190968631
