condition,effort,pair_type,coop_all,n_all,coop_completed,n_completed,abort_rate_agent_game,pct_decisions_dropped
absent,high,llm-llm,0.2089108910891089,1010,0.1774193548387097,806,0.40217391304347827,20.198019801980195
absent,high,llm-script,0.30845771144278605,2211,0.3105990783410138,2170,0.40217391304347827,1.8543645409317078
absent,off,llm-llm,0.668600154679041,2586,0.668600154679041,2586,0.0,0.0
absent,off,llm-script,0.5811219348337252,2977,0.5811219348337252,2977,0.0,0.0
forbidden,high,llm-llm,0.2301753467678618,15284,0.2301753467678618,15284,0.0,0.0
forbidden,high,llm-script,0.3012624661324725,17347,0.3012624661324725,17347,0.0,0.0
forbidden,off,llm-llm,0.4866818873668189,31536,0.4872049133132877,31262,0.009963768115942028,0.8688483003551517
forbidden,off,llm-script,0.45537590473966844,34264,0.4553920272612438,34041,0.009963768115942028,0.6508288582769084
hidden,high,llm-llm,0.2938936397648316,14968,0.29293957909029195,14730,0.01570048309178744,1.590058792089788
hidden,high,llm-script,0.3462538270463867,17311,0.3469197624315826,17174,0.01570048309178744,0.7914043093986467
hidden,off,llm-llm,0.3982414134742404,24224,0.3992673992673993,21294,0.1663647342995169,12.095442536327605
hidden,off,llm-script,0.3463688857657878,32731,0.342423660457077,31242,0.1663647342995169,4.549204118419848
permitted,high,llm-llm,0.5398049864231054,16204,0.5400497512437811,16080,0.007246376811594203,0.7652431498395451
permitted,high,llm-script,0.4861878453038674,17376,0.48626705821385385,17367,0.007246376811594203,0.0517955801104919
permitted,off,llm-llm,0.5056525774065638,23706,0.5285171102661597,20514,0.1844806763285024,13.464945583396604
permitted,off,llm-script,0.37524165689474853,31553,0.371943115364168,30096,0.1844806763285024,4.617627483915953
