dataset,model,condition,effort,score_state,n_sandboxes
deficit_d30,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,6
low_arm,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,low,behind,6
prereg,XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,ahead,6
prereg,XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,behind,6
prereg,XiaomiMiMo/MiMo-V2.5-Pro,permitted,off,behind,1
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,1
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,1
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,6
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,6
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,6
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,6
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,6
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,behind,6
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,high,behind,6
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,6
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,behind,6
replication,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,6
replication,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,behind,6
replication,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,6
replication,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,behind,6
