model,contrast,block,any,decoy,board_change_minus_decoy_change_pp
XiaomiMiMo/MiMo-V2.5-Pro,B,B1,-0.4761904761904745,-4.761904761904756,4.285714285714281
XiaomiMiMo/MiMo-V2.5-Pro,B,B2,3.809523809523818,-1.904761904761898,5.714285714285716
XiaomiMiMo/MiMo-V2.5-Pro,B,B3,6.666666666666665,-2.3809523809523836,9.04761904761905
XiaomiMiMo/MiMo-V2.5-Pro,B,B4,-1.4285714285714235,-4.761904761904767,3.3333333333333437
XiaomiMiMo/MiMo-V2.5-Pro,B,B5,3.3333333333333326,1.4285714285714346,1.904761904761898
XiaomiMiMo/MiMo-V2.5-Pro,B,B6,3.3333333333333437,3.809523809523807,-0.4761904761904634
deepseek-ai/DeepSeek-V4-Flash-0731,A,B1,-79.52380952380952,-21.904761904761905,-57.61904761904761
deepseek-ai/DeepSeek-V4-Flash-0731,A,B2,-78.0952380952381,-22.38095238095238,-55.71428571428572
deepseek-ai/DeepSeek-V4-Flash-0731,A,B3,-80.0,-10.952380952380958,-69.04761904761904
deepseek-ai/DeepSeek-V4-Flash-0731,A,B4,-73.33333333333334,-3.809523809523807,-69.52380952380953
deepseek-ai/DeepSeek-V4-Flash-0731,A,B5,-87.61904761904762,-9.999999999999998,-77.61904761904762
deepseek-ai/DeepSeek-V4-Flash-0731,A,B6,-85.23809523809524,-9.999999999999998,-75.23809523809524
deepseek-ai/DeepSeek-V4-Flash-0731,B,B1,21.904761904761905,1.904761904761909,19.999999999999996
deepseek-ai/DeepSeek-V4-Flash-0731,B,B2,19.047619047619047,4.761904761904767,14.285714285714281
deepseek-ai/DeepSeek-V4-Flash-0731,B,B3,15.23809523809524,7.142857142857151,8.09523809523809
deepseek-ai/DeepSeek-V4-Flash-0731,B,B4,8.0952380952381,8.0952380952381,0.0
deepseek-ai/DeepSeek-V4-Flash-0731,B,B5,0.952380952380949,-4.761904761904767,5.714285714285716
deepseek-ai/DeepSeek-V4-Flash-0731,B,B6,0.952380952380949,-0.952380952380949,1.904761904761898
deepseek-ai/DeepSeek-V4-Flash-0731,deficit,B1,-11.904761904761909,-1.4285714285714346,-10.476190476190474
deepseek-ai/DeepSeek-V4-Flash-0731,deficit,B2,-20.47619047619048,-4.761904761904767,-15.714285714285715
deepseek-ai/DeepSeek-V4-Flash-0731,deficit,B3,-8.0952380952381,-6.666666666666677,-1.4285714285714235
deepseek-ai/DeepSeek-V4-Flash-0731,deficit,B4,-1.904761904761909,-0.952380952380949,-0.9523809523809601
deepseek-ai/DeepSeek-V4-Flash-0731,deficit,B5,1.4285714285714346,2.3809523809523836,-0.952380952380949
deepseek-ai/DeepSeek-V4-Flash-0731,deficit,B6,-1.904761904761909,0.0,-1.904761904761909
deepseek-ai/DeepSeek-V4-Flash-0731,high_low,B1,0.9523809523809524,38.0952380952381,-37.14285714285715
deepseek-ai/DeepSeek-V4-Flash-0731,high_low,B2,0.4761904761904764,32.85714285714286,-32.38095238095239
deepseek-ai/DeepSeek-V4-Flash-0731,high_low,B3,1.4285714285714286,25.238095238095237,-23.80952380952381
deepseek-ai/DeepSeek-V4-Flash-0731,high_low,B4,-1.4285714285714286,23.809523809523817,-25.238095238095244
deepseek-ai/DeepSeek-V4-Flash-0731,high_low,B5,4.761904761904762,42.38095238095238,-37.61904761904762
deepseek-ai/DeepSeek-V4-Flash-0731,high_low,B6,9.523809523809524,39.523809523809526,-30.0
deepseek-ai/DeepSeek-V4-Flash-0731,low_off,B1,-80.47619047619048,-60.00000000000001,-20.476190476190474
deepseek-ai/DeepSeek-V4-Flash-0731,low_off,B2,-78.57142857142858,-55.23809523809524,-23.333333333333343
deepseek-ai/DeepSeek-V4-Flash-0731,low_off,B3,-81.42857142857144,-36.1904761904762,-45.23809523809525
deepseek-ai/DeepSeek-V4-Flash-0731,low_off,B4,-71.9047619047619,-27.61904761904762,-44.28571428571428
deepseek-ai/DeepSeek-V4-Flash-0731,low_off,B5,-92.38095238095238,-52.38095238095237,-40.00000000000001
deepseek-ai/DeepSeek-V4-Flash-0731,low_off,B6,-94.76190476190476,-49.523809523809526,-45.238095238095234
