model,condition,unit,variant,contrast,k,mean_pp,positive,negative,raw_p,min_pp,max_pp
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,agent_game,any,B,6,4.045893719806762,6,0,0.03125,0.7246376811594235,6.8840579710144905
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,agent_game,decoy,B,6,-1.026570048309174,2,4,0.625,-6.521739130434778,6.884057971014501
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,agent_game,final,B,6,4.166666666666667,6,0,0.03125,0.7246376811594235,6.8840579710144905
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,agent_game,post,B,6,6.70289855072464,6,0,0.03125,0.7246376811594235,11.594202898550726
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,agent_game,read,B,6,4.166666666666669,6,0,0.03125,2.536231884057971,5.434782608695654
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,agent_game,reported_final,B,6,4.166666666666667,6,0,0.03125,0.7246376811594235,6.8840579710144905
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,agent_game,round1,B,6,-1.8719806763285016,2,3,0.5625,-11.231884057971014,6.521739130434784
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,game,any,B,6,2.5396825396825435,4,2,0.125,-1.4285714285714235,6.666666666666665
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,game,decoy,B,6,-1.428571428571427,2,4,0.34375,-4.761904761904767,3.809523809523807
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,game,final,B,6,2.6190476190476226,4,2,0.125,-1.4285714285714235,6.666666666666665
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,game,post,B,6,6.746031746031747,5,0,0.0625,0.0,12.380952380952387
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,game,read,B,6,2.460317460317457,5,1,0.0625,-0.9523809523809601,4.285714285714281
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,game,reported_final,B,6,2.6190476190476226,4,2,0.125,-1.4285714285714235,6.666666666666665
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,game,round1,B,6,-1.3492063492063495,2,3,0.625,-9.04761904761905,7.14285714285714
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,agent_game,any,A,6,-79.2270531400966,0,6,0.03125,-89.4927536231884,-71.01449275362319
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,agent_game,any,B,6,12.862318840579706,6,0,0.03125,1.449275362318836,24.27536231884058
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,agent_game,any,deficit,6,-11.594202898550725,0,6,0.03125,-27.898550724637676,-0.36231884057971175
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,agent_game,any,high_low,6,1.9927536231884055,5,1,0.1875,-1.0869565217391304,7.246376811594203
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,agent_game,any,low_off,6,-81.21980676328502,0,6,0.03125,-93.47826086956522,-69.92753623188406
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,agent_game,decoy,A,6,-15.519323671497586,0,6,0.03125,-26.449275362318847,-6.521739130434778
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,agent_game,decoy,B,6,4.106280193236713,5,1,0.21875,-5.072463768115942,11.231884057971008
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,agent_game,decoy,deficit,6,-3.442028985507245,1,5,0.09375,-10.507246376811585,2.1739130434782594
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,agent_game,decoy,high_low,6,38.04347826086956,6,0,0.03125,30.434782608695656,45.65217391304348
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,agent_game,decoy,low_off,6,-53.562801932367144,0,6,0.03125,-64.85507246376811,-36.95652173913043
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,agent_game,final,A,6,-79.04589371980676,0,6,0.03125,-89.13043478260869,-70.28985507246375
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,agent_game,final,B,6,13.103864734299513,6,0,0.03125,1.449275362318836,25.0
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,agent_game,final,deficit,6,-11.594202898550726,0,6,0.03125,-27.898550724637676,-0.36231884057971175
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,agent_game,final,high_low,6,1.9927536231884055,5,1,0.1875,-1.0869565217391304,7.246376811594203
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,agent_game,final,low_off,6,-81.03864734299516,0,6,0.03125,-93.47826086956522,-69.20289855072464
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,agent_game,post,A,6,-52.47584541062802,0,6,0.03125,-76.08695652173913,-35.86956521739131
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,agent_game,post,B,6,8.756038647342995,4,2,0.125,-7.246376811594201,24.63768115942029
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,agent_game,post,deficit,6,-4.770531400966184,2,4,0.34375,-17.391304347826082,10.507246376811585
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,agent_game,post,high_low,6,1.2681159420289856,5,0,0.0625,0.0,3.6231884057971016
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,agent_game,post,low_off,6,-53.74396135265701,0,6,0.03125,-79.71014492753623,-36.594202898550726
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,agent_game,read,A,6,-78.14009661835748,0,6,0.03125,-89.49275362318842,-69.56521739130434
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,agent_game,read,B,6,13.405797101449275,6,0,0.03125,2.1739130434782594,23.550724637681153
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,agent_game,read,deficit,6,-12.500000000000002,1,5,0.0625,-30.07246376811595,0.36231884057970065
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,agent_game,read,high_low,6,1.0869565217391304,4,1,0.3125,-1.8115942028985508,4.710144927536232
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,agent_game,read,low_off,6,-79.22705314009663,0,6,0.03125,-92.3913043478261,-67.7536231884058
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,agent_game,reported_final,A,6,-79.04589371980676,0,6,0.03125,-89.13043478260869,-70.28985507246375
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,agent_game,reported_final,B,6,13.103864734299513,6,0,0.03125,1.449275362318836,25.0
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,agent_game,reported_final,deficit,6,-11.594202898550726,0,6,0.03125,-27.898550724637676,-0.36231884057971175
