model,condition,contrast,omit,k,mean_pp,raw_p
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,B,B1,5,3.1428571428571472,0.125
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,B,B2,5,2.285714285714289,0.25
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,B,B3,5,1.7142857142857195,0.25
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,B,B4,5,3.333333333333337,0.125
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,B,B5,5,2.380952380952386,0.25
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,B,B6,5,2.3809523809523836,0.25
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,A,B1,5,-80.85714285714286,0.0625
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,A,B2,5,-81.14285714285714,0.0625
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,A,B3,5,-80.76190476190476,0.0625
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,A,B4,5,-82.0952380952381,0.0625
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,A,B5,5,-79.23809523809524,0.0625
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,A,B6,5,-79.71428571428571,0.0625
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,B,B1,5,8.857142857142858,0.0625
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,B,B2,5,9.428571428571429,0.0625
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,B,B3,5,10.19047619047619,0.0625
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,B,B4,5,11.619047619047617,0.0625
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,B,B5,5,13.047619047619047,0.0625
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,B,B6,5,13.047619047619047,0.0625
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,A,B1,5,-4.671223513328779,0.0625
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,A,B2,5,-3.623604465709731,0.0625
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,A,B3,5,-4.285714285714288,0.0625
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,A,B4,5,-4.671223513328779,0.0625
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,A,B5,5,-4.671223513328779,0.0625
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,A,B6,5,-4.290271132376398,0.0625
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,B,B1,5,0.0,1.0
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,B,B2,5,0.0,1.0
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,B,B3,5,0.0,1.0
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,B,B4,5,0.0,1.0
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,B,B5,5,0.0,1.0
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,B,B6,5,0.0,1.0
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,A,B1,5,-1.0476190476190461,0.125
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,A,B2,5,-1.0476190476190461,0.125
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,A,B3,5,-1.428571428571428,0.125
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,A,B4,5,-1.5238095238095228,0.125
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,A,B5,5,-1.428571428571428,0.125
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,A,B6,5,-1.6190476190476175,0.0625
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,B,B1,5,0.0,1.0
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,B,B2,5,0.0,1.0
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,B,B3,5,0.0,1.0
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,B,B4,5,0.0,1.0
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,B,B5,5,0.0,1.0
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,B,B6,5,0.0,1.0
