dataset,sandbox,source,condition,effort,paraphrase,seed,shuffle_seed,provider,quant,matrix,arm,gap,history,start,repair_of,board_replay
prereg,B1-absent-high-ahead,./runs/v3/B1-absent-high-ahead/manifest.json,absent,high,p1,103,103,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-12T23:08:50Z,,
prereg,B1-absent-off-ahead,./runs/v3/B1-absent-off-ahead/manifest.json,absent,off,p1,101,101,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-12T23:08:51Z,,
prereg,B1-forbidden-high-behind,./runs/v3/B1-forbidden-high-behind/manifest.json,forbidden,high,p1,112,112,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-12T23:08:51Z,,
prereg,B1-forbidden-off-ahead,./runs/v3/B1-forbidden-off-ahead/manifest.json,forbidden,off,p1,109,109,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-12T23:08:51Z,,
prereg,B1-forbidden-off-behind,./runs/v3/B1-forbidden-off-behind/manifest.json,forbidden,off,p1,110,110,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-12T23:08:50Z,,
prereg,B1-hidden-high-behind,./runs/v3/B1-hidden-high-behind/manifest.json,hidden,high,p1,116,116,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-12T23:08:50Z,,
prereg,B1-hidden-off-ahead,./runs/v3/B1-hidden-off-ahead/manifest.json,hidden,off,p1,113,113,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-12T23:08:51Z,,
prereg,B1-hidden-off-behind,./runs/v3/B1-hidden-off-behind/manifest.json,hidden,off,p1,114,114,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-12T23:08:51Z,,
prereg,B1-permitted-high-behind,./runs/v3/B1-permitted-high-behind/manifest.json,permitted,high,p1,108,108,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-12T23:08:50Z,,
prereg,B1-permitted-off-ahead,./runs/v3/B1-permitted-off-ahead/manifest.json,permitted,off,p1,105,105,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-12T23:08:51Z,,
prereg,B1-permitted-off-behind,./runs/v3/B1-permitted-off-behind/manifest.json,permitted,off,p1,106,106,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-12T23:08:50Z,,
prereg,B2-forbidden-high-behind,./runs/v3/B2-forbidden-high-behind/manifest.json,forbidden,high,p1,212,212,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-12T23:08:51Z,,
prereg,B2-forbidden-off-ahead,./runs/v3/B2-forbidden-off-ahead/manifest.json,forbidden,off,p1,209,209,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-12T23:08:51Z,,
prereg,B2-forbidden-off-behind,./runs/v3/B2-forbidden-off-behind/manifest.json,forbidden,off,p1,210,210,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-12T23:08:51Z,,
prereg,B2-hidden-high-behind,./runs/v3/B2-hidden-high-behind/manifest.json,hidden,high,p1,216,216,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-12T23:08:51Z,,
prereg,B2-hidden-off-ahead,./runs/v3/B2-hidden-off-ahead/manifest.json,hidden,off,p1,213,213,deepinfra,fp8,default,ahead,10,"DC,DC,CC,CC,CC,CC",2026-09-12T23:08:51Z,,
prereg,B2-hidden-off-behind,./runs/v3/B2-hidden-off-behind/manifest.json,hidden,off,p1,214,214,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-12T23:08:51Z,,
prereg,B2-permitted-high-behind,./runs/v3/B2-permitted-high-behind/manifest.json,permitted,high,p1,208,208,deepinfra,fp8,default,behind,-10,"CD,CD,CC,CC,CC,CC",2026-09-12T23:08:51Z,,
