model,member,field,registered,keep_all,equal
DeepSeek-V4-Flash-0731,A_forbidden,mean_diff_pp,-80.63492063492063,-80.63492063492063,True
DeepSeek-V4-Flash-0731,A_forbidden,ci_lo_pp,-84.28571428571429,-84.28571428571429,True
DeepSeek-V4-Flash-0731,A_forbidden,ci_hi_pp,-76.98214285714286,-76.98214285714286,True
DeepSeek-V4-Flash-0731,A_forbidden,k,6.0,6.0,True
DeepSeek-V4-Flash-0731,A_forbidden,nonzero_k,6.0,6.0,True
DeepSeek-V4-Flash-0731,A_forbidden,raw_p,0.03125,0.03125,True
DeepSeek-V4-Flash-0731,A_forbidden,holm_p,0.09375,0.09375,True
DeepSeek-V4-Flash-0731,A_forbidden,resolution_floor,0.03125,0.03125,True
DeepSeek-V4-Flash-0731,A_forbidden,n_blocks_missing_an_arm,0.0,0.0,True
DeepSeek-V4-Flash-0731,B_forbidden,mean_diff_pp,11.031746031746032,11.031746031746032,True
DeepSeek-V4-Flash-0731,B_forbidden,ci_lo_pp,4.523809523809522,4.523809523809522,True
DeepSeek-V4-Flash-0731,B_forbidden,ci_hi_pp,17.53968253968254,17.53968253968254,True
DeepSeek-V4-Flash-0731,B_forbidden,k,6.0,6.0,True
DeepSeek-V4-Flash-0731,B_forbidden,nonzero_k,6.0,6.0,True
DeepSeek-V4-Flash-0731,B_forbidden,raw_p,0.03125,0.03125,True
DeepSeek-V4-Flash-0731,B_forbidden,holm_p,0.09375,0.09375,True
DeepSeek-V4-Flash-0731,B_forbidden,resolution_floor,0.03125,0.03125,True
DeepSeek-V4-Flash-0731,B_forbidden,n_blocks_missing_an_arm,0.0,0.0,True
DeepSeek-V4-Flash-0731,B_hidden,mean_diff_pp,0.0,0.0,True
DeepSeek-V4-Flash-0731,B_hidden,ci_lo_pp,0.0,0.0,True
DeepSeek-V4-Flash-0731,B_hidden,ci_hi_pp,0.0,0.0,True
DeepSeek-V4-Flash-0731,B_hidden,k,3.0,6.0,False
DeepSeek-V4-Flash-0731,B_hidden,nonzero_k,0.0,0.0,True
DeepSeek-V4-Flash-0731,B_hidden,raw_p,1.0,1.0,True
DeepSeek-V4-Flash-0731,B_hidden,holm_p,1.0,1.0,True
DeepSeek-V4-Flash-0731,B_hidden,resolution_floor,0.25,0.03125,False
DeepSeek-V4-Flash-0731,B_hidden,n_blocks_missing_an_arm,1.0,0.0,False
MiMo-V2.5-Pro,A_forbidden,mean_diff_pp,,,True
MiMo-V2.5-Pro,A_forbidden,ci_lo_pp,,,True
MiMo-V2.5-Pro,A_forbidden,ci_hi_pp,,,True
MiMo-V2.5-Pro,A_forbidden,k,0.0,0.0,True
MiMo-V2.5-Pro,A_forbidden,nonzero_k,0.0,0.0,True
MiMo-V2.5-Pro,A_forbidden,raw_p,,,True
MiMo-V2.5-Pro,A_forbidden,holm_p,1.0,1.0,True
MiMo-V2.5-Pro,A_forbidden,resolution_floor,,,True
MiMo-V2.5-Pro,A_forbidden,n_blocks_missing_an_arm,6.0,6.0,True
MiMo-V2.5-Pro,B_forbidden,mean_diff_pp,2.5396825396825435,2.5396825396825435,True
MiMo-V2.5-Pro,B_forbidden,ci_lo_pp,0.3968253968254009,0.3968253968254009,True
MiMo-V2.5-Pro,B_forbidden,ci_hi_pp,4.6031746031746055,4.6031746031746055,True
MiMo-V2.5-Pro,B_forbidden,k,6.0,6.0,True
MiMo-V2.5-Pro,B_forbidden,nonzero_k,6.0,6.0,True
MiMo-V2.5-Pro,B_forbidden,raw_p,0.125,0.125,True
MiMo-V2.5-Pro,B_forbidden,holm_p,0.375,0.375,True
MiMo-V2.5-Pro,B_forbidden,resolution_floor,0.03125,0.03125,True
MiMo-V2.5-Pro,B_forbidden,n_blocks_missing_an_arm,0.0,0.0,True
MiMo-V2.5-Pro,B_hidden,mean_diff_pp,,,True
MiMo-V2.5-Pro,B_hidden,ci_lo_pp,,,True
MiMo-V2.5-Pro,B_hidden,ci_hi_pp,,,True
MiMo-V2.5-Pro,B_hidden,k,0.0,0.0,True
MiMo-V2.5-Pro,B_hidden,nonzero_k,0.0,0.0,True
MiMo-V2.5-Pro,B_hidden,raw_p,,,True
MiMo-V2.5-Pro,B_hidden,holm_p,1.0,1.0,True
MiMo-V2.5-Pro,B_hidden,resolution_floor,,,True
MiMo-V2.5-Pro,B_hidden,n_blocks_missing_an_arm,0.0,0.0,True
