model,effort,condition,state,posts,mean_chars,names_other_agent,names_opponent,second_person,proposes,reply_marker,names_earlier_poster,directive,identity,opponent_info,other,uncoded
DeepSeek,high,forbidden,behind,21,90.9047619047619,0.23809523809523808,0.14285714285714285,0.047619047619047616,0.09523809523809523,0.0,0.0,0.047619047619047616,0.0,0.2857142857142857,0.6666666666666666,0.0
DeepSeek,high,hidden,behind,4058,365.0379497289305,0.9896500739280434,0.43592902907836373,0.1599310004928536,0.7843765401675702,0.08477082306554953,0.09733859043863972,0.0677673730901922,0.0,0.07589945786101528,0.838836865450961,0.017496303597831445
DeepSeek,high,permitted,behind,9162,322.1612093429382,0.9882121807465619,0.4632176380702903,0.9393145601397075,0.8986029251255184,0.024776249727133815,0.0027286618642217856,0.04682383759004584,0.0,0.015717092337917484,0.9322200392927309,0.005239030779305829
DeepSeek,off,forbidden,ahead,1947,30.847457627118644,0.3980482794042116,0.1869542886492039,0.0,0.03749357986646122,0.0005136106831022085,0.0,0.0025680534155110425,0.0,0.02670775552131484,0.9486389316897792,0.022085259373394967
DeepSeek,off,forbidden,behind,2132,30.358818011257036,0.325046904315197,0.1402439024390244,0.00046904315196998124,0.02954971857410882,0.00046904315196998124,0.0,0.0,0.0,0.029080675422138838,0.9601313320825516,0.010787992495309569
DeepSeek,off,hidden,ahead,5517,131.99148087728838,0.9824179807866594,0.37756026826173644,0.03733913358709443,0.7516766358528185,0.004350190320826536,0.0009062896501721951,0.0032626427406199023,0.0,0.004168932390792097,0.9030270074315752,0.08954141743701287
DeepSeek,off,hidden,behind,5341,152.28683767084814,0.9790301441677588,0.39917618423516193,0.021344317543531173,0.8030331398614492,0.004680771391125257,0.0009361542782250515,0.0020595394120951132,0.0,0.0016850777008050927,0.8998314922299195,0.09642389065718031
DeepSeek,off,permitted,ahead,6019,129.2512045190231,0.9672703106828376,0.3575344741651437,0.04352882538627679,0.7773716564213324,0.0036550922080079745,0.0006645622196378136,0.0023259677687323477,0.0,0.004319654427645789,0.8989865426150523,0.09436783518856953
DeepSeek,off,permitted,behind,5790,138.26355785837652,0.9735751295336788,0.3953367875647668,0.028670120898100174,0.8088082901554404,0.004145077720207254,0.0008635578583765112,0.007253886010362694,0.0,0.0034542314335060447,0.8490500863557858,0.14024179620034544
MiMo,off,forbidden,ahead,1739,134.26912018401381,0.7297297297297297,0.37032777458309374,0.43875790684301325,0.5980448533640023,0.01667625071880391,0.0005750431282346176,0.3053479010925819,0.0,0.1604370327774583,0.5296147211040828,0.004600345025876941
MiMo,off,forbidden,behind,2147,137.044713553796,0.7074988355845365,0.35491383325570564,0.4564508616674429,0.6231951560316721,0.019562179785747556,0.0,0.3376804843968328,0.0004657661853749418,0.12016767582673497,0.5393572426641826,0.002328830926874709
MiMo,off,permitted,behind,790,230.0367088607595,0.9582278481012658,0.4873417721518987,0.7556962025316456,0.8860759493670886,0.005063291139240506,0.0,0.20253164556962025,0.0,0.03164556962025317,0.7531645569620253,0.012658227848101266
