sandbox,r,model,effort,condition
B1-forbidden-off-ahead,-0.026021937545310684,DeepSeek,off,forbidden
B1-forbidden-off-behind,-0.32932706722897215,DeepSeek,off,forbidden
B1-hidden-high-behind,0.07573956355035505,DeepSeek,high,hidden
B1-hidden-off-ahead,-0.11598701505190862,DeepSeek,off,hidden
B1-hidden-off-behind,-0.07046956845118635,DeepSeek,off,hidden
B1-permitted-high-behind,-0.21786977449380462,DeepSeek,high,permitted
B1-permitted-off-ahead,0.12044717491855784,DeepSeek,off,permitted
B1-permitted-off-behind,-0.46791708389044057,DeepSeek,off,permitted
B2-forbidden-off-ahead,-0.048162803428007425,DeepSeek,off,forbidden
B2-forbidden-off-behind,0.36930353646819103,DeepSeek,off,forbidden
B2-hidden-high-behind,0.21437715549540512,DeepSeek,high,hidden
B2-hidden-off-ahead,0.0729238275023748,DeepSeek,off,hidden
B2-hidden-off-behind,-0.2433991997652933,DeepSeek,off,hidden
B2-permitted-high-behind,0.1920370235285974,DeepSeek,high,permitted
B2-permitted-off-ahead,0.35516127252077245,DeepSeek,off,permitted
B2-permitted-off-behind,0.09296822681506398,DeepSeek,off,permitted
B3-forbidden-off-ahead,-0.5238751290531116,DeepSeek,off,forbidden
B3-forbidden-off-behind,-0.2640043128372183,DeepSeek,off,forbidden
B3-hidden-high-behind,-0.33598454225039565,DeepSeek,high,hidden
B3-hidden-off-ahead,-0.1836179144370564,DeepSeek,off,hidden
B3-hidden-off-behind,-0.2753675047969119,DeepSeek,off,hidden
B3-permitted-high-behind,0.43191016359052675,DeepSeek,high,permitted
B3-permitted-off-ahead,0.3630487936950872,DeepSeek,off,permitted
B3-permitted-off-behind,0.39594110500670543,DeepSeek,off,permitted
B4-forbidden-off-ahead,0.003316416726730808,DeepSeek,off,forbidden
B4-forbidden-off-behind,0.29808888155150676,DeepSeek,off,forbidden
B4-hidden-high-behind,-0.03021300400875159,DeepSeek,high,hidden
B4-hidden-off-ahead,0.033270516317540764,DeepSeek,off,hidden
B4-hidden-off-behind,0.22825207042984458,DeepSeek,off,hidden
B4-permitted-high-behind,-0.1089120535938535,DeepSeek,high,permitted
B4-permitted-off-ahead,0.2884809108707227,DeepSeek,off,permitted
B4-permitted-off-behind,0.050032266092022826,DeepSeek,off,permitted
B5-forbidden-off-ahead,-0.03441041179472402,DeepSeek,off,forbidden
B5-forbidden-off-behind,0.3818199263961794,DeepSeek,off,forbidden
B5-hidden-high-behind,-0.5235586888800574,DeepSeek,high,hidden
B5-hidden-off-ahead,-0.01687010977463912,DeepSeek,off,hidden
B5-hidden-off-behind,-0.0892108803023688,DeepSeek,off,hidden
B5-permitted-high-behind,-0.041774944809790396,DeepSeek,high,permitted
B5-permitted-off-ahead,0.004822766916854201,DeepSeek,off,permitted
B5-permitted-off-behind,0.04373230752295311,DeepSeek,off,permitted
B6-forbidden-off-ahead,0.23221864377258378,DeepSeek,off,forbidden
B6-forbidden-off-behind,-0.11353466184514327,DeepSeek,off,forbidden
B6-hidden-high-behind,-0.012984998823243504,DeepSeek,high,hidden
B6-hidden-off-ahead,0.203827427936643,DeepSeek,off,hidden
B6-hidden-off-behind,-0.2805239981302248,DeepSeek,off,hidden
B6-permitted-high-behind,0.43164298622281183,DeepSeek,high,permitted
B6-permitted-off-ahead,0.03745657953422795,DeepSeek,off,permitted
B6-permitted-off-behind,-0.20778418119576825,DeepSeek,off,permitted
M1-forbidden-off-ahead,-0.2348430035606301,MiMo,off,forbidden
M1-forbidden-off-behind,-0.041663655613811176,MiMo,off,forbidden
M1-permitted-off-behind,-0.11392278628075884,MiMo,off,permitted
M2-forbidden-off-ahead,0.5611032129998956,MiMo,off,forbidden
M2-forbidden-off-behind,-0.3959819723844948,MiMo,off,forbidden
M3-forbidden-off-ahead,-0.2509178583670509,MiMo,off,forbidden
M3-forbidden-off-behind,0.18410929973241838,MiMo,off,forbidden
M4-forbidden-off-ahead,0.3344982450549288,MiMo,off,forbidden
M4-forbidden-off-behind,-0.267747508805985,MiMo,off,forbidden
M5-forbidden-off-ahead,0.4151967525410687,MiMo,off,forbidden
M5-forbidden-off-behind,-0.25526107767745293,MiMo,off,forbidden
M6-forbidden-off-ahead,-0.2366238617163111,MiMo,off,forbidden
M6-forbidden-off-behind,0.08203194966587274,MiMo,off,forbidden
