model,condition,effort,state,block,wording,sandbox,n_llm_agents,n_agents_attempted,top3_share_of_board_calls,total_board_calls,total_attempted_reads,total_attempted_posts,posts_on_board,posts_coded,cat_directive,cat_opponent_info,cat_identity,cat_other,cat_uncoded
DeepSeek,forbidden,high,behind,B1,p1,B1-forbidden-high-behind,12,4,0.75,4,3,1,1,1,0,0,0,1,0
DeepSeek,forbidden,off,ahead,B1,p1,B1-forbidden-off-ahead,12,12,0.3316582914572864,398,297,101,101,101,0,3,0,98,0
DeepSeek,forbidden,off,behind,B1,p1,B1-forbidden-off-behind,12,12,0.287828947368421,608,417,191,191,190,0,9,0,181,1
DeepSeek,hidden,high,behind,B1,p1,B1-hidden-high-behind,12,12,0.2807377049180328,2440,1682,758,756,736,20,72,0,644,20
DeepSeek,hidden,off,ahead,B1,p1,B1-hidden-off-ahead,12,12,0.2842403398745701,4943,4372,571,571,546,1,0,0,545,25
DeepSeek,hidden,off,behind,B1,p1,B1-hidden-off-behind,12,12,0.28205969170219747,6098,5316,782,782,747,0,0,0,747,35
DeepSeek,permitted,high,behind,B1,p1,B1-permitted-high-behind,12,12,0.2857451403887689,4630,3373,1257,1257,1254,55,1,0,1198,3
DeepSeek,permitted,off,ahead,B1,p1,B1-permitted-off-ahead,12,12,0.27588018917498686,5709,5029,680,680,665,0,1,0,664,15
DeepSeek,permitted,off,behind,B1,p1,B1-permitted-off-behind,12,12,0.2693944353518822,6110,5326,784,784,774,3,1,0,770,10
DeepSeek,forbidden,high,behind,B2,p1,B2-forbidden-high-behind,12,2,1.0,4,3,1,1,1,1,0,0,0,0
DeepSeek,forbidden,off,ahead,B2,p1,B2-forbidden-off-ahead,12,12,0.37176470588235294,425,305,120,120,120,1,2,0,117,0
DeepSeek,forbidden,off,behind,B2,p1,B2-forbidden-off-behind,12,12,0.32362459546925565,618,440,178,178,178,0,3,0,175,0
DeepSeek,hidden,high,behind,B2,p1,B2-hidden-high-behind,12,12,0.29813401187446986,2358,1532,826,825,814,32,64,0,718,11
DeepSeek,hidden,off,ahead,B2,p1,B2-hidden-off-ahead,12,12,0.27113480578827115,5252,4617,635,635,610,10,6,0,594,25
DeepSeek,hidden,off,behind,B2,p1,B2-hidden-off-behind,12,12,0.2905114516962287,5807,5163,644,644,640,0,2,0,638,4
DeepSeek,permitted,high,behind,B2,p1,B2-permitted-high-behind,12,12,0.282004555808656,4390,3307,1083,1080,1080,48,3,0,1029,0
DeepSeek,permitted,off,ahead,B2,p1,B2-permitted-off-ahead,12,12,0.2921423774345198,5956,5279,677,677,643,1,1,0,641,34
DeepSeek,permitted,off,behind,B2,p1,B2-permitted-off-behind,12,12,0.2799577687840929,5683,5140,543,543,543,17,0,0,526,0
DeepSeek,forbidden,high,behind,B3,p2,B3-forbidden-high-behind,12,6,0.5,6,6,0,0,0,0,0,0,0,0
DeepSeek,forbidden,off,ahead,B3,p2,B3-forbidden-off-ahead,12,12,0.30303030303030304,462,349,113,112,112,0,3,0,109,0
DeepSeek,forbidden,off,behind,B3,p2,B3-forbidden-off-behind,12,12,0.3149425287356322,870,638,232,232,231,0,5,0,226,1
DeepSeek,hidden,high,behind,B3,p2,B3-hidden-high-behind,12,12,0.3041212695405021,2111,1582,529,529,506,26,27,0,453,23
DeepSeek,hidden,off,ahead,B3,p2,B3-hidden-off-ahead,12,12,0.2825681856683043,5903,4640,1263,1263,1217,1,8,0,1208,46
DeepSeek,hidden,off,behind,B3,p2,B3-hidden-off-behind,12,12,0.28070778216801234,5821,4598,1223,1223,1098,5,4,0,1089,125
DeepSeek,permitted,high,behind,B3,p2,B3-permitted-high-behind,12,12,0.2814459609000369,5422,3724,1698,1696,1688,77,11,0,1600,8
DeepSeek,permitted,off,ahead,B3,p2,B3-permitted-off-ahead,12,12,0.2959774612615433,6389,5033,1356,1356,1242,5,4,0,1233,114
DeepSeek,permitted,off,behind,B3,p2,B3-permitted-off-behind,12,12,0.28752021167132147,6803,5417,1386,1386,1296,3,7,0,1286,90
DeepSeek,forbidden,high,behind,B4,p2,B4-forbidden-high-behind,12,3,1.0,3,1,2,2,2,0,1,0,1,0
DeepSeek,forbidden,off,ahead,B4,p2,B4-forbidden-off-ahead,12,12,0.3174946004319654,463,348,115,115,115,0,4,0,111,0
DeepSeek,forbidden,off,behind,B4,p2,B4-forbidden-off-behind,12,12,0.32850940665701883,691,518,173,173,173,0,1,0,172,0
DeepSeek,hidden,high,behind,B4,p2,B4-hidden-high-behind,12,12,0.295067264573991,2230,1645,585,585,582,45,33,0,504,3
DeepSeek,hidden,off,ahead,B4,p2,B4-hidden-off-ahead,12,12,0.2888323026555111,5498,4346,1152,1152,1081,2,0,0,1079,71
DeepSeek,hidden,off,behind,B4,p2,B4-hidden-off-behind,12,12,0.2801105927077933,5787,4524,1263,1263,1231,4,0,0,1227,32
DeepSeek,permitted,high,behind,B4,p2,B4-permitted-high-behind,12,12,0.28864059590316576,5370,3712,1658,1657,1650,92,31,0,1527,7
DeepSeek,permitted,off,ahead,B4,p2,B4-permitted-off-ahead,12,12,0.2987126974839087,6836,5534,1302,1302,1242,2,0,0,1240,60
DeepSeek,permitted,off,behind,B4,p2,B4-permitted-off-behind,12,12,0.26833604978515335,6749,5399,1350,1350,1244,11,9,0,1224,106
DeepSeek,forbidden,high,behind,B5,p3,B5-forbidden-high-behind,12,7,0.5555555555555556,18,11,7,7,7,0,2,0,5,0
DeepSeek,forbidden,off,ahead,B5,p3,B5-forbidden-off-ahead,12,12,0.2916666666666667,2136,1427,709,709,695,1,17,0,677,14
DeepSeek,forbidden,off,behind,B5,p3,B5-forbidden-off-behind,12,12,0.2845315904139434,2295,1606,689,684,672,0,29,0,643,12
DeepSeek,hidden,high,behind,B5,p3,B5-hidden-high-behind,12,12,0.2943722943722944,2079,1403,676,674,660,105,77,0,478,14
DeepSeek,hidden,off,ahead,B5,p3,B5-hidden-off-ahead,12,12,0.2850094876660342,5270,4284,986,986,815,1,8,0,806,171
DeepSeek,hidden,off,behind,B5,p3,B5-hidden-off-behind,12,12,0.3180061037639878,4915,4122,793,793,622,2,3,0,617,171
DeepSeek,permitted,high,behind,B5,p3,B5-permitted-high-behind,12,12,0.27957371225577266,5630,3918,1712,1712,1690,64,39,0,1587,22
DeepSeek,permitted,off,ahead,B5,p3,B5-permitted-off-ahead,12,12,0.2829779544633177,5534,4459,1075,1075,903,2,3,0,898,172
DeepSeek,permitted,off,behind,B5,p3,B5-permitted-off-behind,12,12,0.27248126561199,4804,3910,894,894,603,5,0,0,598,291
DeepSeek,forbidden,high,behind,B6,p3,B6-forbidden-high-behind,12,11,0.4642857142857143,28,18,10,10,10,0,3,0,7,0
DeepSeek,forbidden,off,ahead,B6,p3,B6-forbidden-off-ahead,12,12,0.2831858407079646,2260,1469,791,790,761,3,23,0,735,29
DeepSeek,forbidden,off,behind,B6,p3,B6-forbidden-off-behind,12,12,0.2964641885766093,2206,1531,675,674,665,0,15,0,650,9
DeepSeek,hidden,high,behind,B6,p3,B6-hidden-high-behind,12,12,0.2733040507564666,2049,1360,689,689,689,47,35,0,607,0
