dataset,sandbox,path,disposition,prov_sha,prov_bytes,prov_lines,inv_sha,inv_bytes,inv_lines,disk_sha,disk_bytes,prov_vs_inv,prov_vs_disk,inv_vs_disk
prereg,B1-absent-high-ahead,runs/v3/B1-absent-high-ahead/moves.jsonl,included,632d1aee5cb04f133c480d1a410d445429dc68d9785eb91ef8d2e7fd39ca0ff1,61981904,8490,632d1aee5cb04f133c480d1a410d445429dc68d9785eb91ef8d2e7fd39ca0ff1,61981904,8490,632d1aee5cb04f133c480d1a410d445429dc68d9785eb91ef8d2e7fd39ca0ff1,61981904,OK,OK,OK
prereg,B1-absent-off-ahead,runs/v3/B1-absent-off-ahead/moves.jsonl,included,211b903208b5cf1da0e19e28a2ee926ebc6272bc71cdd23b9b4774e786ca843b,18697263,13317,211b903208b5cf1da0e19e28a2ee926ebc6272bc71cdd23b9b4774e786ca843b,18697263,13317,211b903208b5cf1da0e19e28a2ee926ebc6272bc71cdd23b9b4774e786ca843b,18697263,OK,OK,OK
prereg,B1-forbidden-high-behind,runs/v3/B1-forbidden-high-behind/moves.jsonl,included,dbce7fa1b1288a531c6f223ba0192a9e745f99a777a513a86f7b2cd19e63976b,54226573,12697,dbce7fa1b1288a531c6f223ba0192a9e745f99a777a513a86f7b2cd19e63976b,54226573,12697,dbce7fa1b1288a531c6f223ba0192a9e745f99a777a513a86f7b2cd19e63976b,54226573,OK,OK,OK
prereg,B1-forbidden-off-ahead,runs/v3/B1-forbidden-off-ahead/moves.jsonl,included,edfc171b6bb7f614517b7b51cc5fd94013da95520a0551449ad9d3c98806c0af,22755580,12987,edfc171b6bb7f614517b7b51cc5fd94013da95520a0551449ad9d3c98806c0af,22755580,12987,edfc171b6bb7f614517b7b51cc5fd94013da95520a0551449ad9d3c98806c0af,22755580,OK,OK,OK
prereg,B1-forbidden-off-behind,runs/v3/B1-forbidden-off-behind/moves.jsonl,included,3443d8b7757f6003a2e5ec080df5b9649aa792e887efd99e23f770caa3f3c273,25093083,13007,3443d8b7757f6003a2e5ec080df5b9649aa792e887efd99e23f770caa3f3c273,25093083,13007,3443d8b7757f6003a2e5ec080df5b9649aa792e887efd99e23f770caa3f3c273,25093083,OK,OK,OK
prereg,B1-hidden-high-behind,runs/v3/B1-hidden-high-behind/moves.jsonl,included,63eaac79a37e78d8bc8d1d6ddd393bb7c52c3c7af721d84ac327a9941867f6b5,88525451,12994,63eaac79a37e78d8bc8d1d6ddd393bb7c52c3c7af721d84ac327a9941867f6b5,88525451,12994,63eaac79a37e78d8bc8d1d6ddd393bb7c52c3c7af721d84ac327a9941867f6b5,88525451,OK,OK,OK
prereg,B1-hidden-off-ahead,runs/v3/B1-hidden-off-ahead/moves.jsonl,included,de0153cffbacae72e257136e3a56bbe9201980263bba3dfcfd075dec4aa8234f,42668695,12202,de0153cffbacae72e257136e3a56bbe9201980263bba3dfcfd075dec4aa8234f,42668695,12202,de0153cffbacae72e257136e3a56bbe9201980263bba3dfcfd075dec4aa8234f,42668695,OK,OK,OK
prereg,B1-hidden-off-behind,runs/v3/B1-hidden-off-behind/moves.jsonl,included,25dd4748a457aa2b419bb142f61f0665240c3e6f037ce9a79bade4e1e9034adc,51270289,12944,25dd4748a457aa2b419bb142f61f0665240c3e6f037ce9a79bade4e1e9034adc,51270289,12944,25dd4748a457aa2b419bb142f61f0665240c3e6f037ce9a79bade4e1e9034adc,51270289,OK,OK,OK
prereg,B1-permitted-high-behind,runs/v3/B1-permitted-high-behind/moves.jsonl,included,01e0804ddd8f6b071941433211349ef09845a55ab4e4bed0d9db60e480a27272,103589979,13591,01e0804ddd8f6b071941433211349ef09845a55ab4e4bed0d9db60e480a27272,103589979,13591,01e0804ddd8f6b071941433211349ef09845a55ab4e4bed0d9db60e480a27272,103589979,OK,OK,OK
prereg,B1-permitted-off-ahead,runs/v3/B1-permitted-off-ahead/moves.jsonl,included,3848a0b1b5cd46943c7d9889d67eed1956cb8ee51c83979ab12381517dfd3520,47797022,12537,3848a0b1b5cd46943c7d9889d67eed1956cb8ee51c83979ab12381517dfd3520,47797022,12537,3848a0b1b5cd46943c7d9889d67eed1956cb8ee51c83979ab12381517dfd3520,47797022,OK,OK,OK
prereg,B1-permitted-off-behind,runs/v3/B1-permitted-off-behind/moves.jsonl,included,748170259a3b98b25fdaf1f3b90d02ef199611802193818e25e86fb0cdc5f9df,49507829,12382,748170259a3b98b25fdaf1f3b90d02ef199611802193818e25e86fb0cdc5f9df,49507829,12382,748170259a3b98b25fdaf1f3b90d02ef199611802193818e25e86fb0cdc5f9df,49507829,OK,OK,OK
prereg,B2-forbidden-high-behind,runs/v3/B2-forbidden-high-behind/moves.jsonl,included,203d8d2a54e32dc011ff6e40cfdf04dca78e46406eabc9a0cd43724e53d823e8,53753250,12977,203d8d2a54e32dc011ff6e40cfdf04dca78e46406eabc9a0cd43724e53d823e8,53753250,12977,203d8d2a54e32dc011ff6e40cfdf04dca78e46406eabc9a0cd43724e53d823e8,53753250,OK,OK,OK
prereg,B2-forbidden-off-ahead,runs/v3/B2-forbidden-off-ahead/moves.jsonl,included,91ac74979ff32a993431ec6d3f36da6cea7cb9a06d5100e374a5041880705fe5,24144208,13671,91ac74979ff32a993431ec6d3f36da6cea7cb9a06d5100e374a5041880705fe5,24144208,13671,91ac74979ff32a993431ec6d3f36da6cea7cb9a06d5100e374a5041880705fe5,24144208,OK,OK,OK
prereg,B2-forbidden-off-behind,runs/v3/B2-forbidden-off-behind/moves.jsonl,included,e2ff333292a5891638eaab66d70bbc7714fec01c51700fa2c95c87552a004d08,25377677,13225,e2ff333292a5891638eaab66d70bbc7714fec01c51700fa2c95c87552a004d08,25377677,13225,e2ff333292a5891638eaab66d70bbc7714fec01c51700fa2c95c87552a004d08,25377677,OK,OK,OK
prereg,B2-hidden-high-behind,runs/v3/B2-hidden-high-behind/moves.jsonl,included,708f31c225891224014c2afad38c669bf8e66195a26759be8a86fb746c90dc74,86623035,12747,708f31c225891224014c2afad38c669bf8e66195a26759be8a86fb746c90dc74,86623035,12747,708f31c225891224014c2afad38c669bf8e66195a26759be8a86fb746c90dc74,86623035,OK,OK,OK
prereg,B2-hidden-off-ahead,runs/v3/B2-hidden-off-ahead/moves.jsonl,included,9139b8abdb4c2f6901be38854059eafaaa61b0d0c9cef4c348f3dde1435a791f,44331101,12728,9139b8abdb4c2f6901be38854059eafaaa61b0d0c9cef4c348f3dde1435a791f,44331101,12728,9139b8abdb4c2f6901be38854059eafaaa61b0d0c9cef4c348f3dde1435a791f,44331101,OK,OK,OK
prereg,B2-hidden-off-behind,runs/v3/B2-hidden-off-behind/moves.jsonl,included,53cc38879777ad1f847b949773481e68cda9bbadb8e90c04b1d9b0d363044fab,50583335,13076,53cc38879777ad1f847b949773481e68cda9bbadb8e90c04b1d9b0d363044fab,50583335,13076,53cc38879777ad1f847b949773481e68cda9bbadb8e90c04b1d9b0d363044fab,50583335,OK,OK,OK
prereg,B2-permitted-high-behind,runs/v3/B2-permitted-high-behind/moves.jsonl,included,4e7c822fc5a3f5b8f34b42bb602ee4e608fc802e628d565de720bea49690eadb,89266864,12843,4e7c822fc5a3f5b8f34b42bb602ee4e608fc802e628d565de720bea49690eadb,89266864,12843,4e7c822fc5a3f5b8f34b42bb602ee4e608fc802e628d565de720bea49690eadb,89266864,OK,OK,OK
prereg,B2-permitted-off-ahead,runs/v3/B2-permitted-off-ahead/moves.jsonl,included,63e0918e8dc585f38a94b9686d8cfba6f8453db8bd14ce4d8469e33fbca25297,47749290,12883,63e0918e8dc585f38a94b9686d8cfba6f8453db8bd14ce4d8469e33fbca25297,47749290,12883,63e0918e8dc585f38a94b9686d8cfba6f8453db8bd14ce4d8469e33fbca25297,47749290,OK,OK,OK
prereg,B2-permitted-off-behind,runs/v3/B2-permitted-off-behind/moves.jsonl,included,b9fdffd4ac2e6e1f352b61d5b51f0b5aa5072ea273154a2c49b9e2f2c7f815b0,47500407,12955,b9fdffd4ac2e6e1f352b61d5b51f0b5aa5072ea273154a2c49b9e2f2c7f815b0,47500407,12955,b9fdffd4ac2e6e1f352b61d5b51f0b5aa5072ea273154a2c49b9e2f2c7f815b0,47500407,OK,OK,OK
prereg,B3-forbidden-high-behind,runs/v3/B3-forbidden-high-behind/moves.jsonl,included,3661efa978f9616cf21f29d2521ed7069587a8d540c703b01d5dc22d769435f3,59057850,12969,3661efa978f9616cf21f29d2521ed7069587a8d540c703b01d5dc22d769435f3,59057850,12969,3661efa978f9616cf21f29d2521ed7069587a8d540c703b01d5dc22d769435f3,59057850,OK,OK,OK
prereg,B3-forbidden-off-ahead,runs/v3/B3-forbidden-off-ahead/moves.jsonl,included,3a339931a33a20634c958caac363cc54faca7e033c95f19141b85be9378d8cbf,20779026,12699,3a339931a33a20634c958caac363cc54faca7e033c95f19141b85be9378d8cbf,20779026,12699,3a339931a33a20634c958caac363cc54faca7e033c95f19141b85be9378d8cbf,20779026,OK,OK,OK
