dataset,metric,seat_type,mean,sd_over_sandboxes,mean_rank,n_sandboxes
deficit_d30,score_per_round,LLM,1.5741844745799674,0.12254796919658106,4.833333333333333,6
deficit_d30,score_per_round,TitForTat,1.8644435085776472,0.13964083252448906,2.1666666666666665,6
deficit_d30,score_per_round,Grudger,1.9555063294112642,0.11373185605037092,1.3333333333333333,6
deficit_d30,score_per_round,Pavlov,1.8202542521246805,0.08322099764288474,2.5,6
deficit_d30,score_per_round,AlwaysDefect,1.592078451659354,0.15341004278176348,4.333333333333333,6
deficit_d30,score_per_round,Random,1.48906447682445,0.16803643672419058,5.833333333333333,6
deficit_d30,total_score,LLM,712.75,84.78934681511194,4.833333333333333,6
deficit_d30,total_score,TitForTat,824.375,86.48493365899057,2.5,6
deficit_d30,total_score,Grudger,893.6666666666666,86.84679997942737,1.8333333333333333,6
deficit_d30,total_score,Pavlov,858.6666666666666,67.14586112834259,2.5,6
deficit_d30,total_score,AlwaysDefect,705.0833333333334,98.508586766163,4.583333333333333,6
deficit_d30,total_score,Random,698.4166666666666,100.49299312224045,4.75,6
low_arm,score_per_round,LLM,1.6974713239469763,0.08742929727841896,4.166666666666667,6
low_arm,score_per_round,TitForTat,1.9954335429970609,0.08683807305522528,1.8333333333333333,6
low_arm,score_per_round,Grudger,2.0228372311120073,0.09741957847756418,1.5,6
low_arm,score_per_round,Pavlov,1.8420968304472545,0.2125399359941698,3.0,6
low_arm,score_per_round,AlwaysDefect,1.598276153338768,0.041567629686502294,4.5,6
low_arm,score_per_round,Random,1.4566998312256698,0.07782087880871183,6.0,6
low_arm,total_score,LLM,775.5277777777778,33.0740611131823,4.166666666666667,6
low_arm,total_score,TitForTat,926.0833333333334,85.79039379013636,2.0,6
low_arm,total_score,Grudger,899.9166666666666,122.7303616334062,2.1666666666666665,6
low_arm,total_score,Pavlov,820.5,43.86114453591014,2.8333333333333335,6
low_arm,total_score,AlwaysDefect,732.8333333333334,50.479368722941324,4.666666666666667,6
low_arm,total_score,Random,687.25,83.41207946095098,5.166666666666667,6
prereg,score_per_round,LLM,2.030424595890177,0.22944432808751708,3.8405797101449277,69
prereg,score_per_round,TitForTat,2.312987483312753,0.20194552864776447,1.6376811594202898,69
prereg,score_per_round,Grudger,2.321612104163128,0.22703826321517873,1.7826086956521738,69
prereg,score_per_round,Pavlov,2.135828453204994,0.2717784032048736,3.0434782608695654,69
prereg,score_per_round,AlwaysDefect,1.7359682918752133,0.2010086898257424,5.115942028985507,69
prereg,score_per_round,Random,1.653303001942925,0.2356949356519919,5.579710144927536,69
prereg,total_score,LLM,879.4227053140095,173.55134957500525,4.130434782608695,69
prereg,total_score,TitForTat,1046.4311594202898,133.92067782323974,1.9275362318840579,69
prereg,total_score,Grudger,1056.0072463768115,142.2263495472669,2.0,69
prereg,total_score,Pavlov,972.1739130434783,166.47563914011556,2.739130434782609,69
prereg,total_score,AlwaysDefect,783.0652173913044,113.516386257003,4.913043478260869,69
prereg,total_score,Random,749.1449275362319,133.0297705913891,5.2898550724637685,69
replication,score_per_round,LLM,1.9792788746669083,0.2719961194834802,3.5833333333333335,24
replication,score_per_round,TitForTat,2.1786912387590993,0.21791761396112136,2.1666666666666665,24
replication,score_per_round,Grudger,2.3183142882921657,0.20763756016697832,1.2916666666666667,24
replication,score_per_round,Pavlov,2.009414113153024,0.30072569645907726,3.5833333333333335,24
replication,score_per_round,AlwaysDefect,1.7369847175297888,0.19703395439754168,4.5,24
replication,score_per_round,Random,1.4928217749702648,0.12922577710372787,5.875,24
replication,total_score,LLM,904.7847222222222,135.62613991743993,3.7083333333333335,24
replication,total_score,TitForTat,1000.1770833333334,120.96425269580111,2.2916666666666665,24
replication,total_score,Grudger,1076.2291666666667,145.9941913054336,1.5416666666666667,24
replication,total_score,Pavlov,912.5,170.6508640215582,3.5833333333333335,24
replication,total_score,AlwaysDefect,799.2291666666666,112.2107856521229,4.291666666666667,24
replication,total_score,Random,706.9166666666666,76.99614144294146,5.583333333333333,24
