dataset,gap_var,score_state,bin,p_defect,n_sandboxes,n_decisions
deficit_d30,score_gap_at_call,all,<=-20,0.8620371047409984,6,28890
deficit_d30,score_gap_at_call,all,-20..-10,0.7250804744251131,6,1571
deficit_d30,score_gap_at_call,all,-10..-5,0.8197578405849445,6,438
deficit_d30,score_gap_at_call,all,0,0.7831181200457628,6,379
deficit_d30,score_gap_at_call,all,0..5,0.7939853999555758,6,308
deficit_d30,score_gap_at_call,all,5..10,0.7882076438765657,6,294
deficit_d30,score_gap_at_call,all,10..20,0.8213639074228255,6,335
deficit_d30,score_gap_at_call,all,>20,0.8809335902871863,6,332
deficit_d30,score_gap_at_call,behind,<=-20,0.8620371047409984,6,28890
deficit_d30,score_gap_at_call,behind,-20..-10,0.7250804744251131,6,1571
deficit_d30,score_gap_at_call,behind,-10..-5,0.8197578405849445,6,438
deficit_d30,score_gap_at_call,behind,0,0.7831181200457628,6,379
deficit_d30,score_gap_at_call,behind,0..5,0.7939853999555758,6,308
deficit_d30,score_gap_at_call,behind,5..10,0.7882076438765657,6,294
deficit_d30,score_gap_at_call,behind,10..20,0.8213639074228255,6,335
deficit_d30,score_gap_at_call,behind,>20,0.8809335902871863,6,332
deficit_d30,within_gap,all,<=-20,0.8051525202069364,4,687
deficit_d30,within_gap,all,-20..-10,0.8281957252451618,6,1919
deficit_d30,within_gap,all,-10..-5,0.8533199254700804,6,2838
deficit_d30,within_gap,all,0,0.8698577365210184,6,13407
deficit_d30,within_gap,all,0..5,0.8833999361840131,6,8541
deficit_d30,within_gap,all,5..10,0.7486863702849988,6,1498
deficit_d30,within_gap,all,10..20,0.7250804744251131,6,1571
deficit_d30,within_gap,all,>20,0.8051737991998364,6,2086
deficit_d30,within_gap,behind,<=-20,0.8051525202069364,4,687
deficit_d30,within_gap,behind,-20..-10,0.8281957252451618,6,1919
deficit_d30,within_gap,behind,-10..-5,0.8533199254700804,6,2838
deficit_d30,within_gap,behind,0,0.8698577365210184,6,13407
deficit_d30,within_gap,behind,0..5,0.8833999361840131,6,8541
deficit_d30,within_gap,behind,5..10,0.7486863702849988,6,1498
deficit_d30,within_gap,behind,10..20,0.7250804744251131,6,1571
deficit_d30,within_gap,behind,>20,0.8051737991998364,6,2086
low_arm,score_gap_at_call,all,<=-20,0.9289934857414832,6,1616
low_arm,score_gap_at_call,all,-20..-10,0.7873203061006325,6,18339
low_arm,score_gap_at_call,all,-10..-5,0.7976993422271349,6,8921
low_arm,score_gap_at_call,all,0,0.7231041135854709,6,1063
low_arm,score_gap_at_call,all,0..5,0.8237969051256866,6,549
low_arm,score_gap_at_call,all,5..10,0.8746095708861666,6,465
low_arm,score_gap_at_call,all,10..20,0.8297351228080038,6,786
low_arm,score_gap_at_call,all,>20,0.8949274223650393,6,1169
low_arm,score_gap_at_call,behind,<=-20,0.9289934857414832,6,1616
