contrast,opponent_type,outcome,mean_diff,n_pos,k,p_exact_signflip,mean_A,mean_B,per_block_A,per_block_B
"Q6 high - off (forbidden, behind, DeepSeek)",all,own_coop_played,-0.10672337367454195,1,6,0.09375,0.32302808607572014,0.42975145975026213,0.436;0.423;0.272;0.275;0.277;0.255,0.416;0.437;0.451;0.440;0.424;0.411
"Q6 high - off (forbidden, behind, DeepSeek)",all,spr,-0.08720684844156108,2,6,0.125,1.9347419209772754,2.0219487694188363,2.065;2.091;1.825;1.911;1.884;1.832,1.983;2.089;1.995;2.054;2.014;1.996
"Q6 high - off (forbidden, behind, DeepSeek)",all,opp_spr,-0.22897690803488704,1,6,0.09375,1.7306407153254435,1.9596176233603304,2.002;1.941;1.620;1.615;1.626;1.580,1.901;1.952;1.986;1.962;1.992;1.965
"Q6 high - off (forbidden, behind, DeepSeek)",all,round1_coop,0.12620772946859904,6,6,0.03125,0.7747584541062801,0.6485507246376812,0.899;0.870;0.725;0.699;0.732;0.725,0.779;0.826;0.616;0.580;0.543;0.547
"Q6 high - off (forbidden, behind, DeepSeek)",all,retaliation_rate,0.05326004719105339,4,6,0.1875,0.7985390760132615,0.7452790288222081,0.747;0.728;0.829;0.826;0.835;0.827,0.788;0.756;0.772;0.759;0.692;0.705
"Q6 high - off (forbidden, behind, DeepSeek)",all,forgiveness_rate,-0.12461856885175397,0,6,0.03125,0.2608415776738278,0.3854601465255818,0.409;0.308;0.223;0.199;0.210;0.216,0.427;0.380;0.308;0.351;0.427;0.420
"Q6 high - off (forbidden, behind, DeepSeek)",all,mutual_D,0.08273851115035324,4,6,0.125,0.5107468884895441,0.4280083773391908,0.409;0.422;0.570;0.542;0.547;0.574,0.469;0.430;0.444;0.442;0.384;0.400
"Q6 high - off (forbidden, behind, DeepSeek)",all,nice,-0.05857487922705313,2,6,0.125,0.338768115942029,0.39734299516908206,0.399;0.391;0.301;0.312;0.330;0.301,0.435;0.446;0.475;0.431;0.322;0.275
"Q6 low - off (forbidden, behind, DeepSeek; low_arm vs prereg)",all,own_coop_played,-0.1873244130459837,0,6,0.03125,0.2424270467042784,0.42975145975026213,0.318;0.343;0.220;0.227;0.182;0.164,0.416;0.437;0.451;0.440;0.424;0.411
"Q6 low - off (forbidden, behind, DeepSeek; low_arm vs prereg)",all,spr,-0.22187903152313168,0,6,0.03125,1.8000697378957045,2.0219487694188363,1.921;1.874;1.757;1.778;1.725;1.744,1.983;2.089;1.995;2.054;2.014;1.996
"Q6 low - off (forbidden, behind, DeepSeek; low_arm vs prereg)",all,opp_spr,-0.4160075663893618,0,6,0.03125,1.5436100569709685,1.9596176233603304,1.707;1.783;1.494;1.507;1.405;1.366,1.901;1.952;1.986;1.962;1.992;1.965
"Q6 low - off (forbidden, behind, DeepSeek; low_arm vs prereg)",all,round1_coop,-0.03562801932367149,2,6,0.34375,0.6129227053140096,0.6485507246376812,0.761;0.783;0.645;0.641;0.424;0.424,0.779;0.826;0.616;0.580;0.543;0.547
"Q6 low - off (forbidden, behind, DeepSeek; low_arm vs prereg)",all,retaliation_rate,0.10485877938286166,6,6,0.03125,0.8501378082050697,0.7452790288222081,0.811;0.820;0.863;0.867;0.861;0.879,0.788;0.756;0.772;0.759;0.692;0.705
"Q6 low - off (forbidden, behind, DeepSeek; low_arm vs prereg)",all,forgiveness_rate,-0.18867922847356722,0,6,0.03125,0.1967809180520146,0.3854601465255818,0.288;0.292;0.152;0.174;0.139;0.136,0.427;0.380;0.308;0.351;0.427;0.420
"Q6 low - off (forbidden, behind, DeepSeek; low_arm vs prereg)",all,mutual_D,0.16822474002422458,6,6,0.03125,0.5962331173634153,0.4280083773391908,0.526;0.523;0.620;0.611;0.649;0.647,0.469;0.430;0.444;0.442;0.384;0.400
"Q6 low - off (forbidden, behind, DeepSeek; low_arm vs prereg)",all,nice,-0.11775362318840578,0,6,0.03125,0.27958937198067635,0.39734299516908206,0.326;0.355;0.272;0.297;0.203;0.225,0.435;0.446;0.475;0.431;0.322;0.275
"Q6 high - low (forbidden, behind, DeepSeek; prereg vs low_arm)",all,own_coop_played,0.0806010393714418,6,6,0.03125,0.32302808607572014,0.2424270467042784,0.436;0.423;0.272;0.275;0.277;0.255,0.318;0.343;0.220;0.227;0.182;0.164
"Q6 high - low (forbidden, behind, DeepSeek; prereg vs low_arm)",all,spr,0.13467218308157058,6,6,0.03125,1.9347419209772754,1.8000697378957045,2.065;2.091;1.825;1.911;1.884;1.832,1.921;1.874;1.757;1.778;1.725;1.744
"Q6 high - low (forbidden, behind, DeepSeek; prereg vs low_arm)",all,opp_spr,0.18703065835447474,6,6,0.03125,1.7306407153254435,1.5436100569709685,2.002;1.941;1.620;1.615;1.626;1.580,1.707;1.783;1.494;1.507;1.405;1.366
"Q6 high - low (forbidden, behind, DeepSeek; prereg vs low_arm)",all,round1_coop,0.16183574879227053,6,6,0.03125,0.7747584541062801,0.6129227053140096,0.899;0.870;0.725;0.699;0.732;0.725,0.761;0.783;0.645;0.641;0.424;0.424
"Q6 high - low (forbidden, behind, DeepSeek; prereg vs low_arm)",all,retaliation_rate,-0.05159873219180827,0,6,0.03125,0.7985390760132615,0.8501378082050697,0.747;0.728;0.829;0.826;0.835;0.827,0.811;0.820;0.863;0.867;0.861;0.879
"Q6 high - low (forbidden, behind, DeepSeek; prereg vs low_arm)",all,forgiveness_rate,0.06406065962181323,6,6,0.03125,0.2608415776738278,0.1967809180520146,0.409;0.308;0.223;0.199;0.210;0.216,0.288;0.292;0.152;0.174;0.139;0.136
"Q6 high - low (forbidden, behind, DeepSeek; prereg vs low_arm)",all,mutual_D,-0.08548622887387132,0,6,0.03125,0.5107468884895441,0.5962331173634153,0.409;0.422;0.570;0.542;0.547;0.574,0.526;0.523;0.620;0.611;0.649;0.647
"Q6 high - low (forbidden, behind, DeepSeek; prereg vs low_arm)",all,nice,0.05917874396135266,6,6,0.03125,0.338768115942029,0.27958937198067635,0.399;0.391;0.301;0.312;0.330;0.301,0.326;0.355;0.272;0.297;0.203;0.225
"Q5 behind - ahead (forbidden, off, DeepSeek)",all,own_coop_played,-0.14321041791412523,1,6,0.0625,0.42975145975026213,0.5729618776643873,0.416;0.437;0.451;0.440;0.424;0.411,0.680;0.653;0.652;0.616;0.425;0.411
"Q5 behind - ahead (forbidden, off, DeepSeek)",all,spr,-0.1704387644695181,2,6,0.15625,2.0219487694188363,2.1923875338883545,1.983;2.089;1.995;2.054;2.014;1.996,2.476;2.318;2.296;2.253;1.965;1.847
"Q5 behind - ahead (forbidden, off, DeepSeek)",all,opp_spr,-0.3212552314091634,1,6,0.0625,1.9596176233603304,2.280872854769494,1.901;1.952;1.986;1.962;1.992;1.965,2.436;2.415;2.465;2.365;2.043;1.960
"Q5 behind - ahead (forbidden, off, DeepSeek)",all,round1_coop,-0.08424574209245744,1,6,0.0625,0.6485507246376812,0.7327964667301387,0.779;0.826;0.616;0.580;0.543;0.547,0.880;0.906;0.755;0.746;0.576;0.533
"Q5 behind - ahead (forbidden, off, DeepSeek)",all,retaliation_rate,0.11404382585776142,6,6,0.03125,0.7452790288222081,0.6312352029644467,0.788;0.756;0.772;0.759;0.692;0.705,0.650;0.682;0.581;0.588;0.623;0.663
"Q5 behind - ahead (forbidden, off, DeepSeek)",all,forgiveness_rate,0.009902719997685827,4,6,0.8125,0.3854601465255818,0.375557426527896,0.427;0.380;0.308;0.351;0.427;0.420,0.389;0.360;0.432;0.381;0.351;0.341
"Q5 behind - ahead (forbidden, off, DeepSeek)",all,mutual_D,0.12241667620523715,5,6,0.09375,0.4280083773391908,0.3055917011339536,0.469;0.430;0.444;0.442;0.384;0.400,0.228;0.276;0.254;0.288;0.378;0.408
"Q5 behind - ahead (forbidden, off, DeepSeek)",all,nice,-0.10331817059839908,1,6,0.0625,0.39734299516908206,0.5006611657674812,0.435;0.446;0.475;0.431;0.322;0.275,0.652;0.667;0.547;0.514;0.319;0.304
