baseline,seed,seat_type,opp_seat_type,score,rounds,score_per_round,coop
TitForTat,1,SEAT,SEAT,8070,2690,3.0,1.0
TitForTat,1,SEAT,TitForTat,2706,902,3.0,1.0
TitForTat,1,TitForTat,SEAT,2706,902,3.0,1.0
TitForTat,1,SEAT,Grudger,1458,486,3.0,1.0
TitForTat,1,Grudger,SEAT,1458,486,3.0,1.0
TitForTat,1,SEAT,AlwaysDefect,433,457,0.9474835886214442,0.0525164113785558
TitForTat,1,AlwaysDefect,SEAT,553,457,1.2100656455142231,0.0
TitForTat,1,SEAT,Random,955,441,2.165532879818594,0.5056689342403629
TitForTat,1,Random,SEAT,1005,441,2.2789115646258504,0.48299319727891155
TitForTat,1,SEAT,Pavlov,1230,410,3.0,1.0
TitForTat,1,Pavlov,SEAT,1230,410,3.0,1.0
TitForTat,1,TitForTat,TitForTat,864,288,3.0,1.0
TitForTat,1,TitForTat,Grudger,609,203,3.0,1.0
TitForTat,1,Grudger,TitForTat,609,203,3.0,1.0
TitForTat,1,TitForTat,AlwaysDefect,193,201,0.9601990049751243,0.03980099502487562
TitForTat,1,AlwaysDefect,TitForTat,233,201,1.1592039800995024,0.0
TitForTat,1,TitForTat,Random,429,195,2.2,0.5128205128205128
TitForTat,1,Random,TitForTat,449,195,2.3025641025641024,0.49230769230769234
TitForTat,1,TitForTat,Pavlov,426,142,3.0,1.0
TitForTat,1,Pavlov,TitForTat,426,142,3.0,1.0
TitForTat,1,Grudger,Grudger,6,2,3.0,1.0
TitForTat,1,Grudger,AlwaysDefect,69,73,0.9452054794520548,0.0547945205479452
TitForTat,1,AlwaysDefect,Grudger,89,73,1.2191780821917808,0.0
TitForTat,1,Grudger,Random,300,100,3.0,0.08
TitForTat,1,Random,Grudger,75,100,0.75,0.53
TitForTat,1,Grudger,Pavlov,171,57,3.0,1.0
TitForTat,1,Pavlov,Grudger,171,57,3.0,1.0
TitForTat,1,AlwaysDefect,AlwaysDefect,4,4,1.0,0.0
TitForTat,1,AlwaysDefect,Random,242,82,2.951219512195122,0.0
TitForTat,1,Random,AlwaysDefect,42,82,0.5121951219512195,0.4878048780487805
TitForTat,1,AlwaysDefect,Pavlov,221,73,3.0273972602739727,0.0
TitForTat,1,Pavlov,AlwaysDefect,36,73,0.4931506849315068,0.5068493150684932
TitForTat,1,Random,Random,130,60,2.1666666666666665,0.43333333333333335
TitForTat,1,Random,Pavlov,137,58,2.3620689655172415,0.5517241379310345
TitForTat,1,Pavlov,Random,137,58,2.3620689655172415,0.5517241379310345
TitForTat,1,Pavlov,Pavlov,180,60,3.0,1.0
TitForTat,2,SEAT,SEAT,6828,2276,3.0,1.0
TitForTat,2,SEAT,TitForTat,2586,862,3.0,1.0
TitForTat,2,TitForTat,SEAT,2586,862,3.0,1.0
TitForTat,2,SEAT,Grudger,1485,495,3.0,1.0
TitForTat,2,Grudger,SEAT,1485,495,3.0,1.0
TitForTat,2,SEAT,AlwaysDefect,462,486,0.9506172839506173,0.04938271604938271
TitForTat,2,AlwaysDefect,SEAT,582,486,1.1975308641975309,0.0
TitForTat,2,SEAT,Random,1306,607,2.1515650741350907,0.47775947281713343
TitForTat,2,Random,SEAT,1351,607,2.2257001647446457,0.46293245469522243
TitForTat,2,SEAT,Pavlov,1473,491,3.0,1.0
TitForTat,2,Pavlov,SEAT,1473,491,3.0,1.0
TitForTat,2,TitForTat,TitForTat,630,210,3.0,1.0
TitForTat,2,TitForTat,Grudger,540,180,3.0,1.0
TitForTat,2,Grudger,TitForTat,540,180,3.0,1.0
TitForTat,2,TitForTat,AlwaysDefect,187,195,0.958974358974359,0.041025641025641026
TitForTat,2,AlwaysDefect,TitForTat,227,195,1.1641025641025642,0.0
TitForTat,2,TitForTat,Random,342,154,2.220779220779221,0.564935064935065
TitForTat,2,Random,TitForTat,367,154,2.383116883116883,0.5324675324675324
TitForTat,2,TitForTat,Pavlov,489,163,3.0,1.0
TitForTat,2,Pavlov,TitForTat,489,163,3.0,1.0
TitForTat,2,Grudger,Grudger,162,54,3.0,1.0
TitForTat,2,Grudger,AlwaysDefect,61,65,0.9384615384615385,0.06153846153846154
TitForTat,2,AlwaysDefect,Grudger,81,65,1.2461538461538462,0.0
TitForTat,2,Grudger,Random,307,103,2.9805825242718447,0.07766990291262135
