baseline,seed,seat,seat_type,total_score,rounds,score_per_round
TitForTat,1,0,SEAT,1276,473,2.697674418604651
TitForTat,1,1,SEAT,1364,495,2.7555555555555555
TitForTat,1,2,SEAT,1365,500,2.73
TitForTat,1,3,SEAT,1156,407,2.8402948402948405
TitForTat,1,4,SEAT,1259,468,2.6901709401709404
TitForTat,1,5,SEAT,1224,443,2.762979683972912
TitForTat,1,6,SEAT,1150,426,2.699530516431925
TitForTat,1,7,SEAT,1246,451,2.762749445676275
TitForTat,1,8,SEAT,1177,421,2.795724465558195
TitForTat,1,9,SEAT,1156,420,2.7523809523809524
TitForTat,1,10,SEAT,1246,449,2.775055679287305
TitForTat,1,11,SEAT,1233,433,2.8475750577367207
TitForTat,1,12,TitForTat,1162,424,2.740566037735849
TitForTat,1,13,TitForTat,1153,441,2.614512471655329
TitForTat,1,14,TitForTat,1576,572,2.7552447552447554
TitForTat,1,15,TitForTat,1336,494,2.7044534412955468
TitForTat,1,16,Grudger,1238,434,2.8525345622119818
TitForTat,1,17,Grudger,1375,487,2.8234086242299794
TitForTat,1,18,AlwaysDefect,796,496,1.6048387096774193
TitForTat,1,19,AlwaysDefect,546,394,1.385786802030457
TitForTat,1,20,Random,911,455,2.002197802197802
TitForTat,1,21,Random,927,481,1.9272349272349272
TitForTat,1,22,Pavlov,1194,439,2.7198177676537587
TitForTat,1,23,Pavlov,986,361,2.731301939058172
TitForTat,2,0,SEAT,1270,480,2.6458333333333335
TitForTat,2,1,SEAT,1008,363,2.7768595041322315
TitForTat,2,2,SEAT,1294,453,2.856512141280353
TitForTat,2,3,SEAT,1188,430,2.7627906976744185
TitForTat,2,4,SEAT,1231,454,2.711453744493392
TitForTat,2,5,SEAT,1223,466,2.624463519313305
TitForTat,2,6,SEAT,1073,404,2.655940594059406
TitForTat,2,7,SEAT,1161,430,2.7
TitForTat,2,8,SEAT,1322,480,2.754166666666667
TitForTat,2,9,SEAT,1120,412,2.7184466019417477
TitForTat,2,10,SEAT,1054,406,2.5960591133004924
TitForTat,2,11,SEAT,1196,439,2.724373576309795
TitForTat,2,12,TitForTat,1293,457,2.8293216630196936
TitForTat,2,13,TitForTat,876,326,2.687116564417178
TitForTat,2,14,TitForTat,1189,453,2.6247240618101544
TitForTat,2,15,TitForTat,1416,528,2.6818181818181817
TitForTat,2,16,Grudger,1374,478,2.8744769874476988
TitForTat,2,17,Grudger,1418,498,2.8473895582329316
TitForTat,2,18,AlwaysDefect,543,427,1.2716627634660422
TitForTat,2,19,AlwaysDefect,664,436,1.5229357798165137
TitForTat,2,20,Random,1054,541,1.9482439926062847
TitForTat,2,21,Random,1072,506,2.1185770750988144
TitForTat,2,22,Pavlov,1281,456,2.8092105263157894
TitForTat,2,23,Pavlov,1301,473,2.7505285412262155
TitForTat,3,0,SEAT,995,372,2.674731182795699
TitForTat,3,1,SEAT,1520,526,2.8897338403041823
TitForTat,3,2,SEAT,1468,539,2.7235621521335807
TitForTat,3,3,SEAT,1276,462,2.761904761904762
TitForTat,3,4,SEAT,1343,483,2.780538302277433
TitForTat,3,5,SEAT,1358,499,2.721442885771543
TitForTat,3,6,SEAT,1183,414,2.857487922705314
TitForTat,3,7,SEAT,1343,501,2.68063872255489
TitForTat,3,8,SEAT,1122,396,2.8333333333333335
TitForTat,3,9,SEAT,1056,388,2.7216494845360826
TitForTat,3,10,SEAT,1219,454,2.685022026431718
TitForTat,3,11,SEAT,1272,463,2.7473002159827216
TitForTat,3,12,TitForTat,1282,478,2.6820083682008367
TitForTat,3,13,TitForTat,1206,435,2.7724137931034485
TitForTat,3,14,TitForTat,1167,408,2.860294117647059
TitForTat,3,15,TitForTat,1220,462,2.6406926406926408
TitForTat,3,16,Grudger,1232,430,2.8651162790697673
TitForTat,3,17,Grudger,1063,378,2.812169312169312
TitForTat,3,18,AlwaysDefect,765,445,1.7191011235955056
TitForTat,3,19,AlwaysDefect,752,500,1.504
TitForTat,3,20,Random,1160,510,2.2745098039215685
TitForTat,3,21,Random,1010,484,2.0867768595041323
TitForTat,3,22,Pavlov,1417,535,2.6485981308411213
TitForTat,3,23,Pavlov,1273,482,2.641078838174274
TitForTat,4,0,SEAT,887,337,2.6320474777448073
TitForTat,4,1,SEAT,894,352,2.539772727272727
TitForTat,4,2,SEAT,1205,443,2.7200902934537248
TitForTat,4,3,SEAT,1182,455,2.597802197802198
TitForTat,4,4,SEAT,1436,507,2.8323471400394475
TitForTat,4,5,SEAT,1090,409,2.665036674816626
TitForTat,4,6,SEAT,1117,430,2.597674418604651
TitForTat,4,7,SEAT,1072,388,2.7628865979381443
TitForTat,4,8,SEAT,1115,417,2.673860911270983
TitForTat,4,9,SEAT,1209,427,2.831381733021077
TitForTat,4,10,SEAT,1228,445,2.7595505617977527
TitForTat,4,11,SEAT,1082,393,2.753180661577608
TitForTat,4,12,TitForTat,1314,487,2.6981519507186857
TitForTat,4,13,TitForTat,1351,497,2.7183098591549295
TitForTat,4,14,TitForTat,1391,518,2.6853281853281854
TitForTat,4,15,TitForTat,1223,452,2.7057522123893807
TitForTat,4,16,Grudger,1293,449,2.8797327394209353
TitForTat,4,17,Grudger,1247,455,2.7406593406593407
TitForTat,4,18,AlwaysDefect,749,557,1.3447037701974864
TitForTat,4,19,AlwaysDefect,752,488,1.540983606557377
TitForTat,4,20,Random,982,469,2.093816631130064
TitForTat,4,21,Random,857,408,2.1004901960784315
TitForTat,4,22,Pavlov,1140,431,2.645011600928074
TitForTat,4,23,Pavlov,1164,418,2.784688995215311
TitForTat,5,0,SEAT,1211,461,2.6268980477223427
TitForTat,5,1,SEAT,1261,447,2.821029082774049
TitForTat,5,2,SEAT,1318,485,2.7175257731958764
TitForTat,5,3,SEAT,1213,435,2.788505747126437
TitForTat,5,4,SEAT,1337,496,2.6955645161290325
TitForTat,5,5,SEAT,1459,526,2.773764258555133
TitForTat,5,6,SEAT,1563,572,2.7325174825174825
TitForTat,5,7,SEAT,1099,386,2.8471502590673574
TitForTat,5,8,SEAT,1218,439,2.774487471526196
TitForTat,5,9,SEAT,1166,421,2.7695961995249405
TitForTat,5,10,SEAT,1241,455,2.7274725274725276
TitForTat,5,11,SEAT,1446,519,2.786127167630058
TitForTat,5,12,TitForTat,1236,462,2.675324675324675
TitForTat,5,13,TitForTat,1374,518,2.6525096525096523
TitForTat,5,14,TitForTat,1278,459,2.784313725490196
TitForTat,5,15,TitForTat,1564,557,2.807899461400359
TitForTat,5,16,Grudger,1642,572,2.870629370629371
TitForTat,5,17,Grudger,1020,356,2.865168539325843
TitForTat,5,18,AlwaysDefect,679,447,1.5190156599552573
TitForTat,5,19,AlwaysDefect,782,490,1.5959183673469388
TitForTat,5,20,Random,1024,509,2.011787819253438
TitForTat,5,21,Random,871,453,1.9227373068432672
TitForTat,5,22,Pavlov,883,329,2.683890577507599
TitForTat,5,23,Pavlov,1260,478,2.6359832635983262
TitForTat,6,0,SEAT,1257,461,2.7266811279826464
TitForTat,6,1,SEAT,1129,426,2.6502347417840375
TitForTat,6,2,SEAT,1459,531,2.7476459510357816
TitForTat,6,3,SEAT,1246,453,2.750551876379691
TitForTat,6,4,SEAT,1346,490,2.746938775510204
TitForTat,6,5,SEAT,1365,505,2.702970297029703
TitForTat,6,6,SEAT,1296,489,2.6503067484662575
TitForTat,6,7,SEAT,1269,461,2.752711496746204
TitForTat,6,8,SEAT,1314,469,2.8017057569296377
TitForTat,6,9,SEAT,1181,428,2.7593457943925235
TitForTat,6,10,SEAT,1230,469,2.6226012793176974
TitForTat,6,11,SEAT,1282,473,2.7103594080338267
TitForTat,6,12,TitForTat,1479,538,2.7490706319702602
TitForTat,6,13,TitForTat,1401,498,2.8132530120481927
TitForTat,6,14,TitForTat,1421,523,2.7170172084130018
TitForTat,6,15,TitForTat,1120,396,2.8282828282828283
TitForTat,6,16,Grudger,1242,434,2.8617511520737327
TitForTat,6,17,Grudger,939,325,2.8892307692307693
TitForTat,6,18,AlwaysDefect,850,526,1.6159695817490494
TitForTat,6,19,AlwaysDefect,665,453,1.467991169977925
TitForTat,6,20,Random,1017,494,2.0587044534412957
TitForTat,6,21,Random,1105,564,1.9592198581560283
TitForTat,6,22,Pavlov,1009,387,2.607235142118863
TitForTat,6,23,Pavlov,913,357,2.557422969187675
TitForTat,7,0,SEAT,1330,461,2.8850325379609543
TitForTat,7,1,SEAT,1223,452,2.7057522123893807
TitForTat,7,2,SEAT,1289,455,2.832967032967033
TitForTat,7,3,SEAT,1319,477,2.7651991614255764
TitForTat,7,4,SEAT,1303,484,2.6921487603305785
TitForTat,7,5,SEAT,1276,473,2.697674418604651
TitForTat,7,6,SEAT,1295,448,2.890625
TitForTat,7,7,SEAT,1334,463,2.8812095032397407
TitForTat,7,8,SEAT,1398,513,2.7251461988304095
TitForTat,7,9,SEAT,1198,429,2.7925407925407923
TitForTat,7,10,SEAT,1340,490,2.7346938775510203
