dataset,scope,level,n_sandboxes,pC_CC,pC_CD,pC_DC,pC_DD
deficit_d30,all,all,6,0.7321354865861845,0.25556072113517625,0.20028168824922546,0.07793400819547817
deficit_d30,model,model=deepseek-ai/DeepSeek-V4-Flash-0731,6,0.7321354865861845,0.25556072113517625,0.20028168824922546,0.07793400819547817
deficit_d30,effort,effort=off,6,0.7321354865861845,0.25556072113517625,0.20028168824922546,0.07793400819547817
deficit_d30,score_state,score_state=behind,6,0.7321354865861845,0.25556072113517625,0.20028168824922546,0.07793400819547817
deficit_d30,condition,condition=forbidden,6,0.7321354865861845,0.25556072113517625,0.20028168824922546,0.07793400819547817
deficit_d30,opponent_type,opponent_type=AlwaysDefect,6,,0.209510397010397,,0.07033370831128315
deficit_d30,opponent_type,opponent_type=Grudger,6,0.7272727272727273,0.23188540990698678,0.11850649350649352,0.06935710246329263
deficit_d30,opponent_type,opponent_type=LLM,6,0.7045759936766034,0.23124615962824283,0.25740220132869224,0.0746919703962568
deficit_d30,opponent_type,opponent_type=Pavlov,6,0.7096673699766566,0.3075439771868343,0.15128110749396445,0.10036518676402166
deficit_d30,opponent_type,opponent_type=Random,6,0.5990795855379188,0.2790921997377119,0.205279127973372,0.1526601159888357
deficit_d30,opponent_type,opponent_type=TitForTat,6,0.5190168481823813,0.18771960102082444,0.15999225797722694,0.07445346990707825
low_arm,all,all,6,0.6069581763651791,0.08844900780077118,0.18513597540194493,0.11579196772736451
low_arm,model,model=deepseek-ai/DeepSeek-V4-Flash-0731,6,0.6069581763651791,0.08844900780077118,0.18513597540194493,0.11579196772736451
low_arm,effort,effort=low,6,0.6069581763651791,0.08844900780077118,0.18513597540194493,0.11579196772736451
low_arm,score_state,score_state=behind,6,0.6069581763651791,0.08844900780077118,0.18513597540194493,0.11579196772736451
low_arm,condition,condition=forbidden,6,0.6069581763651791,0.08844900780077118,0.18513597540194493,0.11579196772736451
low_arm,opponent_type,opponent_type=AlwaysDefect,6,,0.0338949605343048,,0.07000742530331715
low_arm,opponent_type,opponent_type=Grudger,6,0.6018316650669592,0.10200136470760574,0.20727225672877847,0.10478428400173788
low_arm,opponent_type,opponent_type=LLM,6,0.6105617260853676,0.0830018472050536,0.2298155930638185,0.11405851436562416
low_arm,opponent_type,opponent_type=Pavlov,6,0.6042031964259097,0.14810580090071923,0.13353466607780648,0.17649545866405722
low_arm,opponent_type,opponent_type=Random,6,0.4766582376657757,0.078216615736014,0.13907640235238097,0.13952689241211924
low_arm,opponent_type,opponent_type=TitForTat,6,0.6111563639592815,0.10872594840159516,0.2095431410513429,0.14303197075087673
prereg,all,all,69,0.8329542546444423,0.2937624749683561,0.30247786646132374,0.145844481544371
prereg,model,model=XiaomiMiMo/MiMo-V2.5-Pro,13,0.8027951118099291,0.36351486696215424,0.4840037218359766,0.28603443731852385
prereg,model,model=deepseek-ai/DeepSeek-V4-Flash-0731,56,0.8399554842310257,0.2775699553983672,0.26033793574935077,0.11330038466822834
prereg,effort,effort=high,19,0.8105194546417243,0.16346193311212154,0.2757927260491698,0.13291627118887117
prereg,effort,effort=off,50,0.8414794786454752,0.34327668087372515,0.3126182198179422,0.15075720147946087
prereg,score_state,score_state=ahead,26,0.866698926654579,0.42705885086268114,0.2722740285559071,0.15199650694522457
prereg,score_state,score_state=behind,43,0.8125504994755225,0.21316466628806643,0.3207406521715757,0.14212465223222692
prereg,condition,condition=absent,2,0.8662276337709448,0.5017611826549156,0.2918885462363723,0.1346837073765291
prereg,condition,condition=forbidden,30,0.8028231194263312,0.3227445130323054,0.36395578976695925,0.1984073864221417
prereg,condition,condition=hidden,18,0.8156314978916823,0.2590032421456476,0.21433940203534727,0.10130639113531725
prereg,condition,condition=permitted,19,0.8934383030570746,0.259036560942943,0.29002172440597723,0.10621921993203035
prereg,opponent_type,opponent_type=AlwaysDefect,69,,0.21541006408947808,,0.10442186432143502
prereg,opponent_type,opponent_type=Grudger,69,0.8070901349355524,0.341350605078674,0.3705298758409511,0.1284674092647288
prereg,opponent_type,opponent_type=LLM,69,0.841298158818139,0.26182954146548987,0.37595691997680525,0.155921506061819
prereg,opponent_type,opponent_type=Pavlov,69,0.8052146500399409,0.3451766008413257,0.20394708339429027,0.19296184184696075
prereg,opponent_type,opponent_type=Random,69,0.6884754600904605,0.25265896038088526,0.23893471186134163,0.19843258266666824
prereg,opponent_type,opponent_type=TitForTat,69,0.8449993188143805,0.3580387744963602,0.37075917672992786,0.20684518184663464
replication,all,all,24,0.8420632023819851,0.2961454568191235,0.23961746563408814,0.08408327780847731
replication,model,model=deepseek-ai/DeepSeek-V4-Flash-0731,24,0.8420632023819851,0.2961454568191235,0.23961746563408814,0.08408327780847731
replication,effort,effort=off,24,0.8420632023819851,0.2961454568191235,0.23961746563408814,0.08408327780847731
replication,score_state,score_state=ahead,12,0.8776839130287831,0.3621170166433787,0.21454100607774526,0.08659634725294611
replication,score_state,score_state=behind,12,0.806442491735187,0.23017389699486837,0.264693925190431,0.08157020836400854
replication,condition,condition=hidden,12,0.8204047348478373,0.31001379493949344,0.25058005656905785,0.08844183664112598
replication,condition,condition=permitted,12,0.8637216699161328,0.2822771186987536,0.22865487469911847,0.07972471897582865
replication,opponent_type,opponent_type=AlwaysDefect,24,,0.3089214763922228,,0.08121252928564789
replication,opponent_type,opponent_type=Grudger,24,0.7942029748505286,0.37362049519539237,0.19127465479367656,0.09299921698831204
replication,opponent_type,opponent_type=LLM,24,0.8499867970879093,0.27310513635091643,0.3923734912791048,0.08155438693399714
replication,opponent_type,opponent_type=Pavlov,24,0.8128891318022342,0.2683256502391466,0.12117918584131364,0.08825642361212677
replication,opponent_type,opponent_type=Random,24,0.6903949882598358,0.22443883923113092,0.169050617516583,0.11045511244555935
replication,opponent_type,opponent_type=TitForTat,24,0.8383051152114539,0.31562732475962346,0.22149556359546307,0.08072329430051364
