opponent_type,model,n_sandboxes,mean_within_sandbox_diff,median,n_positive
Grudger,DeepSeek,8,0.15967983200040248,0.19063953325369737,5
Grudger,MiMo,9,-0.1612883000060411,-0.18246381764688402,1
LLM,DeepSeek,53,0.016381569349945165,0.00486361927997081,27
LLM,MiMo,13,-0.018751780522618056,-0.006275129438967353,6
Pavlov,DeepSeek,9,-0.07531926264145822,-0.09104678908600483,3
Pavlov,MiMo,11,-0.016118794569293018,0.033460468668525756,6
Random,DeepSeek,41,-0.10252715606044835,-0.08379741333545687,8
Random,MiMo,11,-0.0998806543102063,-0.13025013514177602,2
TitForTat,DeepSeek,29,-0.060331232565535325,-0.07389157393811363,8
TitForTat,MiMo,11,0.12831281732061584,0.10468251091593861,9
