opponent_type,condition,n_games,n_correct,accuracy,ci_lo,ci_hi
AlwaysDefect,absent,42,41,0.9761904761904762,0.8767851883475174,0.9957847045008997
AlwaysDefect,forbidden,619,589,0.9515347334410339,0.9316559986271297,0.9658434619098671
AlwaysDefect,hidden,405,397,0.980246913580247,0.9615110491129317,0.9899576859668646
AlwaysDefect,permitted,429,419,0.9766899766899767,0.9576281458804787,0.9872902723122274
Grudger,absent,41,39,0.9512195121951219,0.8386073303764864,0.9865193377174265
Grudger,forbidden,625,525,0.84,0.8091937662404738,0.866652106551657
Grudger,hidden,403,384,0.9528535980148883,0.927542420495761,0.9696126393604583
Grudger,permitted,404,375,0.9282178217821783,0.8988095897875217,0.9495589925248271
LLM,absent,173,50,0.28901734104046245,0.22663145266809848,0.36056974885914406
LLM,forbidden,3113,1095,0.35175072277545777,0.3351680791363692,0.3686988097039234
LLM,hidden,1691,413,0.244234180958013,0.2243512207788929,0.26527660048770807
LLM,permitted,1739,440,0.25301897642323173,0.2331453915451242,0.27398136053607464
Pavlov,absent,38,35,0.9210526315789473,0.792003210797347,0.972785898605735
Pavlov,forbidden,616,491,0.797077922077922,0.7635217816524448,0.8269516554321265
Pavlov,hidden,384,368,0.9583333333333334,0.9333943615737621,0.9741926533312921
Pavlov,permitted,391,363,0.928388746803069,0.8984483348779668,0.9499931667267274
Random,absent,35,21,0.6,0.43572419581519467,0.7444949506669274
Random,forbidden,546,323,0.5915750915750916,0.5498438767520801,0.632026683787537
Random,hidden,358,281,0.7849162011173184,0.7394471332874158,0.8243354721399313
Random,permitted,370,259,0.7,0.6514454867902923,0.744444109231124
TitForTat,absent,81,72,0.8888888888888888,0.8021271435356178,0.9404331099249487
TitForTat,forbidden,1188,932,0.7845117845117845,0.7602336385266398,0.8069558269191038
TitForTat,hidden,746,685,0.9182305630026809,0.8963582431032698,0.9358175124162958
TitForTat,permitted,782,717,0.9168797953964194,0.895432774199298,0.9342509686822189
