opponent_type,model,effort,n_games,n_correct,accuracy,ci_lo,ci_hi
AlwaysDefect,DeepSeek,high,439,436,0.9931662870159453,0.9801029555918783,0.9976732966843305
AlwaysDefect,DeepSeek,off,838,818,0.9761336515513126,0.9634237451468632,0.9844980491669364
AlwaysDefect,MiMo,off,218,192,0.8807339449541285,0.8309845890671408,0.9172970677546637
Grudger,DeepSeek,high,429,406,0.9463869463869464,0.9208376945907059,0.9640125600983075
Grudger,DeepSeek,off,810,750,0.9259259259259259,0.9058102823134297,0.9420205486492539
Grudger,MiMo,off,234,167,0.7136752136752137,0.6526701225222583,0.7677777722110432
LLM,DeepSeek,high,1904,962,0.5052521008403361,0.4828062705117773,0.5276767800727155
LLM,DeepSeek,off,3665,392,0.10695770804911324,0.09736001869253792,0.11737849713763583
LLM,MiMo,off,1147,644,0.5614646904969486,0.5325898312612746,0.589929201766381
Pavlov,DeepSeek,high,434,420,0.967741935483871,0.94658680501394,0.9806891778986019
Pavlov,DeepSeek,off,783,728,0.929757343550447,0.9096797314405445,0.9456385435464416
Pavlov,MiMo,off,212,109,0.5141509433962265,0.4472203093787086,0.5805778537186741
Random,DeepSeek,high,316,159,0.5031645569620253,0.44833040255273926,0.5579226927294254
Random,DeepSeek,off,798,658,0.8245614035087719,0.7966344975678878,0.8493783807861413
Random,MiMo,off,195,67,0.3435897435897436,0.28053236895825917,0.4126907795177136
TitForTat,DeepSeek,high,841,818,0.9726516052318668,0.9592963881287517,0.9817084108773577
TitForTat,DeepSeek,off,1554,1395,0.8976833976833977,0.8816210594668903,0.911784380470007
TitForTat,MiMo,off,402,193,0.48009950248756217,0.431679982843687,0.528895768878167
