model,effort,condition,n_vs_llm,n_vs_script,say_model_rate_overall,hit_rate_llm,false_alarm_script,discrimination_h_minus_f,accuracy
DeepSeek,high,absent,48,96,0.2847222222222222,0.625,0.11458333333333333,0.5104166666666666,0.7986111111111112
DeepSeek,high,forbidden,603,784,0.31290555155010813,0.593698175787728,0.09693877551020408,0.4967594002775239,0.768565248738284
DeepSeek,high,hidden,625,782,0.26510305614783225,0.5024,0.07544757033248081,0.4269524296675191,0.7370291400142146
DeepSeek,high,permitted,628,797,0.2343859649122807,0.4140127388535032,0.09284818067754078,0.32116455817596246,0.6898245614035088
DeepSeek,off,absent,125,141,0.14285714285714285,0.16,0.1276595744680851,0.03234042553191491,0.5375939849624061
DeepSeek,off,forbidden,1460,1646,0.10206052801030265,0.10410958904109589,0.10024301336573511,0.0038665756753607783,0.525756600128783
DeepSeek,off,hidden,1066,1514,0.08565891472868217,0.09287054409005628,0.08058124174372523,0.012289302346331049,0.577906976744186
DeepSeek,off,permitted,1014,1482,0.10016025641025642,0.11932938856015779,0.08704453441295547,0.03228485414720232,0.5905448717948718
MiMo,off,forbidden,1050,1164,0.4869015356820235,0.5571428571428572,0.42353951890034364,0.13360333824251353,0.5672990063233966
MiMo,off,permitted,97,97,0.5103092783505154,0.6082474226804123,0.41237113402061853,0.19587628865979378,0.5979381443298969
