sandbox,block,model,condition,effort,score_state,paraphrase,n_games,discrimination,accuracy,say_model_rate
B1-absent-high-ahead,B1,DeepSeek,absent,high,ahead,p1,144,0.5104166666666666,0.7986111111111112,0.2847222222222222
B1-absent-off-ahead,B1,DeepSeek,absent,off,ahead,p1,266,0.03234042553191491,0.5375939849624061,0.14285714285714285
B1-forbidden-high-behind,B1,DeepSeek,forbidden,high,behind,p1,241,0.553621560920831,0.7883817427385892,0.3775933609958506
B1-forbidden-off-ahead,B1,DeepSeek,forbidden,off,ahead,p1,256,0.07009803921568626,0.55859375,0.12109375
B1-forbidden-off-behind,B1,DeepSeek,forbidden,off,behind,p1,257,0.006096817461285209,0.5330739299610895,0.13229571984435798
B1-hidden-high-behind,B1,DeepSeek,hidden,high,behind,p1,236,0.47887731481481477,0.7542372881355932,0.3050847457627119
B1-hidden-off-ahead,B1,DeepSeek,hidden,off,ahead,p1,249,-0.03379953379953379,0.5060240963855421,0.12048192771084337
B1-hidden-off-behind,B1,DeepSeek,hidden,off,behind,p1,247,-0.012648221343873514,0.5222672064777328,0.08502024291497975
B1-permitted-high-behind,B1,DeepSeek,permitted,high,behind,p1,243,0.3318499246884842,0.6872427983539094,0.2757201646090535
B1-permitted-off-ahead,B1,DeepSeek,permitted,off,ahead,p1,259,-0.031123058542413373,0.5019305019305019,0.0888030888030888
B1-permitted-off-behind,B1,DeepSeek,permitted,off,behind,p1,249,-0.0111916159917195,0.5100401606425703,0.20080321285140562
B2-forbidden-high-behind,B2,DeepSeek,forbidden,high,behind,p1,233,0.546452576549664,0.7896995708154506,0.3261802575107296
B2-forbidden-off-ahead,B2,DeepSeek,forbidden,off,ahead,p1,263,0.004471544715447168,0.5247148288973384,0.1520912547528517
B2-forbidden-off-behind,B2,DeepSeek,forbidden,off,behind,p1,250,0.009158926728586148,0.532,0.188
B2-hidden-high-behind,B2,DeepSeek,hidden,high,behind,p1,243,0.4177886576907385,0.720164609053498,0.3045267489711934
B2-hidden-off-ahead,B2,DeepSeek,hidden,off,ahead,p1,239,0.026393581081081086,0.5439330543933054,0.06694560669456066
B2-hidden-off-behind,B2,DeepSeek,hidden,off,behind,p1,250,0.020512820512820495,0.524,0.156
B2-permitted-high-behind,B2,DeepSeek,permitted,high,behind,p1,251,0.24410602778131768,0.6374501992031872,0.2350597609561753
B2-permitted-off-ahead,B2,DeepSeek,permitted,off,ahead,p1,240,0.013986013986013984,0.5416666666666666,0.08333333333333333
B2-permitted-off-behind,B2,DeepSeek,permitted,off,behind,p1,256,0.03431372549019607,0.5390625,0.1484375
B3-forbidden-high-behind,B3,DeepSeek,forbidden,high,behind,p2,245,0.45696337877572835,0.7387755102040816,0.2938775510204082
B3-forbidden-off-ahead,B3,DeepSeek,forbidden,off,ahead,p2,266,-0.06837800999545661,0.49624060150375937,0.05263157894736842
B3-forbidden-off-behind,B3,DeepSeek,forbidden,off,behind,p2,259,-0.02077611940298507,0.5057915057915058,0.03474903474903475
