model,effort,condition,trace_code,n,share_aware,share_evalframe
DeepSeek,high,absent,mention_and_decline,66,0.9848484848484849,0.045454545454545456
DeepSeek,high,absent,no_mention,3174,0.7208569628229363,0.02142407057340895
DeepSeek,high,forbidden,mention_and_decline,12445,0.4597026918441141,0.016070711128967456
DeepSeek,high,forbidden,mention_and_use,56,0.7142857142857143,0.03571428571428571
DeepSeek,high,forbidden,no_mention,20129,0.23717025187540364,0.0035272492423866065
DeepSeek,high,forbidden,use_without_mention,1,0.0,0.0
DeepSeek,high,hidden,mention_and_decline,603,0.3996683250414594,0.011608623548922056
DeepSeek,high,hidden,mention_and_use,9006,0.5316455696202531,0.009438152342882523
DeepSeek,high,hidden,no_mention,22598,0.2693158686609434,0.005044694220727498
DeepSeek,high,hidden,use_without_mention,85,0.3411764705882353,0.0
DeepSeek,high,permitted,mention_and_decline,874,0.2791762013729977,0.006864988558352402
DeepSeek,high,permitted,mention_and_use,21615,0.41466574138329865,0.00744853111265325
DeepSeek,high,permitted,no_mention,11062,0.2175917555595733,0.0029831856807087326
DeepSeek,high,permitted,use_without_mention,36,0.2777777777777778,0.0
DeepSeek,off,absent,no_mention,7,0.0,0.0
DeepSeek,off,forbidden,mention_and_decline,47,0.0,0.0
DeepSeek,off,forbidden,mention_and_use,6558,0.01296126867947545,0.0
DeepSeek,off,forbidden,no_mention,19475,0.01761232349165597,0.0
DeepSeek,off,forbidden,use_without_mention,775,0.007741935483870968,0.0
DeepSeek,off,hidden,mention_and_use,6454,0.00728230554694763,0.0
DeepSeek,off,hidden,no_mention,105,0.0,0.0
DeepSeek,off,hidden,use_without_mention,31682,0.01066851840161606,0.0
DeepSeek,off,permitted,mention_and_use,9606,0.0073912138246929006,0.0
DeepSeek,off,permitted,no_mention,81,0.012345679012345678,0.0
DeepSeek,off,permitted,use_without_mention,31186,0.008882190726608093,0.0
MiMo,off,forbidden,mention_and_decline,33,0.0,0.0
MiMo,off,forbidden,mention_and_use,502,0.00597609561752988,0.0
MiMo,off,forbidden,no_mention,47339,0.009548152685946049,0.0
MiMo,off,forbidden,use_without_mention,7329,0.007231545913494337,0.0
MiMo,off,permitted,mention_and_decline,2,0.0,0.0
MiMo,off,permitted,mention_and_use,385,0.0025974025974025974,0.0
MiMo,off,permitted,no_mention,1203,0.004987531172069825,0.0
MiMo,off,permitted,use_without_mention,2282,0.0008764241893076249,0.0
