model,effort,condition,n_games,share_any_mention,mean_mentions_per_game,share_test,share_experiment,share_evaluation,share_researcher
DeepSeek,high,absent,276,0.5036231884057971,31.884057971014492,0.5036231884057971,0.4782608695652174,0.2536231884057971,0.0
DeepSeek,high,forbidden,1656,0.9317632850241546,12.894927536231885,0.9317632850241546,0.37983091787439616,0.05374396135265701,0.0
DeepSeek,high,hidden,1656,0.8429951690821256,11.893719806763285,0.842391304347826,0.2916666666666667,0.04045893719806763,0.0
DeepSeek,high,permitted,1656,0.7904589371980676,11.042270531400966,0.7898550724637681,0.1926328502415459,0.02355072463768116,0.0
DeepSeek,off,absent,276,0.0,0.0,0.0,0.0,0.0,0.0
DeepSeek,off,forbidden,3312,0.11654589371980677,0.1373792270531401,0.10869565217391304,0.010567632850241546,0.0,0.0
DeepSeek,off,hidden,3312,0.1286231884057971,0.14553140096618358,0.125,0.00392512077294686,0.0,0.0
DeepSeek,off,permitted,3312,0.12107487922705314,0.1503623188405797,0.11986714975845411,0.0012077294685990338,0.0,0.0
MiMo,off,forbidden,3312,0.13949275362318841,0.1636473429951691,0.13526570048309178,0.005736714975845411,0.0,0.0
MiMo,off,permitted,276,0.03985507246376811,0.03985507246376811,0.03985507246376811,0.0,0.0,0.0
