model,effort,condition,score_state,paraphrase,n_agent_games_with_traces,mean_traces_per_game,share_game_any_awareness,share_game_evalframe
DeepSeek,high,absent,ahead,p1,192,16.875,0.9947916666666666,0.5364583333333334
DeepSeek,high,forbidden,behind,p1,552,19.32608695652174,0.9637681159420289,0.161231884057971
DeepSeek,high,forbidden,behind,p2,552,19.842391304347824,0.9836956521739131,0.30434782608695654
DeepSeek,high,forbidden,behind,p3,552,19.945652173913043,0.9891304347826086,0.4148550724637681
DeepSeek,high,hidden,behind,p1,552,19.528985507246375,0.9619565217391305,0.1793478260869565
DeepSeek,high,hidden,behind,p2,551,19.673321234119783,0.969147005444646,0.17967332123411978
DeepSeek,high,hidden,behind,p3,552,19.333333333333332,0.980072463768116,0.2753623188405797
DeepSeek,high,permitted,behind,p1,552,20.411231884057973,0.9746376811594203,0.13768115942028986
DeepSeek,high,permitted,behind,p2,552,20.143115942028984,0.9728260869565217,0.21195652173913043
DeepSeek,high,permitted,behind,p3,552,20.291666666666668,0.980072463768116,0.2210144927536232
DeepSeek,off,absent,ahead,p1,7,1.0,0.0,0.0
DeepSeek,off,forbidden,ahead,p1,523,6.355640535372849,0.09751434034416825,0.0
DeepSeek,off,forbidden,ahead,p2,367,4.049046321525886,0.09264305177111716,0.0
DeepSeek,off,forbidden,ahead,p3,533,13.634146341463415,0.19699812382739212,0.0
DeepSeek,off,forbidden,behind,p1,544,8.647058823529411,0.09191176470588236,0.0
DeepSeek,off,forbidden,behind,p2,457,5.146608315098468,0.07658643326039387,0.0
DeepSeek,off,forbidden,behind,p3,531,14.542372881355933,0.1544256120527307,0.0
DeepSeek,off,hidden,ahead,p1,546,12.296703296703297,0.14102564102564102,0.0
DeepSeek,off,hidden,ahead,p2,538,10.79182156133829,0.11524163568773234,0.0
DeepSeek,off,hidden,ahead,p3,536,12.07089552238806,0.1287313432835821,0.0
DeepSeek,off,hidden,behind,p1,546,13.906593406593407,0.12087912087912088,0.0
DeepSeek,off,hidden,behind,p2,546,10.558608058608058,0.08424908424908426,0.0
DeepSeek,off,hidden,behind,p3,541,10.89279112754159,0.053604436229205174,0.0
DeepSeek,off,permitted,ahead,p1,548,15.286496350364963,0.13503649635036497,0.0018248175182481751
DeepSeek,off,permitted,ahead,p2,544,11.6875,0.11764705882352941,0.0
DeepSeek,off,permitted,ahead,p3,534,10.986891385767791,0.08052434456928839,0.0
DeepSeek,off,permitted,behind,p1,549,15.703096539162113,0.11839708561020036,0.0
DeepSeek,off,permitted,behind,p2,541,12.643253234750462,0.06839186691312385,0.0
DeepSeek,off,permitted,behind,p3,528,9.109848484848484,0.045454545454545456,0.0
MiMo,off,forbidden,ahead,p1,548,14.908759124087592,0.16605839416058393,0.0018248175182481751
MiMo,off,forbidden,ahead,p2,550,18.514545454545456,0.2909090909090909,0.0018181818181818182
MiMo,off,forbidden,ahead,p3,549,16.92349726775956,0.09836065573770492,0.0
MiMo,off,forbidden,behind,p1,549,15.158469945355192,0.0692167577413479,0.0
MiMo,off,forbidden,behind,p2,549,18.136612021857925,0.1366120218579235,0.0
MiMo,off,forbidden,behind,p3,550,16.87272727272727,0.025454545454545455,0.0
MiMo,off,permitted,behind,p1,276,14.028985507246377,0.03260869565217391,0.0
