model,effort,recall_code,n_games,share_of_cell,n_attempted_use,attempted_use_rate,ci_lo,ci_hi,cell_n
DeepSeek,high,names_prohibition,1652,0.9975845410628019,55,0.033292978208232446,0.025667049837004734,0.043084453930022255,1656
DeepSeek,high,none,4,0.0024154589371980675,1,0.25,0.045586062644636216,0.6993639475573634,1656
DeepSeek,off,denies_any,49,0.014943580359865812,30,0.6122448979591837,0.4724574648805242,0.735711856260395,3279
DeepSeek,off,names_prohibition,2967,0.9048490393412626,2291,0.7721604314122009,0.756721501391228,0.7868954992593621,3279
DeepSeek,off,names_while_denying,249,0.07593778591033852,161,0.6465863453815262,0.5853938238267271,0.7033244883497503,3279
DeepSeek,off,none,14,0.004269594388533089,9,0.6428571428571429,0.3876400468214042,0.8365550926279727,3279
MiMo,off,denies_any,452,0.13730255164034022,415,0.918141592920354,0.8892049632720671,0.9400304553470322,3292
MiMo,off,names_prohibition,2057,0.6248481166464156,1787,0.8687408847836655,0.8534577896036546,0.8826492455027797,3292
MiMo,off,names_while_denying,166,0.050425273390036454,154,0.927710843373494,0.8779057748762292,0.9581673662152347,3292
MiMo,off,none,617,0.18742405832320777,574,0.9303079416531604,0.9074395826714418,0.9478510421835938,3292
