model,effort,condition,gap_bin,n,board_call_rate,ci_lo,ci_hi,mean_round
DeepSeek,high,forbidden,<=-10,2243,0.0,0.0,0.001709777849938331,18.8773963441819
DeepSeek,high,forbidden,-9..-4,5481,0.0010946907498631637,0.0005017932770901486,0.0023864578621952594,13.025177887246853
DeepSeek,high,forbidden,0,13919,0.0019397945254687836,0.001333528263283761,0.0028209110143993243,10.751849989223365
DeepSeek,high,forbidden,4..9,8478,0.0023590469450342063,0.0015276787603235446,0.0036411987155302843,13.524534088228355
DeepSeek,high,forbidden,>=10,2510,0.0015936254980079682,0.0006198889021761119,0.004090670426621692,19.53386454183267
DeepSeek,high,hidden,<=-10,2124,0.10357815442561205,0.0913268614248495,0.1172608454796494,18.938794726930322
DeepSeek,high,hidden,-9..-4,5629,0.19346242671877775,0.1833535671476335,0.20398940376069097,13.257061645052406
DeepSeek,high,hidden,0,14206,0.3346473321131916,0.3269333466981518,0.34245072300182283,10.695058426017177
DeepSeek,high,hidden,4..9,7887,0.3290224419931533,0.31873815444166703,0.3394732079559763,13.604031951312287
DeepSeek,high,hidden,>=10,2433,0.197698314837649,0.1823547587837996,0.21399500806194044,19.82983970406905
DeepSeek,high,permitted,<=-10,2340,0.43803418803418803,0.4180491504876046,0.45822235181869464,18.918803418803417
DeepSeek,high,permitted,-9..-4,4743,0.5348935273033945,0.5206758752740167,0.5490547009474439,13.488720219270505
DeepSeek,high,permitted,0,18672,0.6901242502142245,0.6834525851896318,0.6967176985420529,11.480773350471294
DeepSeek,high,permitted,4..9,6494,0.6884816753926701,0.6771091440679917,0.6996313415726554,14.976131813982137
DeepSeek,high,permitted,>=10,1331,0.5612321562734786,0.5344340126155265,0.5876778544404597,21.69196093163035
DeepSeek,off,forbidden,<=-10,10516,0.22717763408139977,0.21926956391196492,0.23528496093943588,16.281666032712057
DeepSeek,off,forbidden,-9..-4,7694,0.1859890824018716,0.17745216241733328,0.19483941604278984,12.530543280478295
DeepSeek,off,forbidden,0,27863,0.12127193769515128,0.1174909614932202,0.1251573334610239,11.247209561066647
DeepSeek,off,forbidden,4..9,14817,0.19194168860093136,0.18568050411546244,0.198362572088793,13.409529594384828
DeepSeek,off,forbidden,>=10,4910,0.2384928716904277,0.22677984493573264,0.25061478658840924,18.50081466395112
DeepSeek,off,hidden,<=-10,5070,0.9390532544378698,0.9321296826341319,0.94531197813825,16.65207100591716
DeepSeek,off,hidden,-9..-4,6682,0.9046692607003891,0.8973934424792297,0.9114800432461875,12.36471116432206
DeepSeek,off,hidden,0,25060,0.8100558659217877,0.805151841934871,0.8148648437754312,10.751077414205906
DeepSeek,off,hidden,4..9,14705,0.9217953077184631,0.9173446383180428,0.9260256512906235,12.551853111186672
DeepSeek,off,hidden,>=10,5438,0.9698418536226554,0.9649541108583628,0.9740662384292753,18.022250827510113
DeepSeek,off,permitted,<=-10,4890,0.9893660531697341,0.9860825442376318,0.991881270529074,16.87321063394683
DeepSeek,off,permitted,-9..-4,6435,0.9813519813519813,0.9777480247426703,0.984381560802655,12.603108003108003
DeepSeek,off,permitted,0,26817,0.9362344781295447,0.9332471409421489,0.9390968499339617,10.875862326136406
DeepSeek,off,permitted,4..9,12349,0.9851000080978217,0.9828073133292391,0.9870909811652034,12.457931816341404
DeepSeek,off,permitted,>=10,4768,0.9947567114093959,0.9922709043471993,0.9964459046935701,17.92806208053691
MiMo,off,forbidden,<=-10,14166,0.174855287307638,0.1686885263794695,0.18119834885560723,16.964915996046873
MiMo,off,forbidden,-9..-4,7882,0.18282161887845724,0.1744436489204657,0.19150861671976732,12.067495559502664
MiMo,off,forbidden,0,25232,0.18864933417882054,0.18386947761146222,0.1935239832826654,10.691304692454027
MiMo,off,forbidden,4..9,13938,0.17599368632515425,0.1697609844651659,0.1824049446040612,13.05818625340795
MiMo,off,forbidden,>=10,4782,0.13174404015056462,0.1224528579565358,0.14162642122395355,17.751359263906316
MiMo,off,permitted,<=-10,676,0.650887573964497,0.6141914210690742,0.6858784775661373,16.64644970414201
MiMo,off,permitted,-9..-4,543,0.6758747697974218,0.6353900994903675,0.7138883753001387,13.079189686924494
MiMo,off,permitted,0,3251,0.7191633343586589,0.7034630455268609,0.7343462782817078,11.492463857274684
MiMo,off,permitted,4..9,575,0.6243478260869565,0.5840607158184136,0.6629844170815024,15.518260869565218
