model,effort,condition,score_state,round_band,n_worse,rate_worse,n_notworse,rate_notworse,diff_pp
DeepSeek,high,hidden,behind,1-5,1206,0.1384742951907131,6561,0.3786008230452675,-24.012652785455437
DeepSeek,high,hidden,behind,6-10,1570,0.22165605095541402,5100,0.33156862745098037,-10.991257649556635
DeepSeek,high,hidden,behind,11-20,2794,0.1714387974230494,7570,0.32047556142668426,-14.903676400363485
DeepSeek,high,hidden,behind,21+,2183,0.14429683921209344,5295,0.23210576015108594,-8.78089209389925
DeepSeek,high,permitted,behind,1-5,1087,0.45078196872125115,6759,0.7180056221334516,-26.72236534122005
DeepSeek,high,permitted,behind,6-10,1347,0.5337787676317743,5393,0.7285369923975524,-19.475822476577807
DeepSeek,high,permitted,behind,11-20,2465,0.5233265720081136,8342,0.685327259649964,-16.200068764185037
DeepSeek,high,permitted,behind,21+,2184,0.4867216117216117,6003,0.6005330667999333,-11.381145507832164
DeepSeek,off,forbidden,ahead,1-5,1415,0.22614840989399293,6368,0.19064070351758794,3.550770637640499
DeepSeek,off,forbidden,ahead,6-10,2092,0.13145315487571702,4598,0.08699434536755112,4.44588095081659
DeepSeek,off,forbidden,ahead,11-20,3537,0.21515408538309302,6888,0.12732288037166087,8.783120501143216
DeepSeek,off,forbidden,ahead,21+,2602,0.2328977709454266,5110,0.12876712328767123,10.413064765775538
DeepSeek,off,forbidden,behind,1-5,1273,0.2835820895522388,6497,0.24180390949669078,4.177818005554801
DeepSeek,off,forbidden,behind,6-10,1828,0.16903719912472648,4885,0.13224155578300922,3.6795643341717255
DeepSeek,off,forbidden,behind,11-20,3127,0.2219379597057883,7656,0.16118077324973876,6.075718645604955
DeepSeek,off,forbidden,behind,21+,2336,0.21147260273972604,5588,0.14209019327129563,6.938240946843041
DeepSeek,off,hidden,ahead,1-5,1043,0.9741131351869607,6476,0.9718962322421247,0.22169029448360078
DeepSeek,off,hidden,ahead,6-10,1530,0.9745098039215686,4551,0.8965062623599209,7.800354156164769
DeepSeek,off,hidden,ahead,11-20,2468,0.9323338735818476,6803,0.7758341907981773,15.649968278367032
DeepSeek,off,hidden,ahead,21+,1623,0.8256315465187923,4634,0.6797583081570997,14.587323836169263
DeepSeek,off,hidden,behind,1-5,905,0.9712707182320443,6436,0.9731199502796768,-0.1849232047632543
DeepSeek,off,hidden,behind,6-10,1068,0.9737827715355806,4716,0.950381679389313,2.340109214626762
DeepSeek,off,hidden,behind,11-20,1791,0.9240647682858738,6904,0.8790556199304751,4.500914835539871
DeepSeek,off,hidden,behind,21+,1324,0.8187311178247734,4683,0.7501601537475977,6.857096407717567
DeepSeek,off,permitted,ahead,1-5,1079,0.9972196478220574,6368,0.9965452261306532,0.06744216914041923
DeepSeek,off,permitted,ahead,6-10,1334,0.9992503748125937,4576,0.9602272727272727,3.9023102085321004
DeepSeek,off,permitted,ahead,11-20,2144,0.9930037313432836,6699,0.929243170622481,6.37605607208026
DeepSeek,off,permitted,ahead,21+,1618,0.9425216316440049,4617,0.8839072991119775,5.861433253202741
DeepSeek,off,permitted,behind,1-5,875,0.9988571428571429,6372,0.996390458254865,0.24666846022778355
DeepSeek,off,permitted,behind,6-10,1025,0.9960975609756098,4592,0.985191637630662,1.0905923344947777
DeepSeek,off,permitted,behind,11-20,1804,0.9944567627494457,6439,0.9630377387793135,3.1419023970132187
DeepSeek,off,permitted,behind,21+,1446,0.9688796680497925,4271,0.9119644111449309,5.6915256904861655
MiMo,off,forbidden,ahead,1-5,1472,0.20991847826086957,6323,0.19421160841372767,1.5706869847141895
MiMo,off,forbidden,ahead,6-10,2509,0.14627341570346752,4112,0.13618677042801555,1.0086645275451973
MiMo,off,forbidden,ahead,11-20,4558,0.18604651162790697,6137,0.1619683884634186,2.4078123164488376
MiMo,off,forbidden,ahead,21+,3494,0.1611333714939897,4329,0.13513513513513514,2.5998236358854565
MiMo,off,forbidden,behind,1-5,1401,0.21270521056388295,6488,0.2245684340320592,-1.1863223468176254
MiMo,off,forbidden,behind,6-10,2033,0.17707820954254797,4676,0.18776732249786143,-1.068911295531347
MiMo,off,forbidden,behind,11-20,3603,0.18401332223147376,7033,0.18967723588795676,-0.5663913656483
MiMo,off,forbidden,behind,21+,2978,0.1712558764271323,4854,0.16625463535228677,0.5001241074845536
MiMo,off,permitted,behind,1-5,181,0.8176795580110497,1109,0.8449053201082056,-2.722576209715588
MiMo,off,permitted,behind,6-10,233,0.630901287553648,811,0.6979038224414303,-6.7002534887782295
MiMo,off,permitted,behind,11-20,451,0.6208425720620843,1129,0.62533215234721,-0.4489580285125694
MiMo,off,permitted,behind,21+,354,0.655367231638418,796,0.6268844221105527,2.8482809527865305
