model,effort,condition,score_state,n_traces,share_deficit_language,share_endgame_language,call_rate_overall,n_deficit,call_rate_deficit,n_no_deficit,call_rate_no_deficit,diff_pp_deficit_minus_not,n_endgame,call_rate_endgame,n_no_endgame,call_rate_no_endgame
DeepSeek,high,absent,ahead,3240,0.49876543209876545,0.6858024691358025,0.0,1616,0.0,1624,0.0,0.0,2222,0.0,1018,0.0
DeepSeek,high,forbidden,behind,32631,0.4697986577181208,0.5271674174864392,0.0017468051852532868,15330,0.0032615786040443573,17301,0.00040460089012195826,0.2856977713922399,17202,0.0030810370887106153,15429,0.0002592520578132089
DeepSeek,high,hidden,behind,32292,0.5581258516041124,0.5494549733680169,0.28152483587266197,18023,0.4365532930144815,14269,0.0857102810288037,35.08430119856778,17743,0.4143042326551316,14549,0.11959584851192522
DeepSeek,high,permitted,behind,33587,0.6374787864352279,0.5871616994670557,0.6446244082531932,21411,0.7893139040680024,12176,0.39019382391590013,39.912008015210226,19721,0.7740479691699204,13866,0.4605509880282706
DeepSeek,off,absent,ahead,7,0.0,0.0,0.0,0,,7,0.0,,0,,7,0.0
DeepSeek,off,forbidden,ahead,12077,0.04463028897905109,0.08760453755071623,0.2707626066076012,539,0.3098330241187384,11538,0.2689374241636332,4.089559995510522,1058,0.22495274102079396,11019,0.275161085397949
DeepSeek,off,forbidden,behind,14778,0.14237379889024226,0.09426174042495601,0.27493571525240224,2104,0.4695817490494297,12674,0.2426226921256115,22.695905692381817,1393,0.2706389088298636,13385,0.2753828912962271
DeepSeek,off,hidden,ahead,18990,0.042127435492364404,0.04507635597682991,0.997577672459189,800,0.9975,18190,0.9975810885101705,-0.008108851017041285,856,0.9976635514018691,18134,0.9975736186169626
DeepSeek,off,hidden,behind,19251,0.5285959170952158,0.048828632278842654,0.9969352241442003,10176,0.9992138364779874,9075,0.9943801652892562,0.48336711887312367,940,0.9925531914893617,18311,0.9971601769428212
DeepSeek,off,permitted,ahead,20602,0.04572371614406368,0.0460149500048539,0.9980099019512668,942,0.9978768577494692,19660,0.9980162767039674,-0.013941895449820496,948,0.9978902953586498,19654,0.9980156711102066
DeepSeek,off,permitted,behind,20271,0.42356075181293473,0.04617433772384194,0.9980267377041093,8586,0.9996505939902166,11685,0.9968335472828412,0.281704670737537,936,0.9967948717948718,19335,0.9980863718644944
MiMo,off,forbidden,ahead,27644,0.0749529735204746,0.12082187816524381,0.1327955433367096,2072,0.18484555984555984,25572,0.1285781323322384,5.626742751332145,3340,0.13982035928143713,24304,0.13183015141540488
MiMo,off,forbidden,behind,27559,0.31311005479153814,0.1554120251097645,0.1509488733263181,8629,0.25391122957469,18930,0.1040147913365029,14.989643823818707,4283,0.1561989259864581,23276,0.14998281491665236
MiMo,off,permitted,behind,3872,0.4715909090909091,0.09039256198347108,0.6887913223140496,1826,0.8510405257393209,2046,0.5439882697947214,30.70522559445995,350,0.5857142857142857,3522,0.6990346394094265
