model,effort,condition,reader,n_hiC,coop_when_directives_mostly_C,n_loC,coop_when_directives_mostly_D,diff_pp
DeepSeek,high,hidden,True,2915,0.4716981132075472,2118,0.3937677053824363,7.79304078251109
DeepSeek,high,hidden,False,7630,0.23591087811271297,5692,0.21433591004919184,2.157496806352113
DeepSeek,off,forbidden,True,636,0.38522012578616355,424,0.2806603773584906,10.455974842767295
DeepSeek,off,forbidden,False,4380,0.6036529680365297,5831,0.436631795575373,16.702117246115666
DeepSeek,off,hidden,True,15350,0.34104234527687294,15801,0.31130941079678504,2.97329344800879
DeepSeek,off,hidden,False,2359,0.6070368800339127,2324,0.5946643717728055,1.237250826110714
DeepSeek,off,permitted,True,10053,0.43618820252660895,20013,0.3415779743166941,9.461022820991483
DeepSeek,off,permitted,False,410,0.7975609756097561,554,0.7129963898916968,8.456458571805936
MiMo,off,forbidden,True,7634,0.6628242074927954,84,0.6190476190476191,4.377658844517629
MiMo,off,forbidden,False,48365,0.48679830455908196,660,0.5515151515151515,-6.471684695606955
