model,effort,condition,score_state,n_agent_games,abort_rate,unobserved_rate,coop_completed
DeepSeek,high,absent,ahead,276,0.40217391304347827,0.30434782608695654,0.25858371300820426
DeepSeek,high,forbidden,behind,1656,0.0,0.0,0.32302808607572014
DeepSeek,high,hidden,behind,1656,0.01570048309178744,0.0012077294685990338,0.37982596521263257
DeepSeek,high,permitted,behind,1656,0.007246376811594203,0.0,0.5536868749130246
DeepSeek,off,absent,ahead,276,0.0,0.0,0.6328977886442758
DeepSeek,off,forbidden,ahead,1656,0.011473429951690822,0.0,0.5728659619116763
DeepSeek,off,forbidden,behind,1656,0.008454106280193236,0.0,0.4297514597502621
DeepSeek,off,hidden,ahead,1656,0.15157004830917875,0.0,0.4209864233931072
DeepSeek,off,hidden,behind,1656,0.18115942028985507,0.0,0.3060631048560685
DeepSeek,off,permitted,ahead,1656,0.15881642512077296,0.0,0.45520778085113667
DeepSeek,off,permitted,behind,1656,0.21014492753623187,0.0,0.3851883652869667
MiMo,off,forbidden,ahead,1656,0.010265700483091788,0.0,0.5487270203389604
MiMo,off,forbidden,behind,1656,0.0018115942028985507,0.0,0.5170120508401065
MiMo,off,permitted,behind,276,0.010869565217391304,0.0,0.7796086410240038
