model_s,effort,condition,pair_type,n,coop,n_sb
DeepSeek,high,absent,llm-llm,84,0.22742375702717735,1
DeepSeek,high,absent,llm-script,108,0.2828192343267808,1
DeepSeek,high,forbidden,llm-llm,792,0.29824761921974546,6
DeepSeek,high,forbidden,llm-script,864,0.3457435140270303,6
DeepSeek,high,hidden,llm-llm,790,0.35742678683798385,6
DeepSeek,high,hidden,llm-script,864,0.4003066954394526,6
DeepSeek,high,permitted,llm-llm,792,0.5775809587925553,6
DeepSeek,high,permitted,llm-script,864,0.5317839646901215,6
DeepSeek,off,absent,llm-llm,132,0.6516154837984982,1
DeepSeek,off,absent,llm-script,144,0.6157399014195721,1
DeepSeek,off,forbidden,llm-llm,1584,0.5146992679327332,12
DeepSeek,off,forbidden,llm-script,1728,0.4889667109252098,12
DeepSeek,off,hidden,llm-llm,1584,0.365669507267341,12
DeepSeek,off,hidden,llm-script,1728,0.3615587495770641,12
DeepSeek,off,permitted,llm-llm,1584,0.44860015518653135,12
DeepSeek,off,permitted,llm-script,1728,0.39429721718671507,12
MiMo,off,forbidden,llm-llm,1584,0.5607775277252348,12
MiMo,off,forbidden,llm-script,1728,0.5072872094651406,12
MiMo,off,permitted,llm-llm,132,0.8485749010760151,1
MiMo,off,permitted,llm-script,144,0.7163895693096601,1
