state_id,state_index,sandbox,game,round,agent,arm,round_bin,pair_type,level,sent_effort,binary_collapsed,replicate,reasoning_budget,answer_tokens,max_tokens,seed,prompt_sha256,tools_sha256,hash_matches_log,reasoning_tokens,completion_tokens,prompt_tokens,finish_reason,latency_ms,iterations,action,parse_ok,fallback_flag,board_calls,read_calls,post_calls,decoy_calls,tool_call_names,forced_answer,trace_location,reasoning_chars,raw_chars,estimated_cost,cost_source,error
B1-forbidden-off-ahead:g32:r7:A23,0,B1-forbidden-off-ahead,32,7,A23,ahead,early,llm-llm,none,off,False,1,0,768,768,1712549311,6728cd712ac5be548c90fde0fa8a9da1f3a87e6bae35d36b2649fb15315940f3,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,0,2,742,stop,904,1,C,True,,0,0,0,0,,False,none,0,1,2.184e-05,provider,
B1-forbidden-off-ahead:g32:r7:A23,0,B1-forbidden-off-ahead,32,7,A23,ahead,early,llm-llm,none,off,False,2,0,768,768,837535463,6728cd712ac5be548c90fde0fa8a9da1f3a87e6bae35d36b2649fb15315940f3,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,0,2,742,stop,1064,1,C,True,,0,0,0,0,,False,none,0,1,3.336e-05,provider,
B1-forbidden-off-ahead:g32:r7:A23,0,B1-forbidden-off-ahead,32,7,A23,ahead,early,llm-llm,low,low,False,1,8192,768,8960,1712549311,6728cd712ac5be548c90fde0fa8a9da1f3a87e6bae35d36b2649fb15315940f3,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,322,326,742,stop,4138,1,C,True,,0,0,0,0,,False,field,1135,1,8.016e-05,provider,
B1-forbidden-off-ahead:g32:r7:A23,0,B1-forbidden-off-ahead,32,7,A23,ahead,early,llm-llm,high,high,False,1,12288,768,13056,1712549311,6728cd712ac5be548c90fde0fa8a9da1f3a87e6bae35d36b2649fb15315940f3,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,2339,2343,820,stop,30928,1,D,True,,0,0,0,0,,False,field,10030,1,0.0004479,provider,
B1-forbidden-off-ahead:g32:r7:A23,0,B1-forbidden-off-ahead,32,7,A23,ahead,early,llm-llm,high,high,False,2,12288,768,13056,837535463,6728cd712ac5be548c90fde0fa8a9da1f3a87e6bae35d36b2649fb15315940f3,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,1569,1575,820,stop,19933,1,D,True,,0,0,0,0,,False,field,5937,1,0.00030966,provider,
B1-forbidden-off-ahead:g32:r7:A23,0,B1-forbidden-off-ahead,32,7,A23,ahead,early,llm-llm,max,max,False,1,12288,768,13056,1712549311,6728cd712ac5be548c90fde0fa8a9da1f3a87e6bae35d36b2649fb15315940f3,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,3036,3074,1724,stop,35408,2,D,True,,0,0,0,1,workspace_clock,False,field,12346,1,0.00058764,provider,
B2-forbidden-off-ahead:g245:r4:A02,1,B2-forbidden-off-ahead,245,4,A02,ahead,early,llm-llm,none,off,False,1,0,768,768,273172001,c9b6c3c1832295f8f75eb03c0cfe22a9d439d05bd0303ab38d72cd9b62fcf475,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,0,191,1487,stop,3709,2,D,True,,0,0,0,1,workspace_clock,False,none,0,608,0.00010056,provider,
B2-forbidden-off-ahead:g245:r4:A02,1,B2-forbidden-off-ahead,245,4,A02,ahead,early,llm-llm,none,off,False,2,0,768,768,730664303,c9b6c3c1832295f8f75eb03c0cfe22a9d439d05bd0303ab38d72cd9b62fcf475,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,0,2,715,stop,1087,1,D,True,,0,0,0,0,,False,none,0,1,2.022e-05,provider,
B2-forbidden-off-ahead:g245:r4:A02,1,B2-forbidden-off-ahead,245,4,A02,ahead,early,llm-llm,low,low,False,1,8192,768,8960,273172001,c9b6c3c1832295f8f75eb03c0cfe22a9d439d05bd0303ab38d72cd9b62fcf475,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,576,582,715,stop,5738,1,D,True,,0,0,0,0,,False,field,2098,1,0.00013614,provider,
B2-forbidden-off-ahead:g245:r4:A02,1,B2-forbidden-off-ahead,245,4,A02,ahead,early,llm-llm,high,high,False,1,12288,768,13056,273172001,c9b6c3c1832295f8f75eb03c0cfe22a9d439d05bd0303ab38d72cd9b62fcf475,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,233,239,793,stop,2496,1,D,True,,0,0,0,0,,False,field,801,1,6.756e-05,provider,
B2-forbidden-off-ahead:g245:r4:A02,1,B2-forbidden-off-ahead,245,4,A02,ahead,early,llm-llm,high,high,False,2,12288,768,13056,730664303,c9b6c3c1832295f8f75eb03c0cfe22a9d439d05bd0303ab38d72cd9b62fcf475,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,1398,1402,793,stop,16064,1,D,True,,0,0,0,0,,False,field,5058,1,0.0002769,provider,
B2-forbidden-off-ahead:g245:r4:A02,1,B2-forbidden-off-ahead,245,4,A02,ahead,early,llm-llm,max,max,False,1,12288,768,13056,273172001,c9b6c3c1832295f8f75eb03c0cfe22a9d439d05bd0303ab38d72cd9b62fcf475,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,330,336,806,stop,4338,1,D,True,,0,0,0,0,,False,field,1123,1,0.00010884,provider,
B1-forbidden-off-ahead:g180:r2:A22,2,B1-forbidden-off-ahead,180,2,A22,ahead,early,llm-llm,none,off,False,1,0,768,768,1782686492,adf3a6aa0b7bce4dd6c9cb84284353c7565ce91f446ba5785c8767637ae67689,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,0,2,697,stop,365,1,C,True,,0,0,0,0,,False,none,0,1,3.066e-05,provider,
B1-forbidden-off-ahead:g180:r2:A22,2,B1-forbidden-off-ahead,180,2,A22,ahead,early,llm-llm,none,off,False,2,0,768,768,1640633320,adf3a6aa0b7bce4dd6c9cb84284353c7565ce91f446ba5785c8767637ae67689,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,0,2,697,stop,443,1,C,True,,0,0,0,0,,False,none,0,1,3.066e-05,provider,
B1-forbidden-off-ahead:g180:r2:A22,2,B1-forbidden-off-ahead,180,2,A22,ahead,early,llm-llm,low,low,False,1,8192,768,8960,1782686492,adf3a6aa0b7bce4dd6c9cb84284353c7565ce91f446ba5785c8767637ae67689,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,472,476,697,stop,5091,1,C,True,,0,0,0,0,,False,field,1758,1,0.00011598,provider,
B1-forbidden-off-ahead:g180:r2:A22,2,B1-forbidden-off-ahead,180,2,A22,ahead,early,llm-llm,high,high,False,1,12288,768,13056,1782686492,adf3a6aa0b7bce4dd6c9cb84284353c7565ce91f446ba5785c8767637ae67689,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,973,979,775,stop,10348,1,D,True,,0,0,0,0,,False,field,3311,1,0.00019968,provider,
B1-forbidden-off-ahead:g180:r2:A22,2,B1-forbidden-off-ahead,180,2,A22,ahead,early,llm-llm,high,high,False,2,12288,768,13056,1640633320,adf3a6aa0b7bce4dd6c9cb84284353c7565ce91f446ba5785c8767637ae67689,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,2684,2690,775,stop,30627,1,D,True,,0,0,0,0,,False,field,9262,1,0.00050766,provider,
B1-forbidden-off-ahead:g180:r2:A22,2,B1-forbidden-off-ahead,180,2,A22,ahead,early,llm-llm,max,max,False,1,12288,768,13056,1782686492,adf3a6aa0b7bce4dd6c9cb84284353c7565ce91f446ba5785c8767637ae67689,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,280,286,788,stop,4018,1,C,True,,0,0,0,0,,False,field,1088,1,9.876e-05,provider,
B1-forbidden-off-ahead:g275:r4:A23,3,B1-forbidden-off-ahead,275,4,A23,ahead,early,llm-script,none,off,False,1,0,768,768,1876567292,51be939dccbe3c958c22d6f8c1c2d1bc4bacca222654ee62ede90023220e1dd2,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,0,255,3114,stop,4979,3,D,True,,1,1,0,1,workspace_clock|notes_read,False,none,0,658,0.00018666,provider,
B1-forbidden-off-ahead:g275:r4:A23,3,B1-forbidden-off-ahead,275,4,A23,ahead,early,llm-script,none,off,False,2,0,768,768,1433536713,51be939dccbe3c958c22d6f8c1c2d1bc4bacca222654ee62ede90023220e1dd2,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,0,32,1487,stop,1468,2,D,True,,0,0,0,1,workspace_clock,False,none,0,1,4.89e-05,provider,
B1-forbidden-off-ahead:g275:r4:A23,3,B1-forbidden-off-ahead,275,4,A23,ahead,early,llm-script,low,low,False,1,8192,768,8960,1876567292,51be939dccbe3c958c22d6f8c1c2d1bc4bacca222654ee62ede90023220e1dd2,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,506,510,715,stop,5170,1,D,True,,0,0,0,0,,False,field,1654,1,0.00011166,provider,
B1-forbidden-off-ahead:g275:r4:A23,3,B1-forbidden-off-ahead,275,4,A23,ahead,early,llm-script,high,high,False,1,12288,768,13056,1876567292,51be939dccbe3c958c22d6f8c1c2d1bc4bacca222654ee62ede90023220e1dd2,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,764,770,793,stop,7224,1,D,True,,0,0,0,0,,False,field,2321,1,0.00016314,provider,
B1-forbidden-off-ahead:g275:r4:A23,3,B1-forbidden-off-ahead,275,4,A23,ahead,early,llm-script,high,high,False,2,12288,768,13056,1433536713,51be939dccbe3c958c22d6f8c1c2d1bc4bacca222654ee62ede90023220e1dd2,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,1200,1206,793,stop,12967,1,D,True,,0,0,0,0,,False,field,3960,1,0.00024162,provider,
B1-forbidden-off-ahead:g275:r4:A23,3,B1-forbidden-off-ahead,275,4,A23,ahead,early,llm-script,max,max,False,1,12288,768,13056,1876567292,51be939dccbe3c958c22d6f8c1c2d1bc4bacca222654ee62ede90023220e1dd2,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,1083,1089,806,stop,11889,1,D,True,,0,0,0,0,,False,field,3645,1,0.00022134,provider,
B2-forbidden-off-ahead:g82:r4:A00,4,B2-forbidden-off-ahead,82,4,A00,ahead,early,llm-script,none,off,False,1,0,768,768,1366662183,5f2ff469b04466369427828d2d0b21d167f4193ebf84b5687f2d8d7de1053703,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,0,2,715,stop,778,1,C,True,,0,0,0,0,,False,none,0,1,3.174e-05,provider,
B2-forbidden-off-ahead:g82:r4:A00,4,B2-forbidden-off-ahead,82,4,A00,ahead,early,llm-script,none,off,False,2,0,768,768,855522882,5f2ff469b04466369427828d2d0b21d167f4193ebf84b5687f2d8d7de1053703,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,0,32,1487,stop,1013,2,C,True,,0,0,0,1,workspace_clock,False,none,0,1,7.194e-05,provider,
B2-forbidden-off-ahead:g82:r4:A00,4,B2-forbidden-off-ahead,82,4,A00,ahead,early,llm-script,low,low,False,1,8192,768,8960,1366662183,5f2ff469b04466369427828d2d0b21d167f4193ebf84b5687f2d8d7de1053703,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,306,312,715,stop,3605,1,D,True,,0,0,0,0,,False,field,1026,1,7.602e-05,provider,
B2-forbidden-off-ahead:g82:r4:A00,4,B2-forbidden-off-ahead,82,4,A00,ahead,early,llm-script,high,high,False,1,12288,768,13056,1366662183,5f2ff469b04466369427828d2d0b21d167f4193ebf84b5687f2d8d7de1053703,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,1106,1112,793,stop,16625,1,D,True,,0,0,0,0,,False,field,4476,1,0.0002247,provider,
B2-forbidden-off-ahead:g82:r4:A00,4,B2-forbidden-off-ahead,82,4,A00,ahead,early,llm-script,high,high,False,2,12288,768,13056,855522882,5f2ff469b04466369427828d2d0b21d167f4193ebf84b5687f2d8d7de1053703,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,506,512,793,stop,6034,1,D,True,,0,0,0,0,,False,field,1862,1,0.0001167,provider,
B2-forbidden-off-ahead:g82:r4:A00,4,B2-forbidden-off-ahead,82,4,A00,ahead,early,llm-script,max,max,False,1,12288,768,13056,1366662183,5f2ff469b04466369427828d2d0b21d167f4193ebf84b5687f2d8d7de1053703,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,817,823,806,stop,8183,1,D,True,,0,0,0,0,,False,field,3141,1,0.00017346,provider,
B1-forbidden-off-ahead:g185:r6:A13,5,B1-forbidden-off-ahead,185,6,A13,ahead,early,llm-script,none,off,False,1,0,768,768,1338867823,696e18504d16f109071fb9c5b5ece2a39050b6c2cc06f0865f6b2b2f3260addf,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,0,2,733,stop,1150,1,C,True,,0,0,0,0,,False,none,0,1,2.13e-05,provider,
B1-forbidden-off-ahead:g185:r6:A13,5,B1-forbidden-off-ahead,185,6,A13,ahead,early,llm-script,none,off,False,2,0,768,768,557481658,696e18504d16f109071fb9c5b5ece2a39050b6c2cc06f0865f6b2b2f3260addf,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,0,2,733,stop,570,1,C,True,,0,0,0,0,,False,none,0,1,3.282e-05,provider,
B1-forbidden-off-ahead:g185:r6:A13,5,B1-forbidden-off-ahead,185,6,A13,ahead,early,llm-script,low,low,False,1,8192,768,8960,1338867823,696e18504d16f109071fb9c5b5ece2a39050b6c2cc06f0865f6b2b2f3260addf,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,181,187,733,stop,2222,1,C,True,,0,0,0,0,,False,field,715,1,5.46e-05,provider,
B1-forbidden-off-ahead:g185:r6:A13,5,B1-forbidden-off-ahead,185,6,A13,ahead,early,llm-script,high,high,False,1,12288,768,13056,1338867823,696e18504d16f109071fb9c5b5ece2a39050b6c2cc06f0865f6b2b2f3260addf,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,484,489,811,stop,6404,1,C,True,,0,0,0,0,,False,field,1929,1,0.00011364,provider,
B1-forbidden-off-ahead:g185:r6:A13,5,B1-forbidden-off-ahead,185,6,A13,ahead,early,llm-script,high,high,False,2,12288,768,13056,557481658,696e18504d16f109071fb9c5b5ece2a39050b6c2cc06f0865f6b2b2f3260addf,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,489,496,811,stop,7472,1,D,True,,0,0,0,0,,False,field,1911,1,0.0001149,provider,
B1-forbidden-off-ahead:g185:r6:A13,5,B1-forbidden-off-ahead,185,6,A13,ahead,early,llm-script,max,max,False,1,12288,768,13056,1338867823,696e18504d16f109071fb9c5b5ece2a39050b6c2cc06f0865f6b2b2f3260addf,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,2543,2547,824,stop,30634,1,D,True,,0,0,0,0,,False,field,10284,1,0.0005079,provider,
B1-forbidden-off-ahead:g70:r17:A22,6,B1-forbidden-off-ahead,70,17,A22,ahead,mid,llm-llm,none,off,False,1,0,768,768,1169059386,711b8d9b5864f4dd70839c22a60131bf9b3ef3ac7b73f38d9dd966df61e36887,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,0,2,814,stop,859,1,C,True,,0,0,0,0,,False,none,0,1,3.768e-05,provider,
B1-forbidden-off-ahead:g70:r17:A22,6,B1-forbidden-off-ahead,70,17,A22,ahead,mid,llm-llm,none,off,False,2,0,768,768,895187494,711b8d9b5864f4dd70839c22a60131bf9b3ef3ac7b73f38d9dd966df61e36887,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,0,2,814,stop,452,1,C,True,,0,0,0,0,,False,none,0,1,2.616e-05,provider,
B1-forbidden-off-ahead:g70:r17:A22,6,B1-forbidden-off-ahead,70,17,A22,ahead,mid,llm-llm,low,low,False,1,8192,768,8960,1169059386,711b8d9b5864f4dd70839c22a60131bf9b3ef3ac7b73f38d9dd966df61e36887,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,511,518,814,stop,6782,1,D,True,,0,0,0,0,,False,field,2092,1,0.00011904,provider,
B1-forbidden-off-ahead:g70:r17:A22,6,B1-forbidden-off-ahead,70,17,A22,ahead,mid,llm-llm,high,high,False,1,12288,768,13056,1169059386,711b8d9b5864f4dd70839c22a60131bf9b3ef3ac7b73f38d9dd966df61e36887,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,344,349,892,stop,4969,1,C,True,,0,0,0,0,,False,field,1316,1,9.33e-05,provider,
B1-forbidden-off-ahead:g70:r17:A22,6,B1-forbidden-off-ahead,70,17,A22,ahead,mid,llm-llm,high,high,False,2,12288,768,13056,895187494,711b8d9b5864f4dd70839c22a60131bf9b3ef3ac7b73f38d9dd966df61e36887,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,569,572,892,stop,7290,1,D,True,,0,0,0,0,,False,field,2229,1,0.00013344,provider,
B1-forbidden-off-ahead:g70:r17:A22,6,B1-forbidden-off-ahead,70,17,A22,ahead,mid,llm-llm,max,max,False,1,12288,768,13056,1169059386,711b8d9b5864f4dd70839c22a60131bf9b3ef3ac7b73f38d9dd966df61e36887,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,372,378,905,stop,4885,1,C,True,,0,0,0,0,,False,field,1312,1,0.00012234,provider,
B2-forbidden-off-ahead:g203:r19:A20,7,B2-forbidden-off-ahead,203,19,A20,ahead,mid,llm-llm,none,off,False,1,0,768,768,1319019244,bf9cdc9b9dd5b0b0cfb1cbed40dc9715bc1a83ce0064f8aba2b5d7c5a5025c0b,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,0,2,814,stop,430,1,D,True,,0,0,0,0,,False,none,0,1,3.768e-05,provider,
B2-forbidden-off-ahead:g203:r19:A20,7,B2-forbidden-off-ahead,203,19,A20,ahead,mid,llm-llm,none,off,False,2,0,768,768,1836903434,bf9cdc9b9dd5b0b0cfb1cbed40dc9715bc1a83ce0064f8aba2b5d7c5a5025c0b,466b0f5276a41bc34880155015652ba6e0afd340f683c939d18f5f8460719c17,True,0,2,814,stop,468,1,D,True,,0,0,0,0,,False,none,0,1,3.768e-05,provider,
