model,condition,effort,n_scored_decisions,n_agent_games,n_games_aborted,n_moves_aborted,n_moves_unscored,board_calls_lost_by_retry,n_forced_turns,forced_turn_rate,forced_answer_rate,fallback_rate,reasoning_present,reasoning_mentions_board,retry_rate
deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,5563,276,0,0,0,0,1,0.00017975912277548085,0.00017975912277548085,0.0,0.001258313859428366,0.0,0.0005392773683264426
deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,3300,276,111,75,4,0,386,0.10545454545454545,0.10545454545454545,0.022727272727272728,0.9818181818181818,0.4381818181818182,0.05
XiaomiMiMo/MiMo-V2.5-Pro,permitted,off,5067,276,3,2,1,4,131,0.019538188277087035,0.019538188277087035,0.00039471087428458656,0.7641602526149596,0.12985987763962897,0.0061180185514110915
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,55738,3312,611,382,97,43,787,0.014119631131364599,0.014119631131364599,0.0068534931285657895,0.7333058236750511,0.2683985790663461,0.033155118590548635
deepseek-ai/DeepSeek-V4-Flash-0731,permitted,high,33589,1656,12,7,2,21,798,0.019083628568876715,0.019083628568876715,0.00020840156003453512,0.9999404566971329,0.8102057221114055,0.0029473934919169967
XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,66017,3312,20,14,3,44,2124,0.019525273793113893,0.019525273793113893,0.0002120665889089174,0.8361937076813548,0.02718996622082191,0.008543254010330672
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,65830,3312,33,23,7,155,386,0.005833206744645298,0.005833206744645298,0.0003493847789761507,0.40794470606106636,0.13606258544736444,0.007109220720036458
deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,32631,1656,0,0,0,0,221,0.005148478440746529,0.005148478440746529,0.0,1.0,0.638227452422543,0.0009500168551377524
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,57397,3312,551,340,102,94,1089,0.018973117061867346,0.018973117061867346,0.0059236545464048645,0.6662543338502013,0.19476627698311758,0.02944404759830653
deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,32301,1656,26,18,4,60,908,0.021887867248691992,0.021887867248691992,0.0005572582892170521,0.9997213708553915,0.6377201944212253,0.004643819076808767
