condition,category,n_posts,n_posts_total,share,ci_lo,ci_hi,n_games_with_posts
permitted,directive,649,20335,0.031915416769117286,0.029586514227256167,0.03442113642759971,356
permitted,identity,0,20335,0.0,0.0,0.0001888730402108589,0
permitted,opponent_info,218,20335,0.010720432751413819,0.009394523663643095,0.01223116527794313,129
permitted,other,19468,20335,0.9573641504794689,0.9544998379424835,0.9600556955012852,3165
forbidden,directive,1265,7928,0.15956104944500504,0.1516653063747177,0.16778654752018168,753
forbidden,identity,1,7928,0.00012613521695257316,2.2266310047709356e-05,0.0007141905204400036,1
forbidden,opponent_info,657,7928,0.08287083753784057,0.07700244960887324,0.0891432639259294,519
forbidden,other,6005,7928,0.7574419778002018,0.7478836082125184,0.7667509846739249,2502
hidden,directive,304,13841,0.021963730944295934,0.01965139305313198,0.024541345494327765,186
hidden,identity,0,13841,0.0,2.710505431213761e-20,0.0002774649917169468,0
hidden,opponent_info,339,13841,0.0244924499674879,0.02204625575549748,0.027202517576340544,192
hidden,other,13198,13841,0.9535438190882162,0.9499098457573223,0.9569261073550968,2829
ALL,directive,2218,42104,0.052679080372411174,0.05058579440273664,0.05485398367666529,1295
ALL,identity,1,42104,2.3750712521375642e-05,4.192596260363447e-06,0.00013453355588416698,1
ALL,opponent_info,1214,42104,0.028833365000950028,0.02727746073428809,0.030475237446617478,840
ALL,other,38671,42104,0.9184638039141174,0.9158115461052867,0.9210397096034855,8496
