condition,pair_type,n_games,n_sandboxes,coop_rate,ci_lo,ci_hi,contrast,value,contrast_ci_lo,contrast_ci_hi
absent,contrast,441,2.0,,,,llm-llm minus llm-script,0.03768323124486189,-0.40376198549686765,0.36596513302609956
absent,llm-llm,192,2.0,0.5142287438373127,0.21197791592270437,0.6516154837984981,,,,
absent,llm-script,249,2.0,0.47654551259245076,0.28565035077239853,0.615739901419572,,,,
permitted,contrast,4618,19.0,,,,llm-llm minus llm-script,0.10307779063037803,-0.010488626496306086,0.21085081356290644
permitted,contrast,5059,,,,,selective exploitation (DiD vs absent),0.06539455938551614,-0.270783163435218,0.531334186965794
permitted,llm-llm,2038,19.0,0.5641745997972193,0.4772295952614311,0.6412758051818203,,,,
permitted,llm-script,2580,19.0,0.46109680916684126,0.3889046139822516,0.5297143226008562,,,,
forbidden,contrast,8227,30.0,,,,llm-llm minus llm-script,0.021625793291634332,-0.04234706698982723,0.087669340220634
forbidden,contrast,8668,,,,,selective exploitation (DiD vs absent),-0.01605743795322756,-0.36297254539564966,0.4386579632244767
forbidden,llm-llm,3928,30.0,0.4891830643782369,0.4379129116776252,0.5408309936441353,,,,
forbidden,llm-script,4299,30.0,0.46755727108660255,0.430071258612907,0.5049715777005652,,,,
hidden,contrast,4391,18.0,,,,llm-llm minus llm-script,0.0033222957391521035,-0.09797037912254218,0.10351923831813103
hidden,contrast,4832,,,,,selective exploitation (DiD vs absent),-0.03436093550570979,-0.3678118178596272,0.41032254981162675
hidden,llm-llm,1938,18.0,0.3789118263915765,0.29576156238050366,0.4604981308234807,,,,
hidden,llm-script,2453,18.0,0.3755895306524244,0.3113866267857835,0.4402031239364705,,,,
