dataset,model,paraphrase,n_sandboxes,sandboxes,n_games_all,n_games_completed,n_games_aborted,rate_all_games,rate_completed_games,delta_vs_p4
prereg,XiaomiMiMo/MiMo-V2.5-Pro,p1,2,"M1-forbidden-off-behind, M2-forbidden-off-behind",420,420,0,0.9523809523809523,0.9523809523809523,38.57142857142857
prereg,XiaomiMiMo/MiMo-V2.5-Pro,p2,2,"M3-forbidden-off-behind, M4-forbidden-off-behind",420,420,0,0.9095238095238095,0.9095238095238095,34.285714285714285
prereg,XiaomiMiMo/MiMo-V2.5-Pro,p3,2,"M5-forbidden-off-behind, M6-forbidden-off-behind",420,418,2,0.9214285714285714,0.9210526315789473,35.476190476190474
prereg,XiaomiMiMo/MiMo-V2.5-Pro,p4,1,Y1-forbidden-off-behind-p4,210,210,0,0.5666666666666667,0.5666666666666667,
prereg,XiaomiMiMo/MiMo-V2.5-Pro,p1-p3 pooled,6,"M1-forbidden-off-behind, M2-forbidden-off-behind, M3-forbidden-off-behind, M4-forbidden-off-behind, M5-forbidden-off-behind, M6-forbidden-off-behind",1260,1258,2,0.9277777777777778,0.9276629570747218,36.111111111111114
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,p1,2,"B1-forbidden-off-behind, B2-forbidden-off-behind",420,419,1,0.8071428571428572,0.8066825775656324,17.380952380952387
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,p2,2,"B3-forbidden-off-behind, B4-forbidden-off-behind",420,419,1,0.7880952380952381,0.7875894988066826,15.476190476190476
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,p3,2,"B5-forbidden-off-behind, B6-forbidden-off-behind",420,414,6,0.9571428571428572,0.9565217391304348,32.38095238095239
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,p4,1,X1-forbidden-off-behind-p4,210,209,1,0.6333333333333333,0.631578947368421,
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,p1-p3 pooled,6,"B1-forbidden-off-behind, B2-forbidden-off-behind, B3-forbidden-off-behind, B4-forbidden-off-behind, B5-forbidden-off-behind, B6-forbidden-off-behind",1260,1252,8,0.8507936507936508,0.8498402555910544,21.746031746031747
