contrast_id,member,model,quality_policy,condition,held_fixed,block,hi_level,hi_rate,lo_level,lo_rate,difference_pp
B_forbidden|DeepSeek-V4-Flash-0731|registered_exclude_gt_10pct|DeepSeek-V4-Flash-0731/forbidden/off/B1,B_forbidden,DeepSeek-V4-Flash-0731,registered_exclude_gt_10pct,forbidden,effort=off,DeepSeek-V4-Flash-0731/forbidden/off/B1,behind,0.8143,ahead,0.5952,21.9
B_forbidden|DeepSeek-V4-Flash-0731|registered_exclude_gt_10pct|DeepSeek-V4-Flash-0731/forbidden/off/B2,B_forbidden,DeepSeek-V4-Flash-0731,registered_exclude_gt_10pct,forbidden,effort=off,DeepSeek-V4-Flash-0731/forbidden/off/B2,behind,0.8,ahead,0.6095,19.05
B_forbidden|DeepSeek-V4-Flash-0731|registered_exclude_gt_10pct|DeepSeek-V4-Flash-0731/forbidden/off/B3,B_forbidden,DeepSeek-V4-Flash-0731,registered_exclude_gt_10pct,forbidden,effort=off,DeepSeek-V4-Flash-0731/forbidden/off/B3,behind,0.8286,ahead,0.6762,15.24
B_forbidden|DeepSeek-V4-Flash-0731|registered_exclude_gt_10pct|DeepSeek-V4-Flash-0731/forbidden/off/B4,B_forbidden,DeepSeek-V4-Flash-0731,registered_exclude_gt_10pct,forbidden,effort=off,DeepSeek-V4-Flash-0731/forbidden/off/B4,behind,0.7476,ahead,0.6667,8.1
B_forbidden|DeepSeek-V4-Flash-0731|registered_exclude_gt_10pct|DeepSeek-V4-Flash-0731/forbidden/off/B5,B_forbidden,DeepSeek-V4-Flash-0731,registered_exclude_gt_10pct,forbidden,effort=off,DeepSeek-V4-Flash-0731/forbidden/off/B5,behind,0.9476,ahead,0.9381,0.95
B_forbidden|DeepSeek-V4-Flash-0731|registered_exclude_gt_10pct|DeepSeek-V4-Flash-0731/forbidden/off/B6,B_forbidden,DeepSeek-V4-Flash-0731,registered_exclude_gt_10pct,forbidden,effort=off,DeepSeek-V4-Flash-0731/forbidden/off/B6,behind,0.9667,ahead,0.9571,0.95
B_hidden|DeepSeek-V4-Flash-0731|registered_exclude_gt_10pct|DeepSeek-V4-Flash-0731/hidden/off/B1,B_hidden,DeepSeek-V4-Flash-0731,registered_exclude_gt_10pct,hidden,effort=off,DeepSeek-V4-Flash-0731/hidden/off/B1,behind,1.0,ahead,1.0,0.0
B_hidden|DeepSeek-V4-Flash-0731|registered_exclude_gt_10pct|DeepSeek-V4-Flash-0731/hidden/off/B2,B_hidden,DeepSeek-V4-Flash-0731,registered_exclude_gt_10pct,hidden,effort=off,DeepSeek-V4-Flash-0731/hidden/off/B2,behind,1.0,ahead,1.0,0.0
B_hidden|DeepSeek-V4-Flash-0731|registered_exclude_gt_10pct|DeepSeek-V4-Flash-0731/hidden/off/B4,B_hidden,DeepSeek-V4-Flash-0731,registered_exclude_gt_10pct,hidden,effort=off,DeepSeek-V4-Flash-0731/hidden/off/B4,behind,1.0,ahead,1.0,0.0
A_forbidden|DeepSeek-V4-Flash-0731|registered_exclude_gt_10pct|DeepSeek-V4-Flash-0731/forbidden/behind/B1,A_forbidden,DeepSeek-V4-Flash-0731,registered_exclude_gt_10pct,forbidden,score_state=behind,DeepSeek-V4-Flash-0731/forbidden/behind/B1,high,0.019,off,0.8143,-79.52
A_forbidden|DeepSeek-V4-Flash-0731|registered_exclude_gt_10pct|DeepSeek-V4-Flash-0731/forbidden/behind/B2,A_forbidden,DeepSeek-V4-Flash-0731,registered_exclude_gt_10pct,forbidden,score_state=behind,DeepSeek-V4-Flash-0731/forbidden/behind/B2,high,0.019,off,0.8,-78.1
A_forbidden|DeepSeek-V4-Flash-0731|registered_exclude_gt_10pct|DeepSeek-V4-Flash-0731/forbidden/behind/B3,A_forbidden,DeepSeek-V4-Flash-0731,registered_exclude_gt_10pct,forbidden,score_state=behind,DeepSeek-V4-Flash-0731/forbidden/behind/B3,high,0.0286,off,0.8286,-80.0
A_forbidden|DeepSeek-V4-Flash-0731|registered_exclude_gt_10pct|DeepSeek-V4-Flash-0731/forbidden/behind/B4,A_forbidden,DeepSeek-V4-Flash-0731,registered_exclude_gt_10pct,forbidden,score_state=behind,DeepSeek-V4-Flash-0731/forbidden/behind/B4,high,0.0143,off,0.7476,-73.33
A_forbidden|DeepSeek-V4-Flash-0731|registered_exclude_gt_10pct|DeepSeek-V4-Flash-0731/forbidden/behind/B5,A_forbidden,DeepSeek-V4-Flash-0731,registered_exclude_gt_10pct,forbidden,score_state=behind,DeepSeek-V4-Flash-0731/forbidden/behind/B5,high,0.0714,off,0.9476,-87.62
A_forbidden|DeepSeek-V4-Flash-0731|registered_exclude_gt_10pct|DeepSeek-V4-Flash-0731/forbidden/behind/B6,A_forbidden,DeepSeek-V4-Flash-0731,registered_exclude_gt_10pct,forbidden,score_state=behind,DeepSeek-V4-Flash-0731/forbidden/behind/B6,high,0.1143,off,0.9667,-85.24
B_forbidden|DeepSeek-V4-Flash-0731|keep_all_disclosed_deviation|DeepSeek-V4-Flash-0731/forbidden/off/B1,B_forbidden,DeepSeek-V4-Flash-0731,keep_all_disclosed_deviation,forbidden,effort=off,DeepSeek-V4-Flash-0731/forbidden/off/B1,behind,0.8143,ahead,0.5952,21.9
B_forbidden|DeepSeek-V4-Flash-0731|keep_all_disclosed_deviation|DeepSeek-V4-Flash-0731/forbidden/off/B2,B_forbidden,DeepSeek-V4-Flash-0731,keep_all_disclosed_deviation,forbidden,effort=off,DeepSeek-V4-Flash-0731/forbidden/off/B2,behind,0.8,ahead,0.6095,19.05
