sandbox,scope,generations_used,condition,effort,score_state,opponent_mix,seed,generations,dataset,base_sandbox,model,paraphrase,sandbox_complete,n_games_llm_involving,n_games_observed,n_games_completed,n_games_aborted,n_games_aborted_with_board_attempt,n_games_unobserved_provider_error,n_games_provider_error_censored,abort_rate_per_game,eligible_registered,exclusion_reason,n_games_llm_llm,n_agent_games,n_agent_games_observed,n_llm_moves,mean_rounds_per_agent_game,rate_per_game_either,rate_per_game_either_keepall,rate_per_game_either_completed,rate_per_llm_llm_game_both,rate_per_agent_game,hazard_per_opportunity_unfitted,final_attempt_rate_per_agent_game,post_rate_per_agent_game,read_rate_per_agent_game,decoy_rate_per_game_either,decoy_rate_per_agent_game,board_calls,decoy_calls,board_over_decoy,calls_on_failed_moves,calls_lost_by_retry,failed_move_rate,median_attempted_first_use_round,coop_rate_llm_own_completed,coop_rate_llm_own,mean_score_completed,n_posts_completed,block_id,block_effort,block_state,block_mix
B1-hidden-off-ahead-a4096,fixed_population,[0],hidden,off,ahead,win,113,1,replication,B1-hidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,p1,True,210,210,199,11,11,0,0,0.05238095238095238,True,,66,276,276,5921,21.452898550724637,1.0,1.0,1.0,1.0,1.0,,1.0,0.8007246376811594,1.0,0.9952380952380953,0.9927536231884058,5932,2916,2.034293552812071,11,17,0.0018577942915048134,1.0,0.5562641366857524,0.5562641366857524,47.42307692307692,719,B1,DeepSeek-V4-Flash-0731/hidden/ahead/B1,DeepSeek-V4-Flash-0731/hidden/off/B1,DeepSeek-V4-Flash-0731/hidden/off/B1
B1-hidden-off-behind-a4096,fixed_population,[0],hidden,off,behind,lose,114,1,replication,B1-hidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,p1,True,210,210,209,1,1,0,0,0.004761904761904762,True,,66,276,276,5399,19.56159420289855,1.0,1.0,1.0,1.0,1.0,,1.0,0.8260869565217391,1.0,0.9904761904761905,0.9927536231884058,5850,2932,1.995225102319236,1,4,0.00018521948508983145,1.0,0.5048169903668687,0.5048169903668687,41.06545454545454,739,B1,DeepSeek-V4-Flash-0731/hidden/behind/B1,DeepSeek-V4-Flash-0731/hidden/off/B1,DeepSeek-V4-Flash-0731/hidden/off/B1
B1-permitted-off-ahead-a4096,fixed_population,[0],permitted,off,ahead,win,105,1,replication,B1-permitted-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,p1,True,210,210,207,3,3,0,0,0.014285714285714285,True,,66,276,276,5493,19.902173913043477,1.0,1.0,1.0,1.0,1.0,,1.0,0.855072463768116,1.0,0.9809523809523809,0.9746376811594203,5877,2667,2.203599550056243,3,1,0.0005461496450027307,1.0,0.680719495055435,0.680719495055435,48.577777777777776,687,B1,DeepSeek-V4-Flash-0731/permitted/ahead/B1,DeepSeek-V4-Flash-0731/permitted/off/B1,DeepSeek-V4-Flash-0731/permitted/off/B1
B1-permitted-off-behind-a4096,fixed_population,[0],permitted,off,behind,lose,106,1,replication,B1-permitted-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,p1,True,210,210,210,0,0,0,0,0.0,True,,66,276,276,5575,20.19927536231884,1.0,1.0,1.0,1.0,1.0,,1.0,0.8695652173913043,1.0,1.0,0.9927536231884058,6446,3164,2.0372945638432363,0,0,0.0,1.0,0.451603646546419,0.451603646546419,41.23913043478261,804,B1,DeepSeek-V4-Flash-0731/permitted/behind/B1,DeepSeek-V4-Flash-0731/permitted/off/B1,DeepSeek-V4-Flash-0731/permitted/off/B1
B2-hidden-off-ahead-a4096,fixed_population,[0],hidden,off,ahead,win,213,1,replication,B2-hidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,p1,True,210,210,203,7,7,0,0,0.03333333333333333,True,,66,276,276,5632,20.405797101449274,1.0,1.0,1.0,1.0,1.0,,1.0,0.7789855072463768,1.0,0.9952380952380953,0.9891304347826086,5315,2617,2.030951471150172,7,14,0.0012428977272727273,1.0,0.6524259150827645,0.6524259150827645,47.660377358490564,599,B2,DeepSeek-V4-Flash-0731/hidden/ahead/B2,DeepSeek-V4-Flash-0731/hidden/off/B2,DeepSeek-V4-Flash-0731/hidden/off/B2
B2-hidden-off-behind-a4096,fixed_population,[0],hidden,off,behind,lose,214,1,replication,B2-hidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,p1,True,210,210,206,4,4,0,0,0.01904761904761905,True,,66,276,276,5678,20.57246376811594,1.0,1.0,1.0,1.0,1.0,,1.0,0.8152173913043478,1.0,0.9952380952380953,0.9927536231884058,6061,2972,2.0393674293405115,4,7,0.0007044734061289186,1.0,0.6063074334425423,0.6063074334425423,47.22509225092251,687,B2,DeepSeek-V4-Flash-0731/hidden/behind/B2,DeepSeek-V4-Flash-0731/hidden/off/B2,DeepSeek-V4-Flash-0731/hidden/off/B2
B2-permitted-off-ahead-a4096,fixed_population,[0],permitted,off,ahead,win,205,1,replication,B2-permitted-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,p1,True,210,210,209,1,1,0,0,0.004761904761904762,True,,66,276,276,5643,20.445652173913043,1.0,1.0,1.0,1.0,1.0,,1.0,0.8840579710144928,1.0,0.9857142857142858,0.9818840579710145,6394,2840,2.2514084507042256,1,2,0.000177210703526493,1.0,0.5090691174483987,0.5090691174483987,45.56363636363636,891,B2,DeepSeek-V4-Flash-0731/permitted/ahead/B2,DeepSeek-V4-Flash-0731/permitted/off/B2,DeepSeek-V4-Flash-0731/permitted/off/B2
B2-permitted-off-behind-a4096,fixed_population,[0],permitted,off,behind,lose,206,1,replication,B2-permitted-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,p1,True,210,210,209,1,1,0,0,0.004761904761904762,True,,66,276,276,5621,20.365942028985508,1.0,1.0,1.0,1.0,1.0,,1.0,0.8043478260869565,1.0,0.9904761904761905,0.9855072463768116,6188,3090,2.002588996763754,1,0,0.0001779042874933286,1.0,0.6747256016805847,0.6747256016805847,50.45454545454545,669,B2,DeepSeek-V4-Flash-0731/permitted/behind/B2,DeepSeek-V4-Flash-0731/permitted/off/B2,DeepSeek-V4-Flash-0731/permitted/off/B2
B3-hidden-off-ahead-a4096,fixed_population,[0],hidden,off,ahead,win,313,1,replication,B3-hidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,p2,True,210,210,206,4,4,0,0,0.01904761904761905,True,,66,276,276,5308,19.231884057971016,1.0,1.0,1.0,1.0,1.0,,1.0,0.9202898550724637,1.0,0.9904761904761905,0.9891304347826086,5840,3512,1.6628701594533029,4,9,0.0007535795026375283,1.0,0.370025869023933,0.370025869023933,37.43911439114391,1291,B3,DeepSeek-V4-Flash-0731/hidden/ahead/B3,DeepSeek-V4-Flash-0731/hidden/off/B3,DeepSeek-V4-Flash-0731/hidden/off/B3
B3-hidden-off-behind-a4096,fixed_population,[0],hidden,off,behind,lose,314,1,replication,B3-hidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,p2,True,210,210,207,3,3,0,0,0.014285714285714285,True,,66,276,276,5301,19.206521739130434,1.0,1.0,1.0,1.0,1.0,,1.0,0.894927536231884,1.0,0.9952380952380953,0.9927536231884058,6430,3991,1.611125031320471,3,5,0.0005659309564233164,1.0,0.24615522862597009,0.24615522862597009,32.14760147601476,1356,B3,DeepSeek-V4-Flash-0731/hidden/behind/B3,DeepSeek-V4-Flash-0731/hidden/off/B3,DeepSeek-V4-Flash-0731/hidden/off/B3
